ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	122	60	30	11731	Monster_skeletontgh	500	1000	None
2	TRUE	0	124	120	60	11741	Monster_skeletontbh	500	1000	None
3	TRUE	0	126	30	15	11751	Monster_skeletonstah	500	1000	None
4	TRUE	0	128	180	90	11761	Monster_skeletonblah	500	1000	None
5	TRUE	0	130	210	105	11771	Monster_skeletonhgh	500	1000	None
6	FALSE	0	122	1	0	11732	Monster_skeletontgh_Elite	500	900000	None
7	FALSE	0	124	1	0	11742	Monster_skeletontbh_Elite	500	900000	None
8	FALSE	0	126	1	0	11752	Monster_skeletonstah_Elite	500	900000	None
9	FALSE	0	128	1	0	11762	Monster_skeletonblah_Elite	500	900000	None
10	FALSE	0	130	1	0	11772	Monster_skeletonhgh_Elite	500	900000	None
11	FALSE	0	120	1	0	60120	Trigger_Largestone	50	60000	None
12	FALSE	0	130	1	0	20571	Monster_skeletonwarrior	1000	10800000	MON_FIELD_SBOSS
13	FALSE	9	130	1	0	90013	Monster_FieldRaid_Diablo	300	1	MON_RAID_DIABLO
