ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	101	377	358	12131	Monster_Spikedrock	500	5000	None
2	TRUE	0	101	377	358	12141	Monster_Movingrock	500	5000	None
3	TRUE	0	102	251	238	12151	Monster_Tcapyleader	500	5000	None
4	TRUE	0	102	251	238	12161	Monster_Anteater	500	5000	None
5	FALSE	0	101	1	0	12132	Monster_Spikedrock_Elite	50	15000	None
6	FALSE	0	101	1	0	12142	Monster_Movingrock_Elite	500	900000	None
7	FALSE	0	102	1	0	12152	Monster_Tcapyleader_Elite	500	900000	None
8	FALSE	0	102	1	0	60120	Trigger_Largestone	500	10000	None
9	FALSE	0	102	1	0	20791	Monster_Tcapyleader_Leader	500	1800000	MON_FIELD_SBOSS
10	FALSE	0	106	1	0	70190	Mission_CatherineEvent2	500	1000	MON_SUMMON_BOSS2
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
