ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	101	512	461	11311	Monster_velocirapter1	500	5000	None
2	TRUE	0	101	43	39	11351	Monster_triceratops	500	5000	None
3	TRUE	0	102	43	39	11361	Monster_tentaceratops	500	5000	None
4	TRUE	0	102	43	39	11331	Monster_ankylosaurus	500	5000	None
5	TRUE	0	102	214	193	11301	Monster_eripmav	500	5000	None
6	FALSE	0	101	1	0	60130	Trigger_Fallenrock	50	9000	None
7	FALSE	0	102	2	1	11312	Monster_velocirapter1_Elite	500	900000	None
8	FALSE	0	102	2	1	11302	Monster_eripmav_Elite	500	900000	None
9	FALSE	0	104	1	0	20261	Monster_sabertiger	1000	1800000	MON_FIELD_SBOSS
10	TRUE	0	102	20	10	12636	Monster_Farm_Honeybee	500	5000	None
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
