ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	115	75	75	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
2	TRUE	0	116	25	25	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
3	TRUE	0	117	8	8	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
5	TRUE	1	116	100	100	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
7	TRUE	1	118	8	8	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
8	TRUE	1	117	25	25	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
9	TRUE	2	117	100	100	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
10	TRUE	2	121	20	20	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
12	TRUE	2	121	30	30	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
13	TRUE	3	118	125	125	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
14	TRUE	3	121	40	40	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
15	TRUE	3	123	10	10	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
16	TRUE	3	122	40	40	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
18	TRUE	4	122	40	40	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
19	TRUE	4	124	15	15	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
21	TRUE	5	120	100	100	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
22	TRUE	5	123	40	40	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
23	TRUE	5	125	13	13	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
24	TRUE	5	124	25	25	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
25	TRUE	6	121	75	75	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
26	TRUE	6	124	40	40	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
27	TRUE	6	125	8	8	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
28	TRUE	6	124	25	25	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
29	TRUE	7	122	38	38	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
30	TRUE	7	125	10	10	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
31	TRUE	7	125	8	8	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
32	TRUE	7	125	13	13	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
33	TRUE	8	121	80	80	21151	Monster_Fordoi	500	2000	MON_FLD_VIRON
34	TRUE	8	124	50	50	21111	Monster_Scissorgaras	500	2000	MON_FLD_VIRON
35	TRUE	8	125	10	10	21121	Monster_Jatagaras	500	2000	MON_FLD_VIRON
36	TRUE	8	124	30	30	21131	Monster_Bowgaras	500	2000	MON_FLD_VIRON
37	TRUE	1	125	8	8	21133	Monster_Bowgaras_Elite	500	600000	MON_FLD_VIRON
38	TRUE	3	125	8	8	21113	Monster_Scissorgaras_Elite	500	600000	MON_FLD_VIRON
39	TRUE	5	125	8	8	21163	Monster_Gluttony_Elite	500	60000	MON_FLD_VIRON
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
