ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	6	145	10	5	18031	Monster_dun01_Abyss_Attacker	700	12000	MON_ARM_DUN01_NOMAL
2	TRUE	6	145	10	5	18032	Monster_dun01_Knight_Soldier	700	12000	MON_ARM_DUN01_NOMAL
3	TRUE	5	145	20	10	18031	Monster_dun01_Abyss_Attacker	700	12000	MON_ARM_DUN01_NOMAL
4	TRUE	5	145	20	10	18032	Monster_dun01_Knight_Soldier	700	12000	MON_ARM_DUN01_NOMAL
5	TRUE	4	145	30	15	18031	Monster_dun01_Abyss_Attacker	700	12000	MON_ARM_DUN01_NOMAL
6	TRUE	4	145	30	15	18032	Monster_dun01_Knight_Soldier	700	12000	MON_ARM_DUN01_NOMAL
7	TRUE	3	145	30	15	18031	Monster_dun01_Abyss_Attacker	700	12000	MON_ARM_DUN01_NOMAL
8	TRUE	3	145	30	15	18032	Monster_dun01_Knight_Soldier	700	12000	MON_ARM_DUN01_NOMAL
9	TRUE	2	145	10	5	18031	Monster_dun01_Abyss_Attacker	700	12000	MON_ARM_DUN01_NOMAL
10	TRUE	2	145	10	5	18032	Monster_dun01_Knight_Soldier	700	12000	MON_ARM_DUN01_NOMAL
11	FALSE	1	150	1	0	18033	Monster_dun01_AbyssSorrow	1	60000	MON_ARM_DUN01_BOSS01
12	FALSE	0	150	1	0	18034	Monster_dun01_AbyssGloom	1	60000	MON_ARM_DUN01_BOSS02
