ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	1	146	5	1	18130	Monster_dun05_red_normal01	500	20000	MON_ARM_DUN05_RED_NORMAL
2	FALSE	2	146	5	1	18131	Monster_dun05_red_normal02	500	20000	MON_ARM_DUN05_RED_NORMAL
3	FALSE	3	146	5	1	18130	Monster_dun05_red_normal01	500	20000	MON_ARM_DUN05_RED_NORMAL
4	FALSE	4	146	5	1	18131	Monster_dun05_red_normal02	500	20000	MON_ARM_DUN05_RED_NORMAL
5	FALSE	5	146	5	1	18130	Monster_dun05_red_normal01	500	20000	MON_ARM_DUN05_RED_NORMAL
6	FALSE	6	146	5	1	18131	Monster_dun05_red_normal02	500	20000	MON_ARM_DUN05_RED_NORMAL
7	FALSE	7	146	5	1	18130	Monster_dun05_red_normal01	500	20000	MON_ARM_DUN05_RED_NORMAL
8	FALSE	8	146	5	1	18131	Monster_dun05_red_normal02	500	20000	MON_ARM_DUN05_RED_NORMAL
100	TRUE	100	150	1	1	18123	monster_ancientabyss	1	7200000	MON_ARM_ABYSS
999	TRUE	1	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
