ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	95	200	200	11023	Monster_RustyMusescargotB	500	5000	None
2	TRUE	0	96	80	80	10891	Monster_Charioteer	500	5000	None
3	TRUE	0	96	70	70	11021	Monster_MusescargotB	500	5000	None
4	TRUE	0	95	185	185	11033	Monster_RustyMusescargotC	500	5000	None
5	TRUE	0	96	80	80	10811	Monster_Jabberwock	500	5000	None
6	TRUE	0	96	80	80	10831	Monster_GhostlyFather	500	5000	None
7	FALSE	0	98	1	0	20165	Monster_Vladimir_Field	1000	1800000	MON_FIELD_SBOSS
8	FALSE	0	95	1	0	60050	Trigger_Jaq2_Box	50	15000	None
9	FALSE	0	95	40	40	11022	Monster_MusescargotB_Elite	500	150000	None
10	FALSE	0	95	40	40	10892	Monster_Charioteer_Elite	500	150000	None
11	FALSE	0	95	1	0	81004	Mission_TreasureMaiden	50	3600000	None
12	FALSE	3	98	1	0	70180	Mission_CatherineEvent	50	3600000	MON_JAQ03_EVENT01
50	FALSE	4	145	1	0	54259	Monster_Private_Testormento_Raid	1	1	MON_TESTORMENTO_RAID
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
