ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	130	570	235	40182	Monster_TwinHeaded_lght_newraid	500	30000	None
2	TRUE	0	130	570	235	40212	Monster_GaviDiLight_lght_newraid	500	30000	None
3	TRUE	0	130	570	235	40222	Monster_lightskeletontg_newraid	500	30000	None
4	TRUE	0	130	114	57	40192	Monster_WeirdKnight_lght_newraid	500	80000	None
5	TRUE	0	130	570	235	40202	Monster_Masquerader_lght_newraid	500	30000	None
7	FALSE	2	130	1	0	40122	MONSTER_EINWETTER_ELITE2	10	190000	MONSTER_EINWETTER_ELITE2
8	FALSE	3	130	1	0	40122	MONSTER_EINWETTER_ELITE3	10	190000	MONSTER_EINWETTER_ELITE3
9	FALSE	4	130	1	0	40122	MONSTER_EINWETTER_ELITE4	10	190000	MONSTER_EINWETTER_ELITE4
10	FALSE	5	130	1	0	40122	MONSTER_EINWETTER_ELITE5	10	190000	MONSTER_EINWETTER_ELITE5
11	FALSE	6	130	1	0	40122	MONSTER_EINWETTER_ELITE6	10	190000	MONSTER_EINWETTER_ELITE6
12	FALSE	7	130	1	0	40122	MONSTER_EINWETTER_ELITE7	10	190000	MONSTER_EINWETTER_ELITE7
13	FALSE	8	130	1	0	40122	MONSTER_EINWETTER_ELITE8	10	190000	MONSTER_EINWETTER_ELITE8
14	FALSE	10	130	1	0	40122	MONSTER_EINWETTER_ELITE10	10	190000	MONSTER_EINWETTER_ELITE10
15	FALSE	11	130	1	0	40122	MONSTER_EINWETTER_ELITE11	10	190000	MONSTER_EINWETTER_ELITE11
16	FALSE	12	130	1	0	40122	MONSTER_EINWETTER_ELITE12	10	190000	MONSTER_EINWETTER_ELITE12
17	FALSE	13	130	1	0	40122	MONSTER_EINWETTER_ELITE13	10	190000	MONSTER_EINWETTER_ELITE13
18	FALSE	14	130	1	0	40122	MONSTER_EINWETTER_ELITE14	10	190000	MONSTER_EINWETTER_ELITE14
19	FALSE	15	130	1	0	40122	MONSTER_EINWETTER_ELITE15	10	190000	MONSTER_EINWETTER_ELITE15
20	FALSE	16	130	1	0	40122	MONSTER_EINWETTER_ELITE16	10	190000	MONSTER_EINWETTER_ELITE16
21	FALSE	17	130	1	0	40122	MONSTER_EINWETTER_ELITE17	10	190000	MONSTER_EINWETTER_ELITE17
22	FALSE	18	130	1	0	40122	MONSTER_EINWETTER_ELITE18	10	190000	MONSTER_EINWETTER_ELITE18
