ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	105	55	50	14051	Monster_Tor_Field_Walter	500	5000	None
2	TRUE	0	107	55	50	14061	Monster_Tor_Field_Lloyd	500	5000	None
3	TRUE	0	109	55	50	14081	Monster_Tor_Field_Helena	500	5000	None
4	TRUE	0	105	55	50	14091	Monster_Tor_Field_CrownLloyd	500	5000	None
5	TRUE	1	105	15	10	14031	Monster_Tor_Field_Wight	500	10000	None
6	TRUE	1	105	37	35	14051	Monster_Tor_Field_Walter	500	5000	None
7	TRUE	1	107	37	35	14061	Monster_Tor_Field_Lloyd	500	5000	None
8	TRUE	1	107	37	35	14091	Monster_Tor_Field_CrownLloyd	500	5000	None
9	TRUE	1	109	37	35	14101	Monster_Tor_Field_LadySasha	500	5000	None
10	TRUE	1	109	37	35	14091	Monster_Tor_Field_CrownLloyd	500	5000	None
11	TRUE	2	107	43	40	14081	Monster_Tor_Field_Helena	500	5000	None
12	TRUE	2	107	15	10	14041	Monster_Tor_Field_Gwraig	500	10000	None
13	TRUE	2	109	43	40	14091	Monster_Tor_Field_CrownLloyd	500	5000	None
14	TRUE	2	109	43	40	14101	Monster_Tor_Field_LadySasha	500	5000	None
15	TRUE	2	111	15	10	14021	Monster_Tor_Field_Pyg	500	10000	None
16	TRUE	2	111	43	40	14061	Monster_Tor_Field_Lloyd	500	5000	None
17	TRUE	3	109	15	10	14041	Monster_Tor_Field_Gwraig	500	10000	None
18	TRUE	3	109	48	45	14071	Monster_Tor_Field_Sasha	500	5000	None
19	TRUE	3	111	43	40	14101	Monster_Tor_Field_LadySasha	500	5000	None
20	TRUE	3	111	15	10	14021	Monster_Tor_Field_Pyg	500	10000	None
21	TRUE	3	113	15	10	14031	Monster_Tor_Field_Wight	500	10000	None
22	TRUE	3	113	15	10	14041	Monster_Tor_Field_Gwraig	500	10000	None
23	FALSE	0	120	1	0	14111	Monster_Tor_Field_MightyVictor	500	3600000	MON_FIELD_SBOSS
24	FALSE	1	120	1	0	14111	Monster_Tor_Field_MightyVictor	500	3600000	MON_FIELD_SBOSS
25	FALSE	2	120	1	0	11133	Monster_HauntedBook_Boss	500	1800000	MON_FIELD_SBOSS
26	FALSE	3	120	1	0	11133	Monster_HauntedBook_Boss	500	1800000	MON_FIELD_SBOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
