ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	58	81	76	12471	Monster_forgottenwalter 	500	5000	None
2	TRUE	0	59	81	76	12481	Monster_forgottenfootman 	500	5000	None
3	TRUE	0	60	81	76	12491	Monster_forgottenhelena 	500	5000	None
4	TRUE	0	61	81	76	12501	Monster_forgottencandle 	500	5000	None
5	TRUE	1	62	37	35	12471	Monster_forgottenwalter 	500	5000	None
6	TRUE	1	63	37	35	12481	Monster_forgottenfootman 	500	5000	None
7	TRUE	1	64	37	35	12491	Monster_forgottenhelena 	500	5000	None
8	TRUE	1	65	37	35	12501	Monster_forgottencandle 	500	5000	None
9	TRUE	2	66	43	40	12471	Monster_forgottenwalter 	500	5000	None
10	TRUE	2	67	43	40	12481	Monster_forgottenfootman 	500	5000	None
11	TRUE	2	68	43	40	12491	Monster_forgottenhelena 	500	5000	None
12	TRUE	2	69	43	40	12501	Monster_forgottencandle 	500	5000	None
13	TRUE	3	70	48	45	12471	Monster_forgottenwalter 	500	5000	None
14	TRUE	3	71	48	45	12481	Monster_forgottenfootman 	500	5000	None
15	TRUE	3	72	48	45	12491	Monster_forgottenhelena 	500	5000	None
16	TRUE	3	73	48	45	12501	Monster_forgottencandle 	500	5000	None
17	FALSE	4	120	1	0	81023	Mission_TreasureBox3	50	1800000	None
18	FALSE	4	62	1	0	70180	Mission_CatherineEvent	50	1000	MON_CREATE_CASHBOSS
19	FALSE	4	62	2	1	81033	Monster_Treasurewalter2	50	1200000	None
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
