ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
2	FALSE	1	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
3	FALSE	2	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
4	FALSE	3	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
5	FALSE	4	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
6	FALSE	5	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
7	FALSE	6	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
8	FALSE	7	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
9	FALSE	8	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
10	FALSE	9	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
11	FALSE	10	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
12	FALSE	11	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
13	FALSE	12	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
14	FALSE	13	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
15	FALSE	14	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
16	FALSE	15	150	1	2	18231	<$>150798</>	200	30000	MON_CTW_B07_MON2
