ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
2	TRUE	1	127	1	0	54232	Monster_griffon1_raid_Rank5	500	35000000	MON_MISSION_03
3	TRUE	1	127	1	0	54232	Monster_griffon1_raid_Rank5	500	35000000	MON_MISSION_03
4	TRUE	2	124	2	0	54235	Monster_Elminorboss_raid_Rank5	500	150000	MON_RAID_CALLMON
5	TRUE	2	124	2	0	54235	Monster_Elminorboss_raid_Rank5	500	150000	MON_MISSION_03
6	TRUE	2	124	2	0	54233	Monster_Elnoogardboss_raid_Rank5	500	150000	MON_MISSION_03
7	TRUE	2	124	2	0	54233	Monster_Elnoogardboss_raid_Rank5	500	150000	MON_MISSION_03
8	TRUE	2	115	5	0	54236	Monster_Eldoom_raid_Elite_Rank5	500	50000	MON_RAID_CALLMON
9	TRUE	2	115	5	0	54236	Monster_Eldoom_raid_Elite_Rank5	500	50000	MON_MISSION_03
10	TRUE	2	115	5	0	54237	Monster_elgoom_raid_Elite_Rank5	500	10000	MON_MISSION_03
11	TRUE	2	115	5	0	54237	Monster_elgoom_raid_Elite_Rank5	500	50000	MON_RAID_CALLMON
