ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	106	5	3	54210	<$>64407</>	500	45000	None
2	TRUE	0	104	90	50	54209	<$>64408</>	500	20000	None
3	TRUE	0	106	5	3	54214	<$>64409</>	500	45000	None
4	TRUE	0	104	60	28	54213	<$>64410</>	500	20000	None
5	TRUE	0	104	18	5	54208	<$>49197</>	500	45000	None
6	TRUE	0	104	182	56	54207	<$>49196</>	500	20000	None
7	TRUE	0	106	5	3	54212	<$>49205</>	500	45000	None
8	TRUE	0	104	75	40	54211	<$>49204</>	500	20000	None
9	TRUE	0	107	6	2	54216	<$>49216</>	500	45000	MON_PASSIVE_RAID
10	TRUE	0	106	15	8	54215	<$>49215</>	500	20000	None
12	TRUE	1	107	20	12	54217	<$>49218</>	500	20000	None
13	TRUE	1	108	3	2	54218	<$>49219</>	500	45000	MON_PASSIVE_RAID
14	TRUE	0	106	15	10	54219	<$>49223</>	500	20000	None
15	TRUE	1	108	5	3	54220	<$>49224</>	500	60000	MON_PASSIVE_RAID
16	TRUE	11	106	1	0	70832	<$>49930</>	0	480000	None
17	TRUE	12	106	1	0	70832	<$>49930</>	0	480000	None
18	TRUE	13	106	1	0	70832	<$>49930</>	0	480000	None
19	TRUE	14	106	1	0	70832	<$>49930</>	0	480000	None
20	TRUE	15	106	1	0	70832	<$>49930</>	0	480000	None
21	TRUE	16	106	1	0	70832	<$>49930</>	0	480000	None
22	TRUE	17	106	1	0	70832	<$>49930</>	0	480000	None
23	TRUE	18	106	1	0	70832	<$>49930</>	0	480000	None
24	TRUE	19	106	1	0	70832	<$>49930</>	0	480000	None
25	TRUE	20	106	1	0	70832	<$>49930</>	0	480000	None
26	TRUE	21	106	1	0	70832	<$>49930</>	0	480000	None
27	TRUE	22	106	1	0	70832	<$>49930</>	0	480000	None
28	TRUE	23	106	1	0	70832	<$>49930</>	0	480000	None
29	TRUE	24	106	1	0	70832	<$>49930</>	0	480000	None
30	TRUE	25	106	1	0	70832	<$>49930</>	0	480000	None
31	TRUE	26	106	1	0	70832	<$>49930</>	0	480000	None
32	TRUE	27	106	1	0	70832	<$>49930</>	0	480000	None
33	TRUE	28	106	1	0	70832	<$>49930</>	0	480000	None
34	TRUE	29	106	1	0	70832	<$>49930</>	0	480000	None
35	TRUE	30	106	1	0	70832	<$>49930</>	0	480000	None
36	TRUE	31	106	1	0	70832	<$>49930</>	0	480000	None
37	TRUE	101	109	2	0	54246	<$>49227</>	500	60000	None
38	TRUE	102	109	2	0	54246	<$>49227</>	500	60000	None
39	TRUE	103	109	2	0	54246	<$>49227</>	500	60000	None
40	TRUE	104	109	2	0	54246	<$>49227</>	500	60000	None
41	TRUE	105	109	2	0	54246	<$>49227</>	500	60000	None
42	TRUE	106	109	2	0	54246	<$>49227</>	500	60000	None
43	TRUE	107	109	2	0	54246	<$>49227</>	500	60000	None
45	TRUE	201	108	1	0	54221	<$>49737</>	500	10800000	MON_PASSIVE_RAID
46	TRUE	202	108	1	0	54221	<$>49737</>	500	10800000	MON_PASSIVE_RAID
47	TRUE	203	108	1	0	54221	<$>49737</>	500	10800000	MON_PASSIVE_RAID
48	TRUE	204	108	1	0	54221	<$>49737</>	500	10800000	MON_PASSIVE_RAID
