ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	120	70	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
2	FALSE	0	120	70	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
3	FALSE	0	120	70	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
4	FALSE	0	120	70	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
5	FALSE	0	120	70	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
6	FALSE	1	120	40	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
7	FALSE	1	120	40	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
8	FALSE	1	120	40	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
9	FALSE	1	120	40	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
10	FALSE	1	120	40	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
11	FALSE	2	120	40	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
12	FALSE	2	120	40	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
13	FALSE	2	120	40	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
14	FALSE	2	120	40	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
15	FALSE	2	120	40	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_ERC_NOR
