ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	100	50	0	22517	Monster_Demoniac _skeletontg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
2	FALSE	0	100	50	0	22518	Monster_Demoniac _skeletontb_01	500	5000	MON_MISSION_MASUNG_UST_NOR
3	FALSE	0	100	50	0	22519	Monster_Demoniac _skeletonsta_01	500	5000	MON_MISSION_MASUNG_UST_NOR
4	FALSE	0	100	50	0	22520	Monster_Demoniac _skeletonhg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
5	FALSE	0	100	50	0	22521	Monster_Demoniac _skeletonbla_01	500	5000	MON_MISSION_MASUNG_UST_NOR
6	FALSE	0	100	50	0	22517	Monster_Demoniac _skeletontg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
7	FALSE	0	100	50	0	22518	Monster_Demoniac _skeletontb_01	500	5000	MON_MISSION_MASUNG_UST_NOR
8	FALSE	0	100	50	0	22519	Monster_Demoniac _skeletonsta_01	500	5000	MON_MISSION_MASUNG_UST_NOR
9	FALSE	0	100	50	0	22520	Monster_Demoniac _skeletonhg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
10	FALSE	1	100	50	0	22521	Monster_Demoniac _skeletonbla_01	500	5000	MON_MISSION_MASUNG_UST_NOR
11	FALSE	1	100	50	0	22517	Monster_Demoniac _skeletontg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
12	FALSE	1	100	50	0	22518	Monster_Demoniac _skeletontb_01	500	5000	MON_MISSION_MASUNG_UST_NOR
13	FALSE	1	100	50	0	22519	Monster_Demoniac _skeletonsta_01	500	5000	MON_MISSION_MASUNG_UST_NOR
14	FALSE	1	100	50	0	22520	Monster_Demoniac _skeletonhg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
15	FALSE	1	100	50	0	22521	Monster_Demoniac _skeletonbla_01	500	5000	MON_MISSION_MASUNG_UST_NOR
16	FALSE	1	100	50	0	22517	Monster_Demoniac _skeletontg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
17	FALSE	1	100	50	0	22518	Monster_Demoniac _skeletontb_01	500	5000	MON_MISSION_MASUNG_UST_NOR
18	FALSE	2	100	50	0	22519	Monster_Demoniac _skeletonsta_01	500	5000	MON_MISSION_MASUNG_UST_NOR
19	FALSE	2	100	25	0	22520	Monster_Demoniac _skeletonhg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
20	FALSE	2	100	25	0	22521	Monster_Demoniac _skeletonbla_01	500	5000	MON_MISSION_MASUNG_UST_NOR
21	FALSE	2	100	25	0	22517	Monster_Demoniac _skeletontg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
22	FALSE	2	100	25	0	22518	Monster_Demoniac _skeletontb_01	500	5000	MON_MISSION_MASUNG_UST_NOR
23	FALSE	2	100	25	0	22519	Monster_Demoniac _skeletonsta_01	500	5000	MON_MISSION_MASUNG_UST_NOR
24	FALSE	2	100	25	0	22520	Monster_Demoniac _skeletonhg_01	500	5000	MON_MISSION_MASUNG_UST_NOR
25	FALSE	2	100	25	0	22521	Monster_Demoniac _skeletonbla_01	500	5000	MON_MISSION_MASUNG_UST_NOR
