ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	TR_JD_MEET2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	-6117	19033	-457	TR_JD_MEET2	None
2	TR_JD_MEET3	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	-7136	18117	-632	TR_JD_MEET3	None
3	TR_BST4_OLIVIA_MEET2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	12775	-28583	3130	TR_BST4_OLIVIA_MEET2	None
4	tr_btl_bst01	EntranceArrow	222	FALSE	minimap_warpIn.bmp	None	INSIDE	<$>90520</>	10713	-32436	3307	TR_BTL_BST01	None
5	TR_BST5_JD_MEET2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	12918	-30627	3269	TR_BST5_JD_MEET2	None
6	TR_BST5_VAIL	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	11809	-21029	2317	TR_BST5_VAIL	None
7	TR_BST8_VAIL	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	9823	-7902	389	TR_BST8_VAIL	None
8	TR_GRACE_BST_SUB01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	9134	-5462	107	TR_GRACE_BST_SUB01	None
9	TR_BST_FIN01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>82268</>	9410	-7353	348	TR_BST_FIN01	None
10	TR_BST_FIN02	TutorialTrigger_Black_3m	0	FALSE	None	None	None	JD	-7828	23750	-725	TR_BST_FIN02	None
11	TR_BST_FIN04	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>13438</>	-1124	7915	-247	TR_BST_FIN04	None
12	npc_ferru_big01	npc_ferru_big	280	FALSE	minimap_mission.bmp	<$>105310</>	None	<$>105310</>	-7435	24622	-722	PIONEER_NOTICE	None
16	npc_ferru_big02	npc_ferru_big	116	FALSE	minimap_mission.bmp	<$>105310</>	None	<$>105310</>	12603	-23824	2323	PIONEER_NOTICE	None
