ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	NPC_COM_RECALLTOWER_SET1	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	7737	4383	1152	NPC_COM_RECALLTOWER_SET1	None
2	NPC_COM_RECALLTOWER_SET2	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	-7742	4380	1152	NPC_COM_RECALLTOWER_SET2	None
3	NPC_COM_RECALLTOWER_SET3	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	-7743	-4380	1152	NPC_COM_RECALLTOWER_SET3	None
4	NPC_COM_RECALLTOWER_SET4	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	7747	-4373	1152	NPC_COM_RECALLTOWER_SET4	None
5	NPC_COM_RECALLTOWER_SET5	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	-8489	0	140	NPC_COM_RECALLTOWER_SET5	None
6	NPC_COM_RECALLTOWER_SET6	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	-4995	0	-200	NPC_COM_RECALLTOWER_SET6	None
7	NPC_COM_RECALLTOWER_SET7	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	0	4708	-200	NPC_COM_RECALLTOWER_SET7	None
8	NPC_COM_RECALLTOWER_SET8	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	0	-4686	-200	NPC_COM_RECALLTOWER_SET8	None
9	NPC_COM_RECALLTOWER_SET9	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	5000	0	-200	NPC_COM_RECALLTOWER_SET9	None
10	NPC_COM_RECALLTOWER_SET10	npc_com_recalltower	91	FALSE	None	None	<$>1776</>	8501	0	140	NPC_COM_RECALLTOWER_SET10	None
11	EVENT_CHAINRUSH_LOCK	structure_potaeffect	0	FALSE	None	None	<$>64527</>	-9100	0	0	EVENT_CHAINRUSH_OUT	None
12	WARP5_RECALLTOWER	structure_potaeffect	0	FALSE	None	None	<$>1014</>	5500	5400	1014	WARP5_RECALLTOWER	None
13	WARP6_RECALLTOWER	structure_potaeffect	0	FALSE	None	None	<$>1014</>	-5500	5400	1014	WARP6_RECALLTOWER	None
14	WARP7_RECALLTOWER	structure_potaeffect	0	FALSE	None	None	<$>1014</>	-5500	-5400	1014	WARP7_RECALLTOWER	None
15	WARP8_RECALLTOWER	structure_potaeffect	0	FALSE	None	None	<$>1014</>	5500	-5400	1014	WARP8_RECALLTOWER	None
