ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Possess	Script	ShopName
8	EVENT_BTL_REB04	NPC_TREESTUMP	82	FALSE	None	None	None	-534	6269	4983	0	EVENT_BTL_REB04	None
10	REB04_FRONT_GIRL	COM_GIRLa2	11	FALSE	None	None	<$>64582</>	-4969	-642	4939	0	NPC_REB04_GIRL	None
12	C1_REB04_SELDEN	COM_SELDEN	249	FALSE	None	None	<$>47008</>	856	5070	4980	0	NPC_REB04_LABORER	None
13	REB04_FRONT_WOM	REB_BANK	168	FALSE	None	None	<$>64584</>	8727	-417	4978	0	NPC_REB04_WONDER	None
14	REB04_FIRE_MAN	REB_MANa	83	FALSE	None	None	<$>64585</>	-18527	-5652	4258	0	NPC_REB04_BEGGER	None
15	REB04_FRONT_MAN	REB_MANa	11	FALSE	None	None	<$>64586</>	-5056	-1108	4953	0	NPC_REB04_CHATTERBOX	None
16	REB04_DRE_BOY	REB_BOYa2	181	FALSE	None	None	<$>64587</>	1073	-6134	4911	0	NPC_REB04_MBOY	None
17	REB04_FRONT_BOY	REB_BOYa2	350	FALSE	None	None	<$>64588</>	-5283	-8	4939	0	NPC_REB04_DBOY	None
18	REB04_BACK_BOY	REB_BOYa2	177	FALSE	None	None	<$>64589</>	8543	581	5017	0	NPC_REB04_FBOY	None
19	REB04_BACK_OLD	REB_OLDMANa	151	FALSE	None	None	<$>64590</>	8960	138	4980	0	NPC_REB04_RTOLD	None
20	INFO_BTL_REB04	REB_SOLM	156	FALSE	None	None	<$>64591</>	-4869	-335	4939	0	INFO_REB04_GUIDE	None
21	REB04_WARP_MID	REB_SOLF	184	FALSE	minimap_npc.bmp	<$>64592</>	<$>10802</>	-4908	368	4939	0	WARP_REB04_MID	None
22	REB04_WARP_WEST	REB_SOLF	32	FALSE	minimap_npc.bmp	<$>64593</>	<$>10802</>	-45973	-1701	6950	0	WARP_REB04_WEST	None
23	INFO_REB04_TREE	REB_SOLF	96	FALSE	None	None	<$>64594</>	-20927	-14877	4029	0	INFO_REB04_CUT	None
24	REB04_WARP_ESP	REB_SOLF	268	FALSE	None	None	<$>10802</>	1491	21871	5148	0	WARP_REB04_ESP	None
25	REB04_WARP_EAST	REB_SOLF	163	FALSE	minimap_npc.bmp	<$>64595</>	<$>10802</>	48113	-7348	4591	0	WARP_REB04_EAST	None
26	INFO_REB04_CUT	REB_SOLM	277	FALSE	None	None	<$>64594</>	1003	-17504	3948	0	INFO_REB04_TREE	None
27	NPC_REBBTL_3	npc_crackstone	0	FALSE	None	None	None	-5633	-6260	5012	0	NPC_REBBTL_3	None
28	NPC_REBBTL_2	npc_crackstone	0	FALSE	None	None	None	-2631	2505	4977	0	NPC_REBBTL_2	None
29	NPC_REBBTL_1	npc_crackstone	0	FALSE	None	None	None	6578	-4121	5029	0	NPC_REBBTL_1	None
31	REB04_COLONY_MANAGER	COLONY_MANAGER_LARGE	321	FALSE	minimap_npc3.bmp	<$>51919</>	<$>51919</>	-10971	33456	5081	1	COLONY_MANAGER	None
32	PART_TIME_TREE_MANAGER	Trigger_Black_None	321	FALSE	None	None	None	-10727	-23944	4320	0	PART_TIME_TREE_MANAGER	None
83	TR_ELISA_QUEST_PICNIC	TutorialTrigger_Black_3m	90	FALSE	None	None	None	-7383	22805	4187	0	TR_ELISA_QUEST_PICNIC	None
