ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	TBK01_BOOK	REB_MANa	358	FALSE	minimap_npc.bmp	<$>64602</>	None	<$>64602</>	-9609	-5422	-55	C1_TBK01_BOOK	None
2	C1_TBK01_MEXAMINER	com_youngman	79	FALSE	minimap_npc.bmp	<$>57882</>	None	<$>57882</>	3575	-21760	-268	C1_TBK01_MEXAMINER	None
3	TBK01_EXAMINER	com_youngman1	358	FALSE	minimap_npc.bmp	<$>57881</>	None	<$>57881</>	-9650	-5109	-83	C1_TBK01_PEXAMINER	None
4	WAYPOINT_BTL_TBK01	WAYPOINT_ONROAD	0	FALSE	minimap_waypoint.bmp	<$>51907</>	None	<$>51907</>	-8807	-6146	-165	WAYPOINT_AUCH_BASIC	None
6	TBK01_Romina_Mission1	TutorialTrigger_Black	180	TRUE	None	<$>64546</>	None	<$>64546</>	16803	8519	77	TR_ROMINA_TBK01	None
7	npc_ferru_big01	npc_ferru_big	23	FALSE	minimap_mission.bmp	<$>64603</>	None	<$>64603</>	-15285	-13100	-421	PIONEER_NOTICE	None
11	npc_ferru_big02	npc_ferru_big	2	FALSE	minimap_mission.bmp	<$>64603</>	None	<$>64603</>	8648	5509	-47	PIONEER_NOTICE	None
15	npc_ferru_big03	npc_ferru_big	325	FALSE	minimap_mission.bmp	<$>64603</>	None	<$>64603</>	-1048	13719	-540	PIONEER_NOTICE	None
19	TBK_MBOSS_GEN	TutorialTrigger_Black_1m	44	FALSE	None	None	None	None	17674	-2648	477	TBK_MBOSS_GEN	None
20	npc_1key_tbk	npc_crackstone	0	FALSE	None	<$>64604</>	None	<$>64604</>	9082	-9752	1179	NPC_BRUNIE_KEYMONSTER_A	None
100	TR_ORDENQUEST_17	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>180115</>	15968	-2294	284	TR_ORDENQUEST_17	None
