ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	tr_armmain68	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124076</>	23	-9868	1995	TR_MAINQUEST_ARM68	None
2	tr_armmain69	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124077</>	-6429	-2792	1000	TR_MAINQUEST_ARM69	None
3	tr_armmain70	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124078</>	6322	-1017	966	TR_MAINQUEST_ARM70	None
4	tr_armmain71	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124079</>	5475	5083	695	TR_MAINQUEST_ARM71	None
6	tr_armmain73	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124080</>	5511	3737	983	TR_MAINQUEST_ARM73	None
7	tr_armmain74	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124081</>	-63	-8617	2000	TR_MAINQUEST_ARM74	None
8	tr_armmain76	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124082</>	-46	-10067	1995	TR_MAINQUEST_ARM76	None
9	tr_armmain77	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124083</>	2535	-8695	1949	TR_MAINQUEST_ARM77	None
10	tr_armmain78	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124084</>	-5625	-8253	1149	TR_MAINQUEST_ARM90	None
11	tr_armmain79	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124085</>	-10354	-53	1000	TR_MAINQUEST_ARM91	None
12	tr_armmain80	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124086</>	9	9374	-35	TR_MAINQUEST_ARM92	None
13	tr_armmain81	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124087</>	10793	-1528	1000	TR_MAINQUEST_ARM93	None
14	tr_armmain82	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124088</>	5748	-8489	1149	TR_MAINQUEST_ARM94	None
15	tr_armmain83	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124089</>	13	-8210	1988	TR_MAINQUEST_ARM83	None
16	tr_armmain84	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124090</>	-58	8495	-48	TR_MAINQUEST_ARM84	None
17	tr_armmain85	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124091</>	-4	-10687	1988	TR_MAINQUEST_ARM85	None
18	tr_armmain86	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124092</>	-1875	-8775	1997	TR_MAINQUEST_ARM86	None
19	tr_armmain89	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124093</>	54	-8648	1992	TR_MAINQUEST_ARM89	None
20	tr_armpatrick01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>124094</>	5	-8146	1983	TR_QUEST_PATRICK01	None
21	dun_arm03_deadknight	arm_paladin_m_quest	0	FALSE	minimap_npc.bmp	None	None	<$>124095</>	-5495	6413	456	DEADKNIGHT	None
22	arm_sarabless6	arm_Sarabless	0	FALSE	None	None	None	<$>136780</>	-7184	-3971	1003	NPC_SARABLESS01	None
23	arm_moribless6	arm_Sarabless	0	FALSE	None	None	None	<$>136781</>	-5658	-3918	1003	NPC_MORIBLESS01	None
24	arm_sarabless7	arm_Sarabless	0	FALSE	None	None	None	<$>136780</>	5852	-4021	1008	NPC_SARABLESS01	None
25	arm_moribless7	arm_Sarabless	0	FALSE	None	None	None	<$>136781</>	7066	-3977	1002	NPC_MORIBLESS01	None
100	C1_ARM_PATRICK	arm_patrick	270	FALSE	minimap_npc.bmp	<$>121332</>	None	<$>121332</>	-981	14365	-38	C1_ARM_PATRICK	None
101	SAFE_AREA	Trigger_Black_None	0	FALSE	None	None	None	<$>119609</>	-981	14365	-38	NPC_SAFE_AREA_MANAGER	None
102	NPC_DUNARM_HOLE_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>124073</>	5804	-8353	1149	NPC_DUNARM_HOLE_MANAGER	None
103	ABYSS_BUFF	Trigger_Black_None	0	FALSE	None	None	None	<$>112370</>	5661	-8684	1149	NPC_ABYSS_BUFF_MANAGER	None
