ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	tr_armmain118	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133658</>	0	6616	284	TR_MAINQUEST_ARM118	None
2	tr_armmain119	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133659</>	-25	5615	278	TR_MAINQUEST_ARM119	None
3	tr_armmain120	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133660</>	5392	1210	0	TR_MAINQUEST_ARM120	None
4	tr_armmain121	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133661</>	121	1500	0	TR_MAINQUEST_ARM121	None
5	tr_armmain123	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133662</>	3139	-3403	0	TR_MAINQUEST_ARM123	None
6	tr_anies04	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133638</>	4530	-2731	0	TR_ANIES01	None
7	C1_ARM_VAN	npc_van_std	24	FALSE	minimap_npc.bmp	None	None	<$>94851</>	-4851	-471	48	C1_ARM_VAN	None
8	tr_vanscout03	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133663</>	-1437	6483	280	TR_ARM_VAN03	None
9	tr_vanscout05	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133664</>	-4333	-253	0	TR_ARM_VAN05	None
10	tr_vanscout06	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133665</>	6	3961	8	TR_ARM_VAN06	None
11	tr_vanscout07	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>133666</>	122	5246	142	TR_ARM_VAN07	None
100	MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>105309</>	0	0	0	DUN_ARM05_RED_MANAGER	None
101	arm_sarabless11	arm_Sarabless	0	FALSE	None	None	None	<$>136780</>	1965	-2949	8	NPC_SARABLESS01	None
102	arm_moribless11	arm_Sarabless	0	FALSE	None	None	None	<$>136781</>	-2051	-2938	19	NPC_MORIBLESS01	None
400	ABYSS_BUFF	Trigger_Black_None	0	FALSE	None	None	None	<$>112370</>	-4491	2620	63	NPC_ABYSS_BUFF_MANAGER	None
401	SAFE_AREA	Trigger_Black_None	0	FALSE	None	None	None	<$>119609</>	-4851	-471	48	NPC_SAFE_AREA_MANAGER	None
402	NPC_DUNARM_HOLE_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>124073</>	-5204	-1143	63	NPC_DUNARM_HOLE_MANAGER	None
