ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
2	DUN_CASILE01_HARD_WARP_1-2	EntranceArrow_01	0	FALSE	minimap_warpIn.bmp	None	INSIDE	<$>195324</>	-8614	-4978	-1664	DUN_CASILE01_HARD_WARP	None
3	DUN_CASILE01_HARD_WARP_2-1	EntranceArrow_01	270	FALSE	minimap_warpIn.bmp	None	INSIDE	<$>195324</>	-2583	-7652	-1707	DUN_CASILE01_HARD_WARP	None
4	DUN_CASILE01_HARD_WARP_3-4	EntranceArrow_01	90	FALSE	minimap_warpIn.bmp	None	INSIDE	<$>195324</>	14666	319	-792	DUN_CASILE01_HARD_WARP	None
200	tr_illier2main_05_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-15016	-2680	-2315	TR_ILLIER2MAIN_05_2	None
201	tr_illier2main_06_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	14642	-543	-817	TR_ILLIER2MAIN_06_2	None
202	tr_illier2main_07_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	6	2664	-880	TR_ILLIER2MAIN_07_2	None
203	tr_illier2main_08_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	28	14498	-883	TR_ILLIER2MAIN_08_2	None
204	tr_illier2main_09_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	13	22833	-982	TR_ILLIER2MAIN_09_2	None
205	tr_illier2main_10_2	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	7	33115	-894	TR_ILLIER2MAIN_10_2	None
206	SAFE_ILE_AREA2	Trigger_Black_None	0	FALSE	None	None	None	<$>119609</>	-7	2441	-880	NPC_ILE_SAFE_AREA_MANAGER	None
