ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	WARP_DUN_ERC01_SMALLROOM_OUT	EntranceArrow_01	0	FALSE	None	None	None	None	-19038	4676	0	WARP_DUN_ERC01_SMALLROOM_OUT	None
2	WARP_DUN_ERC01_SMALLROOM_ENTER	EntranceArrow_01	178	FALSE	minimap_warpIn.bmp	<$>112388</>	None	<$>112388</>	-15436	4664	0	WARP_DUN_ERC01_SMALLROOM_ENTER	None
3	WARP_ERC_DUN01_OUT	npc_errac_whorf	89	FALSE	None	None	None	None	6361	-43712	0	WARP_ERC_DUN01_OUT	None
6	WARP_ERC_BOSS_ROOM2	structure_potaeffect	271	FALSE	None	None	None	None	639	41285	0	WARP_ERC_BOSS_ROOM2	None
7	ERC_OBJ_CON	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-3036	42840	0	ERC_OBJ_CON	None
11	WARP_ERC_BOSS_ROOM	structure_potaeffect	0	FALSE	None	None	None	None	-22674	4665	0	WARP_ERC_BOSS_ROOM	None
12	ERC_GATE2	npc_errac_whorf	87	FALSE	None	None	None	None	-2925	46486	0	ERC_GATE2	None
14	TR_SHARON_BIGEXPLOSION	TutorialTrigger_Black	267	FALSE	None	None	None	None	1467	40668	0	TR_SHARON_BIGEXPLOSION	None
15	TR_SHARON_GODPEOPLE	TutorialTrigger_Black	267	FALSE	None	None	None	None	674	42963	0	TR_SHARON_GODPEOPLE	None
16	tr_armmain08	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>112389</>	636	41098	0	TR_MAINQUEST_ARM08	None
100	TR_ORDENQUEST_06	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>180122</>	6392	-39656	-315	TR_ORDENQUEST_06	None
