ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_QUIRI_CHARLOT	npc_charlot	275	FALSE	minimap_npc.bmp	<$>202610</>	None	<$>202610</>	-30	2163	3439	C1_QUIRI_CHARLOT	None
2	C1_QUIRI_CASSANDRA	npc_quiri_Cassandra	305	FALSE	minimap_npc.bmp	<$>217848</>	None	<$>217848</>	-1028	1936	3439	C1_QUIRI_CASSANDRA	None
3	C1_QUIRI_DUNALTSOL01	npc_quiri_Dunaltsol	230	FALSE	minimap_npc.bmp	<$>221065</>	None	<$>221065</>	1028	1936	3439	C1_QUIRI_DUNALTSOL	None
4	C1_QUIRI_DUNALTSOL02	npc_quiri_Dunaltsol	329	FALSE	None	<$>220890</>	None	<$>221066</>	-1819	1233	3439	C1_QUIRI_DUNALTSOL1	None
5	C1_QUIRI_DUNALTSOL03	npc_quiri_Dunaltsol	241	FALSE	None	<$>220890</>	None	<$>220854</>	1748	1211	3439	C1_QUIRI_DUNALTSOL2	None
100	NPC_ALT_MAIN03_QUESTDUMMY3	TutorialTrigger_Black_6m	241	FALSE	None	None	None	<$>221067</>	10884	-2143	591	NPC_ALT_MAIN03_QUESTDUMMY3	None
101	NPC_ALT_MAIN03_QUESTDUMMY4	TutorialTrigger_Black_6m	241	FALSE	None	None	None	<$>221068</>	1303	8825	1162	NPC_ALT_MAIN03_QUESTDUMMY4	None
102	NPC_ALT_MAIN03_QUESTDUMMY5	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>221069</>	-1883	-9371	3015	NPC_ALT_MAIN03_QUESTDUMMY5	None
103	NPC_ALT_MAIN03_QUESTDUMMY6	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>221070</>	27	-5081	3439	NPC_ALT_MAIN03_QUESTDUMMY6	None
104	NPC_ALT_MAIN03_QUESTDUMMY7	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>221071</>	-12	-4	3444	NPC_ALT_MAIN03_QUESTDUMMY7	None
200	tr_npc_setting_qiri	TutorialTrigger_Black_3m	0	FALSE	None	None	None	None	-1336	-3853	3439	DUN_QIRI_NPC_SETTING	None
300	DUN_QUIRITATIO_01	EntranceArrow_01	84	FALSE	minimap_warpOut.bmp	<$>221072</>	OUTSIDE	<$>221072</>	424	3284	3439	DUN_QUIRITATIO	None
