ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	FLD_BST02_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	1295	-25187	-346	FLD_BST02_MANAGER	None
2	TR_BST_WILLIAM_DATEQUEST3_1	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	6499	-20922	-225	TR_BST_WILLIAM_DATEQUEST3	None
3	TR_BST_WILLIAM_DATEQUEST3_2	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	4970	-14206	-224	TR_BST_WILLIAM_DATEQUEST3	None
4	TR_BST_WILLIAM_DATEQUEST3_3	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-5703	-17755	-287	TR_BST_WILLIAM_DATEQUEST3	None
5	TR_BST_WILLIAM_DATEQUEST3_4	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-15330	11361	1803	TR_BST_WILLIAM_DATEQUEST3	None
6	TR_BST_WILLIAM_DATEQUEST3_5	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-14989	22157	1630	TR_BST_WILLIAM_DATEQUEST3	None
7	TR_BST_WILLIAM_DATEQUEST3_6	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-19464	10636	3271	TR_BST_WILLIAM_DATEQUEST3	None
8	TR_BST_TIGRES_DOOR	npc_bristiainfanty2	270	FALSE	minimap_npc.bmp	<$>99202</>	<$>99202</>	-8399	21555	1774	TR_BST_TIGRES_DOOR	None
9	TR_BST_MAIN_TAIL01	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-11166	-11507	-38	TR_BST_MAIN_TAIL01	None
10	TR_BST_MAIN_TAIL02	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-10718	17834	1713	TR_BST_MAIN_TAIL02	None
11	TR_BST_MAIN_TAIL03	TutorialTrigger_Black_3m	0	FALSE	None	None	<$>13438</>	-8422	21140	1774	TR_BST_MAIN_TAIL03	None
