ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	captain_two	NPC_REB_CAPTAIN	170	FALSE	minimap_npc.bmp	None	None	<$>64803</>	2883	-3344	925	TUTO_RICARDO	None
2	SETTLER_ITEM_BOX	npc_btl_auch03_box	0	FALSE	None	None	None	None	2728	-3636	937	NONE	None
3	SETTLER_ITEM_BOX2	npc_btl_auch03_box	0	FALSE	None	None	None	None	2490	-3668	941	NONE	None
4	TR_FLD_PTV_TUTO	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2270	-3182	950	TR_FLD_PTV_TUTO	None
5	TR_FLD_PTV_TUTO1	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2374	-2978	923	TR_FLD_PTV_TUTO	None
6	TR_FLD_PTV_TUTO2	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2588	-2923	904	TR_FLD_PTV_TUTO	None
7	TR_FLD_PTV_TUTO3	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2750	-3121	912	TR_FLD_PTV_TUTO	None
8	TR_FLD_PTV_TUTO4	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2684	-3323	936	TR_FLD_PTV_TUTO	None
9	TR_FLD_PTV_TUTO5	HiddenTrigger_Tuto3	0	FALSE	None	None	None	None	2388	-3298	952	TR_FLD_PTV_TUTO	None
10	TR_FLD_PTV_TUTO_A	TutorialTrigger_Gray_3m	0	FALSE	None	None	None	None	1694	-3408	925	TR_FLD_PTV_TUTO_A	None
11	TR_FLD_PTV_TUTO_A2	TutorialArrow_01	180	FALSE	None	None	None	None	1720	-3103	955	TR_FLD_PTV_TUTO_A	None
12	TR_FLD_PTV_TUTO_A3	TutorialTrigger_Gray_3m	0	FALSE	None	None	None	None	1858	-2232	851	TR_FLD_PTV_TUTO_A	None
13	TR_FLD_PTV_TUTO_B	TutorialArrow_01	180	FALSE	None	None	None	None	-158	-3079	933	TR_FLD_PTV_TUTO_B	None
14	TR_FLD_PTV_TUTO_B2	TutorialTrigger_Gray_3m	180	FALSE	None	None	None	None	-267	-3363	853	TR_FLD_PTV_TUTO_B	None
15	TR_FLD_PTV_TUTO_B3	TutorialTrigger_Gray_3m	180	FALSE	None	None	None	None	-231	-2788	935	TR_FLD_PTV_TUTO_B	None
16	TR_FLD_PTV_TUTO_C	TutorialArrow_01	80	FALSE	None	None	None	None	-2803	-3340	994	TR_FLD_PTV_TUTO_C	None
17	TR_FLD_PTV_TUTO_D	TutorialArrow_01	120	FALSE	None	None	None	None	-3316	-142	873	TR_FLD_PTV_TUTO_D	None
18	TR_FLD_PTV_TUTO_E	TutorialArrow_01	90	FALSE	None	None	None	None	-4251	3127	990	TR_FLD_PTV_TUTO_E	None
19	TR_FLD_PTV_TUTO_F	TutorialArrow_01	180	FALSE	None	None	None	None	-5864	5781	885	TR_FLD_PTV_TUTO_F	None
20	TR_FLD_PTV_TUTO_G	TutorialArrow_01	180	FALSE	None	None	None	None	-8131	5810	936	TR_FLD_PTV_TUTO_G	None
21	FLD_PTV_TUTO_EXIT	EntranceArrow	180	FALSE	minimap_warpOut.bmp	None	OUTSIDE	<$>47351</>	-12671	5735	932	TR_FLD_PTV_TUTO_EXIT	None
22	TUTO_SHOP	COM_JOHNNY2	0	FALSE	minimap_npc.bmp	None	None	<$>64804</>	-9764	5353	932	TUTO_SHOP	None
