ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	NPC_GIG_GAME	Gig_letizia	270	FALSE	minimap_npc.bmp	<$>90599</>	None	<$>90599</>	-4	-16354	437	NPC_GIG_GAME	None
2	NPC_GIG_CAPTIN_GIGANTE	COIM_SOLM2	42	FALSE	minimap_npc.bmp	<$>64814</>	None	<$>64814</>	-1582	-22404	437	NPC_GIG_CAPTIN_GIGANTE	None
3	NPC_GIG_SLOT_PRESENT	npc_slotmbox	0	FALSE	minimap_npc.bmp	<$>64815</>	None	<$>64815</>	-471	-5610	1963	NPC_GIG_SLOT_PRESENT	None
4	GAMBLE_CHIP	REB_BOYa2	236	FALSE	minimap_npc.bmp	<$>64816</>	None	<$>64816</>	385	-14474	1292	GAMBLE_CHIP	None
5	GAMBLE_CHIP2	REB_BOYa1	280	FALSE	minimap_npc.bmp	<$>64817</>	None	<$>64817</>	-358	-14455	1292	GAMBLE_CHIP2	None
6	SHOP_PROMOTION	npc_master	93	FALSE	minimap_npc.bmp	None	None	<$>95261</>	-887	-14470	1292	SHOP_PROMOTION	<$>95261</>
8	C1_GIG_LOSA	Rosablanca	267	FALSE	minimap_npc.bmp	<$>64818</>	None	<$>64818</>	-299	-15234	1073	C1_GIG_LOSA	None
9	GIG_KEY_SALE	COIM_FISHb	0	FALSE	minimap_npc.bmp	<$>51813</>	None	<$>51813</>	-1810	-19197	437	NPC_GIG__KEY_SALE	None
10	GAMBLE_CHIP_TABLE	ETC_SellingVendor	169	FALSE	None	None	None	None	371	-14362	1292	GAMBLE_CHIP_TABLE	None
11	SHOP_PERIOD_COSTUME	Rico_letizia2	181	FALSE	minimap_npc.bmp	None	None	<$>95267</>	-423	-12370	1292	SHOP_PERIOD_COSTUME	<$>64456</>
12	EVENT_SILVER_WELL	npc_removebox	181	FALSE	None	None	None	<$>51697</>	-423	-12189	1292	EVENT_SILVER_WELL	None
13	C1_GIG_SOSO	COIM_SOSO	100	FALSE	minimap_npc.bmp	<$>2839</>	None	<$>2839</>	589	-19100	437	C1_GIG_SOSO	None
14	leonardo_gig	AUCH_LEON	270	FALSE	minimap_npc.bmp	<$>10806</>	None	<$>10806</>	-837	-13668	1294	LEO_SERVICE	None
15	waypoint_reb03	WAYPOINT_ONROAD	277	FALSE	minimap_waypoint.bmp	<$>51907</>	None	<$>51907</>	84	-19010	437	WAYPOINT_AUCH_BASIC	None
16	NPC_LUDIN	npc_ludin	177	FALSE	minimap_npc.bmp	<$>3601</>	None	<$>3601</>	-231	-20043	437	C1_GIG_LUDIN	None
17	NPC_GIGANVEGAS_GATE	Teleportation2	256	FALSE	minimap_warpIn.bmp	<$>47458</>	None	<$>47458</>	5133	-9110	1292	NPC_GIGANVEGAS_GATE	None
18	NPC_GIG_COUPON_CHANGER	npc_castilla_relicchange	265	FALSE	minimap_npc.bmp	<$>64820</>	None	<$>64820</>	5662	-9117	1296	NPC_GIG_COUPON_CHANGER	None
19	NPC_GIG_COSCOMPOSE	ETC_npc_slotmachine_set1	175	FALSE	minimap_npc.bmp	<$>64821</>	None	<$>64821</>	5744	-10806	1293	NPC_GIG_COSCOMPOSE	None
21	SHOP_MARKET	REB_AUCTION	93	FALSE	minimap_market.bmp	None	None	<$>64453</>	-1439	-14470	1292	SHOP_MARKET	<$>64453</>
22	MI_STANCEQUEST2	TutorialTrigger_Black_3m	0	FALSE	None	<$>68584</>	None	None	-7181	-17440	163	MI_STANCEQUEST2	None
24	NPC_BAHITEM_SHOP	WEP_NPC	271	FALSE	minimap_weapon.bmp	None	None	<$>142223</>	-2207	-13668	1294	NPC_CASITEM_SHOP	<$>142224</>
25	ITEM_REFINEMENT	npc_com_anvil	93	FALSE	None	None	None	<$>142225</>	-1964	-14470	1292	ITEM_REFINEMENT	None
26	SHOP_BAH_REINFORCE	npc_com_manc2_set	93	FALSE	minimap_reinforce.bmp	None	None	<$>95273</>	-1763	-14470	1292	SHOP_VIRON_REINFORCE	<$>64952</>
27	SHOP_BAH_ENCHANT	INCHANT_NPC	93	FALSE	minimap_enchant.bmp	None	None	<$>94939</>	-2273	-14470	1292	SHOP_AUCH_ENCHANT	<$>10796</>
28	SHOP_BAH_ENCHIP	ETC_npc_slotmachine_set2	93	FALSE	None	None	None	<$>142226</>	-2504	-14470	1292	SHOP_AUCH_ENCHIP	None
29	NPC_LUMIN_CHANGER	npc_forge_nofireY	93	FALSE	None	None	None	<$>10797</>	-2705	-14470	1292	NPC_LUMIN_CHANGER	None
30	SHOP_BAH_SOCKET	REB_SOCKET	93	FALSE	minimap_socket.bmp	None	None	<$>95285</>	-2920	-14470	1292	SHOP_REB_SOCKET	<$>10795</>
31	npc_cas_jewelshop	npc_com_manc1_set	271	FALSE	minimap_jewel.bmp	None	None	<$>95266</>	-2561	-13668	1294	SHOP_AUCH_GOLDITEM	<$>51619</>
32	SHOP_BULLET	npc_forge_nofireX	270	FALSE	None	None	None	<$>51707</>	-1779	-13567	1294	BULLET_SHOP	None
33	AUCH_SHOP_ITEM	COM_GIRLa2_1	271	FALSE	minimap_tool.bmp	None	None	<$>95269</>	-1592	-13668	1294	SHOP_REB_CITEM	<$>10799</>
