ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	C1_IFARM_ORNELLA	npc_ifarm_Ornella	270	FALSE	minimap_npc.bmp	<$>222240</>	None	<$>222240</>	-1	8142	-39	C1_IFARM_ORNELLA	None
2	C1_IFARM_VANRARE	npc_ifarm_VanRare	267	FALSE	minimap_npc.bmp	<$>218933</>	None	<$>218933</>	810	7463	-16	C1_IFARM_VANRARE	None
3	C1_IFARM_BERTHERARE	npc_ifarm_bertherare	358	FALSE	minimap_npc.bmp	<$>196259</>	None	<$>196259</>	-5722	5450	99	C1_IFARM_BERTHERARE	None
4	C1_IFARM_ANIESRARE	npc_ifarm_anies2	272	FALSE	minimap_npc.bmp	<$>196261</>	None	<$>196261</>	2447	6782	5	C1_IFARM_ANIESRARE	None
5	IFARM_PRIEST1	arm_cardinal3	184	FALSE	minimap_npc.bmp	<$>112335</>	None	<$>112335</>	5745	5437	99	IFARM_PRIEST1	None
6	IFARM_PRIEST2	arm_cardinal3	191	FALSE	minimap_npc.bmp	<$>112334</>	None	<$>112334</>	1679	6212	5	IFARM_PRIEST2	None
7	C1_IFARM_NECRO_BIBLE	arm_necrobible	358	FALSE	minimap_npc.bmp	<$>112358</>	None	<$>112358</>	-2536	-4425	5	C1_IFARM_NECRO_BIBLE	None
8	C1_IFARM_OLGA	arm_paladin_m2	267	FALSE	minimap_npc.bmp	<$>112346</>	None	<$>112346</>	40	-12891	150	C1_IFARM_OLGA	None
100	PRAY_EFFECT	Trigger_Black_None	0	FALSE	None	None	None	<$>112343</>	-1	8142	-39	NPC_PRAY_BUFF_MANAGER_EFFECT	None
101	IFARM_NPC1	Trigger_Black_None	0	FALSE	None	None	None	<$>225470</>	951	8406	-16	IFARM_NPC1	None
102	TR_IFARMMAIN02_01	TutorialTrigger_Black_6m	0	FALSE	None	None	None	<$>225471</>	144	-11194	-16	TR_IFARMMAIN02_01	None
300	TR_IFARMMAIN03_7	TutorialTrigger_Black_3m	0	FALSE	None	None	None	TR_IFARMMAIN03_7	0	-14866	435	TR_IFARMMAIN03_7	None
301	TR_IFARMMAIN03_15	TutorialTrigger_Black_3m	0	FALSE	None	None	None	TR_IFARMMAIN03_15	-2	7738	-5	TR_IFARMMAIN03_15	None
302	TR_IFARMMAIN03_20	TutorialTrigger_Black_3m	0	FALSE	None	None	None	TR_IFARMMAIN03_20	-10	4183	-16	TR_IFARMMAIN03_20	None
