ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	ile_basic_shop	illier_neelie	140	FALSE	minimap_tool.bmp	None	None	<$>195342</>	4221	-1374	-21	C1_ILE_NEELIE	<$>10799</>
2	arm_basic_rainforce	npc_bristia_man3	271	FALSE	minimap_reinforce.bmp	None	None	<$>112315</>	6777	180	-17	SHOP_VIRON_REINFORCE	<$>64952</>
3	arm_basic_market	REB_AUCTION_DESK	89	FALSE	minimap_market.bmp	<$>64453</>	None	<$>64453</>	7137	-904	0	SHOP_MARKET	<$>64453</>
4	arm_basic_enchant	INCHANT_NPC	119	FALSE	minimap_enchant.bmp	None	None	<$>94939</>	4962	-967	-7	SHOP_AUCH_ENCHANT	<$>10796</>
5	arm_leonardo	AUCH_LEON_SUM	306	FALSE	minimap_npc.bmp	<$>10806</>	None	<$>10806</>	3204	-1171	-3	LEO_SERVICE	None
6	SHOP_BULLET	npc_forge_nofireX	270	FALSE	None	None	None	<$>51707</>	8130	286	2	BULLET_SHOP	None
7	SHOP_PROMOTION	npc_master	176	FALSE	minimap_npc.bmp	None	None	<$>95261</>	1549	10	8	SHOP_PROMOTION	<$>95261</>
8	npc_cas_jewelshop	npc_com_manc1_set	301	FALSE	minimap_jewel.bmp	None	None	<$>95266</>	4176	-403	-7	SHOP_AUCH_GOLDITEM	<$>51619</>
9	npc_viron_weaponshop	WEP_NPC	186	FALSE	minimap_weapon.bmp	None	None	<$>142223</>	8669	-832	25	NPC_CASITEM_SHOP	<$>142224</>
10	waypoint_arm	WAYPOINT_ONROAD	218	FALSE	minimap_waypoint.bmp	<$>51907</>	None	<$>51907</>	-676	-1545	-29	WAYPOINT_AUCH_BASIC	None
11	ITEM_REFINEMENT	npc_com_anvil	256	FALSE	None	None	None	<$>142225</>	6207	246	-8	ITEM_REFINEMENT	None
12	SHOP_BAH_ENCHIP	ETC_npc_slotmachine_set2	102	FALSE	None	None	None	<$>142226</>	8962	-490	28	SHOP_AUCH_ENCHIP	None
13	NPC_LUMIN_CHANGER	npc_forge_nofireY	304	FALSE	None	None	None	<$>10797</>	3943	-548	-6	NPC_LUMIN_CHANGER	None
14	SHOP_BAH_SOCKET	REB_SOCKET	89	FALSE	minimap_socket.bmp	None	None	<$>95285</>	5786	-654	-7	SHOP_REB_SOCKET	<$>10795</>
15	SHOP_PERIOD_COSTUME	Rico_letizia2	213	FALSE	minimap_npc.bmp	None	None	<$>95267</>	3728	-2436	13	SHOP_PERIOD_COSTUME	<$>64456</>
16	EVENT_SILVER_WELL	npc_removebox	217	FALSE	None	None	None	<$>51697</>	3760	-2576	13	EVENT_SILVER_WELL	None
