ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	DEMONIAC_BOX_NORMAL_1	TreasureChest_Red	89	FALSE	None	None	<$>2295</>	-5002	-16995	49	DEMONIAC_BOX_NORMAL	None
2	DEMONIAC_BOX_NORMAL_2	TreasureChest_Red	91	FALSE	None	None	<$>2295</>	4999	-16997	49	DEMONIAC_BOX_NORMAL	None
3	DEMONIAC_BOX_NORMAL_3	TreasureChest_Red	183	FALSE	None	None	<$>2295</>	4	-13006	49	DEMONIAC_BOX_NORMAL	None
4	DEMONIAC_BOX_NORMAL_4	TreasureChest_Red	267	FALSE	None	None	<$>2295</>	-6999	-8006	49	DEMONIAC_BOX_NORMAL	None
5	DEMONIAC_BOX_NORMAL_5	TreasureChest_Red	178	FALSE	None	None	<$>2295</>	6994	-8007	49	DEMONIAC_BOX_NORMAL	None
6	DEMONIAC_BOX_NORMAL_6	TreasureChest_Red	180	FALSE	None	None	<$>2295</>	6996	6	49	DEMONIAC_BOX_NORMAL	None
7	DEMONIAC_BOX_NORMAL_7	TreasureChest_Red	88	FALSE	None	None	<$>2295</>	23	-3881	0	DEMONIAC_BOX_NORMAL	None
8	DEMONIAC_BOX_NORMAL_8	TreasureChest_Red	0	FALSE	None	None	<$>2295</>	-8057	-1094	0	DEMONIAC_BOX_NORMAL	None
9	DEMONIAC_BOX_NORMAL_9	TreasureChest_Red	3	FALSE	None	None	<$>2295</>	492	8978	48	DEMONIAC_BOX_NORMAL	None
10	DEMONIAC_BOX_NORMAL_10	TreasureChest_Red	182	FALSE	None	None	<$>2295</>	7013	12160	0	DEMONIAC_BOX_NORMAL	None
11	DEMONIAC_BOX_NORMAL_11	TreasureChest_Red	186	FALSE	None	None	<$>2295</>	11993	20460	0	DEMONIAC_BOX_NORMAL	None
12	DEMONIAC_BOX_NORMAL_12	TreasureChest_Red	0	FALSE	None	None	<$>2295</>	6003	29435	-201	DEMONIAC_BOX_NORMAL	None
13	DEMONIAC_BOX_NORMAL_13	TreasureChest_Red	173	FALSE	None	None	<$>2295</>	9904	34965	0	DEMONIAC_BOX_NORMAL	None
