ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
12	DOTTED_LINE12	DOTTED_LINE	298	FALSE	None	None	None	10118	-52060	-24966	TR_MISSION_TAYLOR	None
13	DOTTED_LINE13	DOTTED_LINE	296	FALSE	None	None	None	9855	-52191	-25009	TR_MISSION_TAYLOR	None
14	DOTTED_LINE14	DOTTED_LINE	298	FALSE	None	None	None	9596	-52333	-25054	TR_MISSION_TAYLOR	None
15	DOTTED_LINE15	DOTTED_LINE	67	FALSE	None	None	None	9772	-60125	-24939	TR_MISSION_TAYLOR	None
16	DOTTED_LINE16	DOTTED_LINE	71	FALSE	None	None	None	9203	-59929	-24939	TR_MISSION_TAYLOR	None
17	DOTTED_LINE17	DOTTED_LINE	68	FALSE	None	None	None	8911	-59817	-24940	TR_MISSION_TAYLOR	None
18	DOTTED_LINE18	DOTTED_LINE	71	FALSE	None	None	None	8638	-59722	-24940	TR_MISSION_TAYLOR	None
19	DOTTED_LINE19	DOTTED_LINE	71	FALSE	None	None	None	7800	-59492	-24938	TR_MISSION_TAYLOR	None
20	DOTTED_LINE20	DOTTED_LINE	74	FALSE	None	None	None	8078	-59564	-24939	TR_MISSION_TAYLOR	None
21	DOTTED_LINE21	DOTTED_LINE	73	FALSE	None	None	None	8363	-59638	-24940	TR_MISSION_TAYLOR	None
22	DOTTED_LINE22	DOTTED_LINE	71	FALSE	None	None	None	9489	-60025	-24939	TR_MISSION_TAYLOR	None
