ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	DOTTED_LINE1	DOTTED_LINE	203	FALSE	None	None	None	3364	-1648	-2172	TR_MISSION_TAYLOR	None
2	DOTTED_LINE2	DOTTED_LINE	229	FALSE	None	None	None	3067	-1166	-2178	TR_MISSION_TAYLOR	None
3	DOTTED_LINE3	DOTTED_LINE	205	FALSE	None	None	None	3248	-1392	-2174	TR_MISSION_TAYLOR	None
4	DOTTED_LINE4	DOTTED_LINE	21	FALSE	None	None	None	3795	-2735	-2260	TR_MISSION_TAYLOR	None
5	DOTTED_LINE5	DOTTED_LINE	200	FALSE	None	None	None	3681	-2447	-2221	TR_MISSION_TAYLOR	None
6	DOTTED_LINE6	DOTTED_LINE	200	FALSE	None	None	None	3579	-2180	-2185	TR_MISSION_TAYLOR	None
7	DOTTED_LINE7	DOTTED_LINE	23	FALSE	None	None	None	3476	-1914	-2175	TR_MISSION_TAYLOR	None
8	DOTTED_LINE8	DOTTED_LINE	130	FALSE	None	None	None	1572	-518	-2227	TR_MISSION_TAYLOR	None
9	DOTTED_LINE9	DOTTED_LINE	126	FALSE	None	None	None	1332	-707	-2246	TR_MISSION_TAYLOR	None
10	DOTTED_LINE10	DOTTED_LINE	131	FALSE	None	None	None	1108	-884	-2263	TR_MISSION_TAYLOR	None
11	DOTTED_LINE11	DOTTED_LINE	129	FALSE	None	None	None	881	-1059	-2280	TR_MISSION_TAYLOR	None
12	DOTTED_LINE12	DOTTED_LINE	128	FALSE	None	None	None	654	-1253	-2298	TR_MISSION_TAYLOR	None
13	DOTTED_LINE13	DOTTED_LINE	304	FALSE	None	None	None	405	-1438	-2317	TR_MISSION_TAYLOR	None
14	DOTTED_LINE14	DOTTED_LINE	268	FALSE	None	None	None	1205	-4016	-2378	TR_MISSION_TAYLOR	None
15	DOTTED_LINE15	DOTTED_LINE	266	FALSE	None	None	None	1509	-4030	-2348	TR_MISSION_TAYLOR	None
16	DOTTED_LINE16	DOTTED_LINE	266	FALSE	None	None	None	1803	-4051	-2319	TR_MISSION_TAYLOR	None
17	DOTTED_LINE17	DOTTED_LINE	270	FALSE	None	None	None	2098	-4063	-2290	TR_MISSION_TAYLOR	None
18	DOTTED_LINE18	DOTTED_LINE	273	FALSE	None	None	None	2380	-4053	-2265	TR_MISSION_TAYLOR	None
19	DOTTED_LINE19	DOTTED_LINE	281	FALSE	None	None	None	2671	-4017	-2276	TR_MISSION_TAYLOR	None
20	DOTTED_LINE20	DOTTED_LINE	287	FALSE	None	None	None	2947	-3940	-2287	TR_MISSION_TAYLOR	None
