ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	DOTTED_LINE1	DOTTED_LINE	87	FALSE	None	None	None	-1321	-236	1	TR_MISSION_TAYLOR	None
2	DOTTED_LINE2	DOTTED_LINE	1	FALSE	None	None	None	-1509	-82	1	TR_MISSION_TAYLOR	None
3	DOTTED_LINE3	DOTTED_LINE	0	FALSE	None	None	None	-1524	1134	11	TR_MISSION_TAYLOR	None
4	DOTTED_LINE4	DOTTED_LINE	0	FALSE	None	None	None	-1516	818	9	TR_MISSION_TAYLOR	None
5	DOTTED_LINE5	DOTTED_LINE	1	FALSE	None	None	None	-1508	518	6	TR_MISSION_TAYLOR	None
6	DOTTED_LINE6	DOTTED_LINE	0	FALSE	None	None	None	-1513	202	4	TR_MISSION_TAYLOR	None
7	DOTTED_LINE7	DOTTED_LINE	270	FALSE	None	None	None	444	3835	30	TR_MISSION_TAYLOR	None
8	DOTTED_LINE8	DOTTED_LINE	270	FALSE	None	None	None	149	3835	21	TR_MISSION_TAYLOR	None
9	DOTTED_LINE9	DOTTED_LINE	271	FALSE	None	None	None	-149	3833	21	TR_MISSION_TAYLOR	None
10	DOTTED_LINE10	DOTTED_LINE	272	FALSE	None	None	None	-426	3828	21	TR_MISSION_TAYLOR	None
11	DOTTED_LINE11	DOTTED_LINE	87	FALSE	None	None	None	594	-246	19	TR_MISSION_TAYLOR	None
12	DOTTED_LINE12	DOTTED_LINE	180	FALSE	None	None	None	-1546	2034	16	TR_MISSION_TAYLOR	None
13	DOTTED_LINE13	DOTTED_LINE	358	FALSE	None	None	None	-1537	1728	14	TR_MISSION_TAYLOR	None
14	DOTTED_LINE14	DOTTED_LINE	1	FALSE	None	None	None	-1532	1438	12	TR_MISSION_TAYLOR	None
15	DOTTED_LINE15	DOTTED_LINE	92	FALSE	None	None	None	-1010	-237	4	TR_MISSION_TAYLOR	None
16	DOTTED_LINE16	DOTTED_LINE	89	FALSE	None	None	None	-697	-216	10	TR_MISSION_TAYLOR	None
17	DOTTED_LINE17	DOTTED_LINE	87	FALSE	None	None	None	-371	-217	17	TR_MISSION_TAYLOR	None
18	DOTTED_LINE18	DOTTED_LINE	89	FALSE	None	None	None	-40	-222	19	TR_MISSION_TAYLOR	None
19	DOTTED_LINE19	DOTTED_LINE	87	FALSE	None	None	None	286	-227	19	TR_MISSION_TAYLOR	None
