ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
20	DOTTED_LINE1	DOTTED_LINE	132	FALSE	None	None	None	1421	-7329	1055	TR_MISSION_TAYLOR	None
21	DOTTED_LINE2	DOTTED_LINE	134	FALSE	None	None	None	1640	-7135	1050	TR_MISSION_TAYLOR	None
22	DOTTED_LINE3	DOTTED_LINE	135	FALSE	None	None	None	2286	-6491	1056	TR_MISSION_TAYLOR	None
23	DOTTED_LINE4	DOTTED_LINE	135	FALSE	None	None	None	2082	-6709	1050	TR_MISSION_TAYLOR	None
24	DOTTED_LINE5	DOTTED_LINE	312	FALSE	None	None	None	1864	-6927	1050	TR_MISSION_TAYLOR	None
25	DOTTED_LINE6	DOTTED_LINE	311	FALSE	None	None	None	-335	-5729	1176	TR_MISSION_TAYLOR	None
26	DOTTED_LINE7	DOTTED_LINE	312	FALSE	None	None	None	693	-4666	1086	TR_MISSION_TAYLOR	None
27	DOTTED_LINE8	DOTTED_LINE	315	FALSE	None	None	None	470	-4880	1093	TR_MISSION_TAYLOR	None
28	DOTTED_LINE9	DOTTED_LINE	312	FALSE	None	None	None	273	-5095	1113	TR_MISSION_TAYLOR	None
29	DOTTED_LINE10	DOTTED_LINE	315	FALSE	None	None	None	65	-5302	1135	TR_MISSION_TAYLOR	None
30	DOTTED_LINE11	DOTTED_LINE	315	FALSE	None	None	None	-133	-5519	1160	TR_MISSION_TAYLOR	None
