AR	ATK	ClassID	ClassName	DR	DefIP	DefaultItem	FireIP	IMP	IceIP	LgtIP	MHP	MSP	MonDam	Name	OptionItem	PCDef	Parent	PsyIP	SetItemGroup	ToolTip
0	0	1000	StrataSet	0	0	None	0	0	0	0	0	0	0	<$>124373</>	Ear Neck Belt Glove Boots	0	None	0	1	None
0	0	1001	StrataSet_1	0	1	None	1	1	1	1	1000	0	0	<$>184163</>	None	0	StrataSet	1	1	<$>184164</>
0	0	1002	StrataSet_2	0	2	None	2	2	2	2	2000	0	0	<$>184165</>	None	0	StrataSet	2	1	<$>184164</>
0	0	1003	StrataSet_3	0	3	None	3	3	3	3	3000	0	0	<$>184166</>	None	0	StrataSet	3	1	<$>184164</>
0	0	1004	StrataSet_4	0	4	None	4	4	4	4	4000	0	0	<$>184167</>	None	0	StrataSet	4	1	<$>184164</>
1	0	1005	StrataSet_5	1	5	None	5	5	5	5	5000	0	0	<$>184168</>	None	0	StrataSet	5	1	<$>184169</>
0	0	2000	BristiaSet	0	0	None	0	0	0	0	0	0	0	<$>81059</>	Ear Neck Belt Glove Boots Weapon	0	None	0	2	None
0	2	2001	BristiaSet_1	0	1	None	1	1	1	1	1000	0	0	<$>184163</>	None	0	BristiaSet	1	2	<$>184170</>
0	4	2002	BristiaSet_2	0	2	None	2	2	2	2	2000	0	0	<$>184165</>	None	0	BristiaSet	2	2	<$>184170</>
0	6	2003	BristiaSet_3	0	3	None	3	3	3	3	3000	0	0	<$>184166</>	None	0	BristiaSet	3	2	<$>184170</>
0	8	2004	BristiaSet_4	0	4	None	4	4	4	4	4000	0	0	<$>184167</>	None	0	BristiaSet	4	2	<$>184170</>
0	10	2005	BristiaSet_5	0	5	None	5	5	5	5	5000	0	0	<$>184168</>	None	0	BristiaSet	5	2	<$>184170</>
0	10	2006	BristiaSet_6	0	5	None	5	5	5	5	5000	0	0	<$>185638</>	None	0	BristiaSet	5	2	<$>185639</>
