ClassID	ClearWeek	Fraction	Group	Limit	LimitTime	TimeLimitCount
40000	0	SCP_USE_ZENIABOX_JPN	0	0	0	0
40001	1	None	10001	0	0	0
40002	1	None	10002	0	0	0
40003	1	None	10003	0	0	0
40004	1	None	10004	0	0	0
40005	1	None	10005	0	0	0
40006	1	None	10006	0	0	0
40007	1	None	10007	0	0	0
40008	1	None	10008	0	0	0
40009	1	None	10009	0	0	0
40010	1	None	10010	0	0	0
40011	1	None	10011	0	0	0
40012	1	None	10012	0	0	0
40013	1	None	10013	0	0	0
40014	1	None	10014	0	0	0
40015	1	None	10015	0	0	0
40016	1	None	10016	0	0	0
40017	0	SCP_USE_RALPHBOX_JPN_JPN	0	0	0	0
40018	1	None	10017	0	0	0
40019	1	None	10018	0	0	0
40020	1	None	10019	0	0	0
40021	1	None	10020	0	0	0
40022	1	None	10021	0	0	0
40023	1	None	10022	0	0	0
40024	1	None	10023	0	0	0
40025	1	None	10024	0	0	0
40026	1	None	10025	0	0	0
40027	1	None	10026	0	0	0
40028	1	None	10027	0	0	0
40029	1	None	10028	0	0	0
40030	1	None	10029	0	0	0
40031	1	None	10030	0	0	0
40032	1	None	10031	0	0	0
40033	1	None	10032	0	0	0
40034	1	None	10033	0	0	0
