ClassID	ClassName	Cumulative	Desc	DescFont	Grade	MaxValue	MinValue	Rarity	ReqGroupName	Script	Sound	SoundGrade	UseCashItem	Value
101	Option_IncATK	TRUE	<$>31072</>	water_blue_14_ol	0	40	10	0	None	Option_IncATK	None	1	FALSE	0
102	Option_IncASPD	TRUE	<$>31073</>	water_blue_14_ol	0	30	10	0	None	Option_IncASPD	None	1	FALSE	0
103	Option_IncKDR	TRUE	<$>31074</>	water_blue_14_ol	0	2	2	0	None	Option_IncKDRank	None	1	FALSE	0
104	Option_IncCRT	TRUE	<$>31075</>	water_blue_14_ol	0	10	1	0	None	Option_IncCRT	None	1	FALSE	0
105	Option_IncPosnATK	TRUE	<$>31076</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendPoison	None	1	FALSE	0
106	Option_IncFireATK	TRUE	<$>31077</>	water_blue_14_ol	0	40	10	0	None	Option_IncFireATK	None	1	FALSE	0
107	Option_IncIceATK	TRUE	<$>31078</>	water_blue_14_ol	0	40	10	0	None	Option_IncIceATK	None	1	FALSE	0
108	Option_IncLghtATK	TRUE	<$>31079</>	water_blue_14_ol	0	40	10	0	None	Option_IncLghtATK	None	1	FALSE	0
109	Option_RenderStun	TRUE	<$>31080</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendStun	None	1	FALSE	0
110	Option_RenderFear	TRUE	<$>31081</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendFear	None	1	FALSE	0
201	Option_IncDEF	TRUE	<$>31082</>	water_blue_14_ol	0	12	3	0	None	Option_IncDEF	None	1	FALSE	0
202	Option_IncPR	TRUE	<$>31083</>	water_blue_14_ol	0	15	5	0	None	Option_IncPR	None	1	FALSE	0
203	Option_IncRFIRE	TRUE	<$>31084</>	water_blue_14_ol	0	20	5	0	None	Option_IncRFIRE	None	1	FALSE	0
204	Option_IncRICE	TRUE	<$>31085</>	water_blue_14_ol	0	20	5	0	None	Option_IncRICE	None	1	FALSE	0
205	Option_IncRLGHT	TRUE	<$>31086</>	water_blue_14_ol	0	20	5	0	None	Option_IncRLGHT	None	1	FALSE	0
206	Option_IncRSTAT	TRUE	<$>99701</>	water_blue_14_ol	0	20	5	0	None	Option_IncRSTAT	None	1	FALSE	0
207	Option_IncMSPD	TRUE	<$>31088</>	water_blue_14_ol	0	15	5	0	None	Option_IncMSPD	None	1	FALSE	0
1001	Melee_IncATK	TRUE	<$>31072</>	water_blue_14_ol	0	40	10	0	MeleeWeapon	Option_IncATK	None	1	FALSE	0
1002	Melee_IncASPD	TRUE	<$>31073</>	water_blue_14_ol	0	30	10	0	MeleeWeapon	Option_IncASPD	None	1	FALSE	0
1003	Melee_IncCRT	TRUE	<$>31075</>	water_blue_14_ol	0	10	1	0	MeleeWeapon	Option_IncCRT	None	1	FALSE	0
1004	Melee_IncPosnATK	TRUE	<$>31076</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendPoison	None	1	FALSE	0
1005	Melee_RenderStun	TRUE	<$>31080</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendStun	None	1	FALSE	0
1006	Melee_RenderFear	TRUE	<$>31081</>	water_blue_14_ol	0	10	5	0	MeleeWeapon	Option_RendFear	None	1	FALSE	0
1007	Melee_IncFireATK	TRUE	<$>31077</>	water_blue_14_ol	0	40	10	0	MeleeWeapon	Option_IncFireATK	None	1	FALSE	0
1008	Melee_IncIceATK	TRUE	<$>31078</>	water_blue_14_ol	0	40	10	0	MeleeWeapon	Option_IncIceATK	None	1	FALSE	0
1009	Melee_IncLghtATK	TRUE	<$>31079</>	water_blue_14_ol	0	40	10	0	MeleeWeapon	Option_IncLghtATK	None	1	FALSE	0
1010	Melee_HumanBane	TRUE	<$>31135</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_HumanBane	sys_enchant_good.ogg	1	FALSE	0
1011	Melee_BeastBane	TRUE	<$>31090</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_BeastBane	sys_enchant_good.ogg	1	FALSE	0
1012	Melee_DemonBane	TRUE	<$>31091</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_DemonBane	sys_enchant_good.ogg	1	FALSE	0
1013	Melee_UndeadBane	TRUE	<$>31092</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_UndeadBane	sys_enchant_good.ogg	1	FALSE	0
1014	Melee_GolemBane	TRUE	<$>31093</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_GolemBane	sys_enchant_good.ogg	1	FALSE	0
1015	Melee_IncALv	TRUE	<$>31094</>	bright_yellow_14_ol	1	3	1	0	MeleeWeapon	Option_IncAR	sys_enchant_good.ogg	1	FALSE	0
1016	Melee_DinoBane	TRUE	<$>31095</>	bright_yellow_14_ol	1	100	25	0	MeleeWeapon	Option_DinoBane	sys_enchant_good.ogg	1	FALSE	0
1017	Melee_Vortexlash	TRUE	<$>31096</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1018	Melee_SeptEtoile	TRUE	<$>31097</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1019	Melee_HPDrain	TRUE	<$>31098</>	item_op_unique	0	5	5	0	MeleeWeapon	Option_HPDrain	None	1	FALSE	0
1020	Melee_LigeraVentaja	TRUE	<$>31099</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1021	Melee_MiembroFantasma	TRUE	<$>31100</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1022	Melee_AtomicCrazyRush	TRUE	<$>31101</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1023	Melee_Genocide	TRUE	<$>31102</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
1024	Melee_QuartoTaglio	TRUE	<$>31103</>	item_op_unique	0	1	1	0	MeleeWeapon	Option_AddSklLv	None	1	FALSE	0
2001	Range_IncATK	TRUE	<$>31072</>	water_blue_14_ol	0	40	10	0	RangeWeapon	Option_IncATK	None	1	FALSE	0
2002	Range_IncASPD	TRUE	<$>31073</>	water_blue_14_ol	0	30	10	0	RangeWeapon	Option_IncASPD	None	1	FALSE	0
2003	Range_IncCRT	TRUE	<$>31075</>	water_blue_14_ol	0	10	1	0	RangeWeapon	Option_IncCRT	None	1	FALSE	0
2004	Range_IncPosnATK	TRUE	<$>31076</>	water_blue_14_ol	0	10	5	0	RangeWeapon	Option_RendPoison	None	1	FALSE	0
2005	Range_RenderStun	TRUE	<$>31080</>	water_blue_14_ol	0	10	5	0	RangeWeapon	Option_RendStun	None	1	FALSE	0
2006	Range_RenderFear	TRUE	<$>31081</>	water_blue_14_ol	0	10	5	0	RangeWeapon	Option_RendFear	None	1	FALSE	0
2007	Range_IncFireATK	TRUE	<$>31077</>	water_blue_14_ol	0	40	10	0	RangeWeapon	Option_IncFireATK	None	1	FALSE	0
2008	Range_IncIceATK	TRUE	<$>31078</>	water_blue_14_ol	0	40	10	0	RangeWeapon	Option_IncIceATK	None	1	FALSE	0
2009	Range_IncLghtATK	TRUE	<$>31079</>	water_blue_14_ol	0	40	10	0	RangeWeapon	Option_IncLghtATK	None	1	FALSE	0
2010	Range_IncHR	TRUE	<$>31104</>	water_blue_14_ol	0	25	5	0	RangeWeapon	Option_IncHR	None	1	FALSE	0
2011	Range_HumanBane	TRUE	<$>31135</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_HumanBane	sys_enchant_good.ogg	1	FALSE	0
2012	Range_BeastBane	TRUE	<$>31090</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_BeastBane	sys_enchant_good.ogg	1	FALSE	0
2013	Range_DemonBane	TRUE	<$>31091</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_DemonBane	sys_enchant_good.ogg	1	FALSE	0
2014	Range_UndeadBane	TRUE	<$>31092</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_UndeadBane	sys_enchant_good.ogg	1	FALSE	0
2015	Range_GolemBane	TRUE	<$>31093</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_GolemBane	sys_enchant_good.ogg	1	FALSE	0
2016	Range_IncALv	TRUE	<$>31094</>	bright_yellow_14_ol	1	3	1	0	RangeWeapon	Option_IncAR	sys_enchant_good.ogg	1	FALSE	0
2017	Range_DinoBane	TRUE	<$>31095</>	bright_yellow_14_ol	1	100	25	0	RangeWeapon	Option_DinoBane	sys_enchant_good.ogg	1	FALSE	0
2018	Range_PrecisionStrike	TRUE	<$>31105</>	item_op_unique	0	1	1	0	RangeWeapon	Option_AddSklLv	None	1	FALSE	0
2019	Range_ExecutionShooter	TRUE	<$>31106</>	item_op_unique	0	1	1	0	RangeWeapon	Option_AddSklLv	None	1	FALSE	0
2020	Range_Claymore	TRUE	<$>31107</>	item_op_unique	0	1	1	0	RangeWeapon	Option_AddSklLv	None	1	FALSE	0
2021	Range_CannonShot	TRUE	<$>31108</>	item_op_unique	0	1	1	0	RangeWeapon	Option_AddSklLv	None	1	FALSE	0
2022	Range_SiegeCannonShot	TRUE	<$>31109</>	item_op_unique	0	1	1	0	RangeWeapon	Option_AddSklLv	None	1	FALSE	0
3001	Magic_IncATK	TRUE	<$>31072</>	water_blue_14_ol	0	40	10	0	MagicWeapon	Option_IncATK	None	1	FALSE	0
3002	Magic_IncASPD	TRUE	<$>31073</>	water_blue_14_ol	0	30	10	0	MagicWeapon	Option_IncASPD	None	1	FALSE	0
3003	Magic_IncMSP	TRUE	<$>31110</>	water_blue_14_ol	0	25	10	0	MagicWeapon	Option_IncMSP	None	1	FALSE	0
3004	Magic_HumanBane	TRUE	<$>31135</>	bright_yellow_14_ol	1	100	25	0	MagicWeapon	Option_HumanBane	sys_enchant_good.ogg	1	FALSE	0
3005	Magic_BeastBane	TRUE	<$>31090</>	bright_yellow_14_ol	1	100	25	0	MagicWeapon	Option_BeastBane	sys_enchant_good.ogg	1	FALSE	0
3006	Magic_DemonBane	TRUE	<$>31091</>	bright_yellow_14_ol	1	100	25	0	MagicWeapon	Option_DemonBane	sys_enchant_good.ogg	1	FALSE	0
