ClassID	Need	ShinyNeed	SocketShinyNeed
1	0	1	1
2	0	2	2
3	0	3	3
4	0	4	4
5	0	5	5
6	0	6	6
7	0	7	7
8	0	8	8
9	0	9	9
10	0	10	10
11	0	11	12
12	0	12	12
13	0	13	13
14	0	14	14
15	0	15	15
16	0	20	20
17	0	22	22
18	0	24	24
19	0	26	26
20	0	28	28
21	0	30	30
22	0	35	35
23	0	40	40
24	0	45	45
25	0	50	50
26	0	60	60
27	0	80	80
28	0	100	100
29	0	500	300
30	0	900	500
31	10	0	0
32	12	0	0
33	18	0	0
34	20	0	0
35	20	0	0
36	20	0	0
37	20	0	0
38	20	0	0
39	20	0	0
40	20	0	0
41	20	0	0
42	20	0	0
43	20	0	0
44	20	0	0
45	20	0	0
46	20	0	0
47	20	0	0
48	20	0	0
