ClassID	Need	ShinyNeed	SocketShinyNeed	UseRedmercury	UseRedmercury2
1	0	1	1	R 89052 89054 88017	89064
2	0	2	2	R 89052 89054 88017	89064
3	0	3	3	R 89052 89054 88017	89064
4	0	4	4	R 89052 89054 88017	89064
5	0	5	5	R 89052 89054 88017	89064
6	0	6	6	R 89052 89054 88017	89064
7	0	7	7	R 89052 89054 88017	89064
8	0	8	8	R 89052 89054 88017	89064
9	0	9	9	R 89052 89054 88017	89064
10	0	10	10	R 89052 89054 88017	89064
11	0	11	11	R 89052 89054 88017	89064
12	0	12	12	R 89052 89054 88017	89064
13	0	13	13	R 89052 89054 88017	89064
14	0	14	14	R 89052 89054 88017	89064
15	0	15	15	R 89052 89054 88017	89064
16	0	20	20	R 89052 89054 88017	89064
17	0	22	22	R 89052 89054 88017	89064
18	0	24	24	R 89052 89054 88017	89064
19	0	26	26	R 89052 89054 88017	89064
20	0	28	28	R 89052 89054 88017	89064
21	0	30	30	R 89052 89054 88017	89064
22	0	35	35	R 89052 89054 88017	89064
23	0	40	40	R 89052 89054 88017	89064
24	0	45	45	R 89052 89054 88017	89064
25	0	50	50	R 89052 89054 88017	89064
26	0	60	60	R 89052 89054 88017	89064
27	0	70	70	R 89052 89054 88017	89064
28	0	80	80	R 89052 89054 88017	89064
29	0	100	100	R 89052 89054 88017	89064
30	0	150	150	R 89052 89054 88017	89064
31	0	200	200	R 89054 88017	89064
32	0	250	250	R 89054 88017	89064
33	5	0	0	R 88017	89064
34	8	0	0	R 88017	89064
35	10	0	0	R 88017	89064
36	15	0	0	R 88017	89064
37	20	0	0	R 88017	89064
38	20	0	0	R 88017	89064
39	20	0	0	R 88017	89064
40	20	0	0	R 88017	89064
41	20	0	0	R 88017	89064
42	20	0	0	R 88017	89064
43	20	0	0	R 88017	89064
46	20	0	0	R 88017	89064
47	20	0	0	R 88017	89064
48	20	0	0	R 88017	89064
49	20	0	0	R 88017	89064
50	20	0	0	R 88017	89064
51	20	0	0	R 88017	89064
52	20	0	0	R 88017	89064
53	20	0	0	R 88017	89064
54	20	0	0	R 88017	89064
55	20	0	0	R 88017	89064
