ClassID	ClassName	Comeback	Continuable	Direct	Instance	Layer	MapImage	MapName	MaxAlliance	MaxPlayer	MaxSlotCount	MinPlayer	MissionInfo	MissionResult	MissionRoom	Name	Resurrection	Script	ShowLevel	Tip	ToWin	UniqueRoom
11169	mission_dun_caslucifer01	FALSE	NO	TRUE	mission_instance	21	no_map.jpg	mission_dun_caslucifer01	1	1	1	1	mi1a10	mr10	mwr1a12	<$>133718</>	TRUE	mission_dun_caslucifer01	FALSE	<$>125295</>	<$>125294</>	NO
11180	mission_dun_caslucifer01_p	FALSE	NO	FALSE	mission_instance	21	no_map.jpg	mission_dun_caslucifer01_p	1	3	3	3	mi1a10	mr10	mwr1a12	<$>133719</>	TRUE	mission_dun_caslucifer01_p	FALSE	<$>125295</>	<$>125294</>	NO
18067	H_mission_lucifer04	FALSE	YES	FALSE	mission_instance	59	btl_lucifer02.jpg	H_mission_lucifer04	1	24	24	3	miboss	mr24	mwr1a24	<$>145723</>	TRUE	JPN_mission_lucifer04_hard	FALSE	<$>48128</>	<$>145730</>	NO
19117	mission_erc_boss	FALSE	YES	FALSE	mission_instance	35	mission_erc_boss.jpg	mission_erc_boss	1	24	24	1	miboss	mr24	mwr1a24	<$>47785</>	TRUE	mission_erc_boss	FALSE	<$>99765</>	<$>103213</>	NO
19124	mission_thefortress_o_c	FALSE	YES	FALSE	mission_instance	1	mission_thefortress_o.jpg	mission_thefortress_o_c	1	24	24	1	miboss	mr24	mwr1a24	<$>8312</>	TRUE	mission_thefortress_o_c	FALSE	<$>48320</>	<$>48231</>	NO
19206	mission_thefortress_d_c	FALSE	YES	FALSE	mission_instance	2	mission_thefortress_o.jpg	mission_thefortress_d_c	1	24	24	1	miboss	mr24	mwr1a24	<$>8313</>	TRUE	mission_thefortress_d_c	FALSE	<$>103727</>	<$>48329</>	NO
19214	mission_palace	FALSE	YES	FALSE	mission_instance	11	mission_palace.jpg	mission_palace	1	24	24	1	miboss	mr24	mwr1a24	<$>29387</>	TRUE	mission_palace	FALSE	<$>97255</>	<$>104995</>	NO
19223	mission_dun_alq06	FALSE	YES	FALSE	mission_instance	14	mission_dun_alq06.jpg	mission_dun_alq06	1	30	30	3	miboss	mr30	mwr1a30	<$>29416</>	TRUE	mission_dun_alq06	FALSE	<$>48128</>	<$>104997</>	NO
19230	mission_masung_pot	FALSE	YES	FALSE	mission_instance	2	masung_pot.jpg	mission_masung_pot	1	1	1	1	mi1a10	mr10	mwr1a12	<$>48343</>	TRUE	mission_masung_pot	FALSE	<$>48128</>	<$>103217</>	NO
19231	mission_masung_tor	FALSE	YES	FALSE	mission_instance	3	masung_tor.jpg	mission_masung_tor	1	1	1	1	mi1a10	mr10	mwr1a12	<$>48345</>	TRUE	mission_masung_tor	FALSE	<$>48128</>	<$>103217</>	NO
19232	mission_masung_jaq	FALSE	YES	FALSE	mission_instance	4	masung_jaq.jpg	mission_masung_jaq	1	1	1	1	mi1a10	mr10	mwr1a12	<$>48346</>	TRUE	mission_masung_jaq	FALSE	<$>48128</>	<$>103217</>	NO
