ClassID	ClassName	CommPoint	DBLDay	Desc	DropItem	Item_Enter	Item_Play	Map	MaxCount	Name	Npc	PreProperty1	PreProperty2	PreProperty3	Property	ReadyMsg	ReqAR	ReqDR	ReqPromotion	Rulletlist	Script	SuggestMax	SuggestMin	Tip	Type	Value
1	mission_dun_gig	0	0	None	None	Vis -1	None	gig_basic	0	<$>47458</>	NPC_GIGANVEGAS_GATE	GigDunDate	GigDunJoin	None	None	<$>132048</>	58	58	1	None	Check_Mission_Day	8	0	<$>132049</>	Etc Rep Sqd Mcc3	0
2	mission_chainrush	0	0	None	None	None	FireORB 1	btl_ttr03	1	<$>10006</>	EVENT_FIRE_DOOR	today_chainrush	None	None	None	None	61	61	1	None	Check_Mission_Day	8	0	<$>132050</>	Day Mcc3 Sqd	0
3	mission_btl_viron02	0	0	<$>132051</>	None	None	None	viron_basic	1	<$>29409</>	C1_VIRON_FOREST_SOL2	Viron_M3_Check	None	None	CommanderLv	None	67	62	3	None	Check_Mission_Day	8	-7	<$>132052</>	Day Mcc3 Sqd	20
4	mission_palace	0	0	<$>132053</>	None	None	None	dun_sub	1	<$>29387</>	CASTLE_BACKDOOR	Mission_Trump	None	None	AQ_AuchAide	None	64	64	2	None	Check_Mission_Day	6	0	<$>132054</>	Day Mcc1 Sqd	90
5	mission_sctw01	0	0	None	None	MedalOfSilver 1	SecretTowerMagicScroll 1	auch_basic	1	<$>29437</>	SCTW_GUARD	Mission_Sctw_Day	None	Mission_Sctw_Use	None	None	56	54	1	None	Check_Mission_Day	8	-2	<$>132055</>	Day Mcc3 Sqd	0
6	mission_bst_backstreet	0	0	<$>132056</>	None	None	None	bst_basic	1	<$>88238</>	bst_mission	Bst_Street	None	None	CommanderLv	None	72	72	3	None	Check_Mission_Day	4	-4	<$>132054</>	Day Mcc3 Sqd	30
7	mission_dun_tor00	0	0	<$>132057</>	None	TorscheOtiteChip 100	TorscheOtiteChip 100, TreasureBox_Key 1	fld_tor	1	<$>48349</>	TORCHE_BASEMENT	Torche_Basement	None	Mission_duntor00Use	XQ_Torsche	None	67	67	2	None	Check_Mission_Day	5	-5	<$>132058</>	Day Mcc3 Sqd	90
8	mission_hellbreaker	0	0	None	None	Tovbatkey 4	Tovbatkey 2	dun_tbk02	1	<$>29419</>	HELLBREAKER_GATE	today_hellbreaker	None	None	None	None	59	59	1	None	Check_Mission_Day	6	0	<$>132059</>	Day Mcc3 Sqd	0
9	mission_masung_cas03	0	0	None	None	None	None	guild_bounty	1	<$>96350</>	MASUNG_CAS03	Masung_Cas03	Masung_Cas03_Diary	None	None	None	70	70	3	None	Check_Mission_Day	3	-2	<$>132060</>	Day Bnt Sqd Mcc3	0
10	mission_masung_cas02	0	0	None	None	None	None	guild_bounty	1	<$>96349</>	MASUNG_CAS02	Masung_Cas02	Masung_Cas02_Diary	None	None	None	69	69	3	None	Check_Mission_Day	3	-2	<$>132061</>	Day Bnt Sqd Mcc3	0
