ADDDam_BM	ADDMHP_BM	ALv_BM	AR_BM	ASPD	ASPD_BM	ATK_BM	Action	Arm	AtkLayer	AtkLayer_BM	AtkMedium	AtkMetal	AtkSoft	AtkType	BLK_BM	BLOCK	BlkType	Buff	BuffATK	BuffATKKFrq	BuffATKLv	BuffFreq	BuffMidOffset	BuffTopOffset	CON	MON_ALv	MON_AR	MON_ASPD	MON_AtkLayer	MON_BLK	MON_CRT	MON_DAM	MON_DEF	MON_DLv	MON_DR	MON_DefIP	MON_DefLayer	MON_FireIP	MON_HR	MON_IMP	MON_IceIP	MON_KDRank	MON_LgtIP	MON_MHP	MON_MKP	MON_MSPD	MON_PR	MON_PsyIP	MON_RFIRE	MON_RICE	MON_RLGHT	MON_RPSY	MON_RSTAT	MON_Reflection	MonDam	PCDam	CRTATK	CRTDEF	CRT_BM	ClassID	ClassName	ClassType	Count	DBSave	DEFHYB_BM	DEFMAG_BM	DEFMEL_BM	DEFPER_BM	DEFSHO_BM	DEF_BM	DLv_BM	DOT_BM	DR_BM	DamageInfoType	DamageOffset	DefIP_BM	DefLayer	DefLayer_BM	DefType	Drop1ID	Drop1Name	Drop1Per	Drop1Quant	Drop2ID	Drop2Name	Drop2Per	Drop2Quant	Drop3ID	Drop3Name	Drop3Per	Drop3Quant	Drop4ID	Drop4Name	Drop4Per	Drop4Quant	Drop5ID	Drop5Name	Drop5Per	Drop5Quant	Drop6ID	Drop6Name	Drop6Per	Drop6Quant	DropAccFreq	DropCrystalCount	DropCrystalFreq	DropEliteEqpFreq	DropEtcFreq	DropInstFreq	DropNormEqpFreq	DropOldEqpFreq	DropRecipeFreq	EXP	ElemType	EngName	FamilyName	FireIP_BM	Grade	HITDam_BM	HP	HR_BM	HeightOffset1	HeightOffset2	HideHPBar	HideInfo	HitOffset	HitProof	Hittable	IMP_BM	IceIP_BM	IsRaidMonster	IsTypeBoss	KDRank	KDownPower	KDownVAngle	KP	KbProof	LODDist	LgtIP_BM	LifeTime	Lv	MAGDam_BM	MELDam_BM	MHPFix	MHP_BM	MKP_BM	MSPD	MSPDFix	MSPD_BM	MSP_BM	MagicDefiance	MartialDefiance	MaterialSet	MaxR	MeleeDefiance	MinR	MinionCondition	MinionCount	MinionID	MinionID2	MinionID3	MinionID4	MinionID5	MobRank	MonBuffATKKFrq	MonClassKey	MonDam_BM	MonValue1	MonValue2	MonValue3	MonValue4	MonValue5	MonValue6	Name	PCDam_BM	PR_BM	PsyIP_BM	RFIRE	RFIRE_BM	RHP	RHP_BM	RICE	RICE_BM	RLGHT	RLGHT_BM	RPSY	RPSY_BM	RSPD	RSP_BM	RSTAT	RSTAT_BM	RaceType	Ratio	Reflection	Reflection_BM	Res	Rotate	SHTDam_BM	SPDBM	STR	Scale	SelectFilter	ShadowScale	Shape	ShootDefiance	ShowName	Size	SizeType	SkillArg1	SkillArg2	SkillArg3	SkillArg4	SkillCondition1	SkillCondition2	SkillCondition3	SkillCondition4	SkillFreq1	SkillFreq2	SkillFreq3	SkillFreq4	SkillID1	SkillID2	SkillID3	SkillID4	SplDam	SplLimit	SplRange	SplType	StartID	State_BM	Tactics	TotAbl	ViewInvi	Visible	WSPD	Wpn	WpnType
0	0	0	150	0	0	10000	0	30	2	0	0	0	0	Single	0	0	None	None	Requiem	100	10	0	121	195	1000	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	18214	Monster_Viron_Clocktower_B09_Shork	MELEE	0	100	0	0	0	0	0	0	0	0	100	None	145	1000	1	0	SOFT	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	2.675	NEUTRAL	Evil	None	1000	1	0	0	0	0	250	None	0	121	YES	YES	0	1000	FALSE	FALSE	15	112	45	0	NO	2100	1000	0	110	0	0	0	0	0	0	0	0	0	0	0	None	500	0	0	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>155732</>	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trap	1	0	0	5	YES	0	0	200	1	MonAndPC	0	Monster_Party_Dummy	0	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_VIRON2_EVIL_TRIGGER	2130	FALSE	YES	0	100	BTYPE
0	0	0	37	3340	0	0	0	24	2	0	0	60	0	Splash	0	0	None	None	none	0	0	0	350	660	4837089.92	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19780	mon_juggernaut_Quest	MELEE	0	100	0	0	0	0	0	113	0	0	41	ALL	680	600	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	NEUTRAL	Ogjeff	None	500	1	0	0	0	0	250	None	0	350	NO	YES	450	500	TRUE	TRUE	30	112	30	0	NO	3000	500	0	138	0	0	0	0	0	785	0	0	0	100	100	None	800	100	0	None	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	<$>223688</>	0	0	500	85	0	1000000	0	85	0	85	0	85	0	930	0	99	0	Demon	1	0	0	70	YES	0	0	81.42	2	MonAndPC	2	mon_juggernaut	100	YES	L	LARGE	2	800	800	0	PerNormalAttack	AwayTarget	CloseTarget	None	30	30	3	0	42302	42301	42300	0	2	15	1000	Circle	0	0	MON_ALT01_BOSS	370	TRUE	YES	930	175	BTYPE
0	0	0	34	2338	25	0	0	35	2	0	0	0	0	Single	0	0	None	None	Paralysispoison	10	10	0	120	168	4530956	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19971	Monster_Sct_Coa_1	MELEE	0	100	0	0	0	0	0	17	0	0	38	None	144	600	1	0	SOFT	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	NEUTRAL	Coa	None	500	1	0	0	0	0	250	None	0	120	YES	YES	450	500	TRUE	TRUE	10	112	45	0	NO	2000	500	0	142	0	0	0	0	0	613	0	25	0	100	100	None	150	100	0	None	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	<$>219275</>	0	0	500	85	0	0	0	85	0	85	0	85	0	558	0	100	0	Human	1	0	0	5	YES	0	0	142.4	1	MonAndPC	1	Monster_Coa	100	YES	S	SMALL	50	0	0	0	PerNormalAttack	None	None	None	1	0	0	0	40306	0	0	0	0	0	0	None	0	0	MON_MISSION_03	74.7	FALSE	YES	558	289	ATYPE
0	0	0	27	2338	50	0	0	35	2	0	0	0	0	Splash	0	0	None	None	Paralysispoison	50	10	0	120	168	4388852.5	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19972	Monster_Sct_Coa_2	MELEE	0	100	0	0	0	0	0	12	0	0	35	None	144	570	1	0	SOFT	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	NEUTRAL	Coa	None	500	1	0	0	0	0	250	None	0	120	YES	YES	415	500	TRUE	TRUE	10	112	45	0	NO	2000	500	0	142	0	0	0	0	0	613	0	50	0	100	100	None	150	100	0	None	0	0	0	0	0	0	4	50	0	0	0	0	0	0	0	0	<$>219275</>	0	0	500	85	0	0	0	85	0	85	0	85	0	558	0	100	0	Human	1	0	0	5	YES	0	0	88.61	1	MonAndPC	1	Monster_Coa	100	YES	S	SMALL	50	0	0	0	PerNormalAttack	None	None	None	1	0	0	0	40306	0	0	0	1.25	5	100	Circle	0	0	MON_MISSION_03	74.7	FALSE	YES	558	304	ATYPE
0	0	0	40	1334	0	0	0	25	2	0	0	0	0	Single	0	0	None	None	none	0	0	0	120	150	129399.8	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19785	Mon_Triglohound1_Quest	MELEE	0	100	0	0	0	0	0	113	0	0	44	None	144	550	1	0	SOFT	0	None	0	1	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	45000	0	0	0	6	20	150	0	0	0	NEUTRAL	Rabiosa	None	450	1	0	0	0	0	250	None	0	120	NO	YES	400	450	FALSE	FALSE	8	112	30	0	NO	1400	450	0	132	0	0	0	0	0	210	0	0	0	100	100	None	100	100	1	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>223689</>	0	0	450	40	0	0	0	40	0	40	0	75	0	900	0	50	0	Undead	1	0	0	6	YES	0	318	53.68	1.5	MonAndPC	1	Mon_Triglohound1	100	YES	M	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_AGGRESSIVE	110	FALSE	YES	162	69	ATYPE
0	0	0	40	1334	0	0	0	25	1	0	0	0	0	Single	0	0	None	None	none	0	0	0	120	150	129399.8	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19786	Mon_Triglohound2_Quest	MELEE	0	100	0	0	0	0	0	113	0	0	44	None	144	550	1	0	HARD	0	None	0	1	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	45000	0	0	0	7	20	150	0	0	0	NEUTRAL	Rabioso	None	450	1	0	0	0	0	250	None	0	120	NO	YES	400	450	FALSE	FALSE	8	112	30	0	NO	1400	450	0	132	0	0	0	0	0	210	0	0	0	100	100	None	100	100	1	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>223690</>	0	0	450	40	0	0	0	40	0	40	0	75	0	900	0	50	0	Demon	1	0	0	6	YES	0	318	53.68	1.5	MonAndPC	1	Mon_Triglohound2	100	YES	M	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_AGGRESSIVE	112	FALSE	YES	162	70	BTYPE
0	0	0	40	1670	0	0	0	27	1	0	0	0	0	Single	0	0	None	None	none	0	0	0	120	150	129399.8	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19784	Monster_Hellswine2_Quest	MELEE	0	100	0	0	0	0	0	98	0	0	44	None	144	500	1	0	SOFT	0	None	0	1	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	45000	0	0	0	7	20	150	0	0	0	NEUTRAL	Ogbe	None	400	1	0	0	0	0	250	None	0	120	NO	YES	400	400	FALSE	FALSE	8	112	30	0	NO	1400	400	0	132	0	0	0	0	0	234	0	0	0	100	100	None	300	100	100	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>223687</>	0	0	400	40	0	0	0	40	0	40	0	75	0	906	0	50	0	Undead	1	0	0	6	YES	0	279	50.1	2	MonAndPC	1	Monster_Hellswine2	100	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_AGGRESSIVE	123	FALSE	YES	180	74	CTYPE
0	0	0	40	1470	0	0	0	27	2	0	0	0	0	Single	0	0	None	None	none	0	0	0	120	150	129399.8	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19783	Monster_Hellswine1_Quest	MELEE	0	100	0	0	0	0	0	98	0	0	44	None	144	500	1	0	MEDIUM	0	None	0	1	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	45000	0	0	0	8	20	150	0	0	0	NEUTRAL	Oghe	None	400	1	0	0	0	0	250	None	0	120	NO	YES	400	400	FALSE	FALSE	8	112	30	0	NO	1400	400	0	132	0	0	0	0	0	234	0	0	0	100	100	None	300	100	100	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>223686</>	0	0	400	40	0	0	0	40	0	40	0	75	0	906	0	50	0	Demon	1	0	0	6	YES	0	279	51.45	2	MonAndPC	1	Monster_Hellswine1	100	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_AGGRESSIVE	122	FALSE	YES	180	72	ATYPE
0	0	0	37	1900	0	0	0	34	2	0	0	60	0	Splash	0	0	None	None	Diceofdeath	10	1	0	120	150	4630090	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19781	mon_sylmaris_Quest	MELEE	0	100	0	0	0	0	0	-22	0	0	41	ALL	350	700	1	0	MEDIUM	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0	NEUTRAL	Queenietula	None	600	1	0	0	0	0	250	None	0	120	NO	YES	450	600	TRUE	TRUE	30	112	30	0	NO	1400	600	0	140	0	0	0	0	0	919	0	0	0	100	100	None	400	100	1	None	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	<$>223699</>	0	0	600	40	0	1000000	0	85	0	85	0	85	0	707	0	99	0	Demon	1	0	0	70	YES	0	0	50.33	1.5	MonAndPC	1.5	mon_sylmaris	100	YES	L	SMALL	3	500	0	0	PerNormalAttack	AwayTarget	None	None	10	30	0	0	42287	42288	0	0	2	15	500	Circle	0	0	MON_ALT02_BOSS	370	TRUE	YES	707	207	ATYPE
0	0	0	39	2460	0	0	0	25	1	0	0	0	0	Single	0	0	None	None	none	0	0	0	30	70	129399.8	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	19793	mon_flealouse2_Quest	MELEE	0	100	0	0	0	0	0	110	0	0	45	None	70	550	1	0	SOFT	0	None	0	1	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	45000	0	0	0	6	20	150	0	0	57	NEUTRAL	Flicky	None	450	1	0	0	0	0	250	None	0	50	NO	YES	400	450	FALSE	FALSE	8	112	30	0	NO	1400	450	0	141	0	0	0	0	0	100	0	0	0	100	100	None	100	100	1	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>223693</>	0	0	450	80	0	0	0	20	0	60	0	75	0	323	0	50	0	Demon	1	0	0	6	YES	0	468	45	1.5	MonAndPC	1	mon_flealouse2	100	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_AGGRESSIVE	178	FALSE	YES	39	83	CTYPE
