ADDDam_BM	ADDMHP_BM	ALv_BM	AR_BM	ASPD	ASPD_BM	ATK_BM	Action	Arm	AtkLayer	AtkLayer_BM	AtkMedium	AtkMetal	AtkSoft	AtkType	BLK_BM	BLOCK	BlkType	Buff	BuffATK	BuffATKKFrq	BuffATKLv	BuffFreq	BuffMidOffset	BuffTopOffset	CON	MON_ALv	MON_AR	MON_ASPD	MON_AtkLayer	MON_BLK	MON_CRT	MON_DAM	MON_DEF	MON_DLv	MON_DR	MON_DefIP	MON_DefLayer	MON_FireIP	MON_HR	MON_IMP	MON_IceIP	MON_KDRank	MON_LgtIP	MON_MHP	MON_MKP	MON_MSPD	MON_PR	MON_PsyIP	MON_RFIRE	MON_RICE	MON_RLGHT	MON_RPSY	MON_RSTAT	MON_Reflection	MonDam	PCDam	CRTATK	CRTDEF	CRT_BM	ClassID	ClassName	ClassType	Count	DBSave	DEFHYB_BM	DEFMAG_BM	DEFMEL_BM	DEFPER_BM	DEFSHO_BM	DEF_BM	DLv_BM	DOT_BM	DR_BM	DamageInfoType	DamageOffset	DefIP_BM	DefLayer	DefLayer_BM	DefType	Drop1ID	Drop1Name	Drop1Per	Drop1Quant	Drop2ID	Drop2Name	Drop2Per	Drop2Quant	Drop3ID	Drop3Name	Drop3Per	Drop3Quant	Drop4ID	Drop4Name	Drop4Per	Drop4Quant	Drop5ID	Drop5Name	Drop5Per	Drop5Quant	Drop6ID	Drop6Name	Drop6Per	Drop6Quant	DropAccFreq	DropCrystalCount	DropCrystalFreq	DropEliteEqpFreq	DropEtcFreq	DropInstFreq	DropNormEqpFreq	DropOldEqpFreq	DropRecipeFreq	EXP	ElemType	EngName	FamilyName	FireIP_BM	Grade	HITDam_BM	HP	HR_BM	HeightOffset1	HeightOffset2	HideHPBar	HideInfo	HitOffset	HitProof	Hittable	IMP_BM	IceIP_BM	IsRaidMonster	IsTypeBoss	KDRank	KDownPower	KDownVAngle	KP	KbProof	LODDist	LgtIP_BM	LifeTime	Lv	MAGDam_BM	MELDam_BM	MHPFix	MHP_BM	MKP_BM	MSPD	MSPDFix	MSPD_BM	MSP_BM	MagicDefiance	MartialDefiance	MaterialSet	MaxR	MeleeDefiance	MinR	MinionCondition	MinionCount	MinionID	MinionID2	MinionID3	MinionID4	MinionID5	MobRank	MonBuffATKKFrq	MonClassKey	MonDam_BM	MonValue1	MonValue2	MonValue3	MonValue4	MonValue5	MonValue6	Name	PCDam_BM	PR_BM	PsyIP_BM	RFIRE	RFIRE_BM	RHP	RHP_BM	RICE	RICE_BM	RLGHT	RLGHT_BM	RPSY	RPSY_BM	RSPD	RSP_BM	RSTAT	RSTAT_BM	RaceType	Ratio	Reflection	Reflection_BM	Res	Rotate	SHTDam_BM	SPDBM	STR	Scale	SelectFilter	ShadowScale	Shape	ShootDefiance	ShowName	Size	SizeType	SkillArg1	SkillArg2	SkillArg3	SkillArg4	SkillCondition1	SkillCondition2	SkillCondition3	SkillCondition4	SkillFreq1	SkillFreq2	SkillFreq3	SkillFreq4	SkillID1	SkillID2	SkillID3	SkillID4	SplDam	SplLimit	SplRange	SplType	StartID	State_BM	Tactics	TotAbl	ViewInvi	Visible	WSPD	Wpn	WpnType
0	0	0	0	2667	0	0	0	16	1	0	0	0	0	Single	0	0	None	None	none	0	0	0	109	176	37	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	9	GM_GameQueen_2	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	131	0	1	0	SOFT	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	8013	1	59	813	8	35	42	325	0	4.403	NEUTRAL	Gamemaster Queen	None	0	1	0	0	0	0	250	None	0	109	NO	YES	0	0	FALSE	FALSE	10	112	45	0	NO	1260	0	0	1	0	0	0	0	0	456	0	0	0	100	100	None	135	100	45	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>117944</>	0	0	0	6	0	0	0	6	0	6	0	6	0	415	0	6	0	None	1	0	0	5	YES	0	0	4.1	1	PC	1	GM_GameQueen	100	YES	M	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_STANDING	57.1	FALSE	YES	415	40	ATYPE
0	0	0	22	2267	0	0	0	12	1	0	0	0	0	Ground	0	0	None	Burning	none	0	0	20	121	195	100000	SCR_Get_MON_ALv	SCR_Get_MON_AR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_DR	SCR_Get_MON_DefIP	SCR_Get_MON_DefLayer	SCR_Get_MON_FireIP	SCR_Get_MON_HR	SCR_Get_MON_IMP	SCR_Get_MON_IceIP	SCR_Get_MON_KDRank	SCR_Get_MON_LgtIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_MON_PsyIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50013	Summon_MeterStorm	MAGIC	0	100	0	0	0	0	0	0	0	0	0	None	145	0	1	0	SOFT	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	1.62	FIRE	Flame Storm	None	0	1	0	0	0	0	250	None	0	121	YES	YES	0	0	FALSE	FALSE	0	112	45	0	YES	1400	0	0	150	0	0	0	0	0	0	0	0	0	100	100	None	400	100	0	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>50206</>	0	0	0	90	0	0	0	-100	0	50	0	0	0	0	0	0	0	Trap	1	0	0	6	YES	0	0	120	2	MonAndPC	1	Summon_FlameGround_Bomb	100	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	1	10	500	Circle	0	0	MON_RAID_LANDOFDEATH_BOMB	1560	TRUE	YES	0	80	FIRE
0	0	0	10	3740	0	0	0	17	2	0	0	0	0	Single	0	0	None	None	none	0	0	0	63	72	500	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50082	Summon_CrownLloyd	SHOOT	0	100	0	0	0	0	0	0	0	0	10	None	76	200	1	0	MEDIUM	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0.749	NEUTRAL	Crown Lloyd	None	200	1	0	0	0	0	250	None	0	63	NO	YES	0	200	FALSE	FALSE	10	112	45	0	NO	800	200	480000	40	0	0	0	0	0	400	0	0	0	100	100	None	505	100	34	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>49523</>	0	0	200	40	0	0	0	40	0	40	0	0	0	106	0	0	0	Golem	1	0	0	5	YES	0	140	90	0.45	MonAndPC	1	Summon_CrownLloyd	100	YES	S	SMALL	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTDOLL	297	TRUE	YES	35	27	BTYPE
0	0	0	10	3003	0	0	0	17	2	0	0	0	0	Single	0	0	None	None	none	0	0	0	63	77	360	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50101	Summon_LadySasha	MAGIC	0	100	0	0	0	0	0	0	0	0	10	None	76	200	1	0	MEDIUM	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	0.747	NEUTRAL	Lady Sasha	None	200	1	0	0	0	0	250	None	0	63	NO	YES	0	200	FALSE	FALSE	0	112	45	0	NO	800	200	480000	55	0	0	0	0	0	400	0	0	0	100	100	None	715	100	45	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>49524</>	0	0	200	50	0	0	0	50	0	50	0	0	0	139	0	0	0	Golem	1	0	0	5	YES	0	23	60	0.55	MonAndPC	1	Summon_LadySasha	100	YES	S	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTDOLL	217	TRUE	YES	104	55	LGHT
0	0	0	10	2550	0	0	0	21	1	0	0	0	0	Single	0	0	None	None	none	0	0	0	102	132	1300	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50111	Summon_MightyVictor	MELEE	0	100	0	0	0	0	0	0	0	0	10	None	122	200	1	0	MEDIUM	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	1.26	NEUTRAL	Mighty Victor	None	200	1	0	0	0	0	250	None	0	102	NO	YES	0	200	FALSE	FALSE	5	112	45	0	NO	840	200	600000	60	0	0	0	0	0	400	0	0	0	100	100	None	100	100	1	None	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	<$>49525</>	0	0	200	30	0	1	0	30	0	30	0	0	0	341	0	0	0	Golem	1	0	0	5	YES	0	69	150	0.7	MonAndPC	1	Summon_MightyVictor	100	YES	S	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTDOLL	721	TRUE	YES	171	27	CTYPE
0	0	0	0	4033	0	0	0	30	2	0	0	0	0	Splash	0	10	None	Fear	none	0	0	5	200	400	500	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50140	Summon_Tendercore	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	250	15	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	100	NEUTRAL	Tenderaiser	None	0	1	0	0	0	0	250	None	0	200	YES	YES	15	0	FALSE	FALSE	20	112	45	0	YES	1400	0	300000	125	0	0	0	0	0	153	0	0	0	80	100	None	300	100	1	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>81079</>	0	0	0	65	0	0	0	80	0	65	0	65	0	118	0	98	0	Golem	1	0	0	10	YES	0	0	100	1	MonAndPC	1	Summon_Tendercore	100	YES	S	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0.5	3	300	Circle	0	0	MON_EXPERTROBOT	320	FALSE	YES	118	35	CTYPE
0	0	0	0	3700	0	0	0	30	2	0	0	0	0	Single	0	8	None	None	none	0	0	0	200	400	400	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50141	Summon_Steamgeister	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	250	15	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	50	NEUTRAL	Steamer	None	0	1	0	0	0	0	250	None	0	200	YES	YES	15	0	FALSE	FALSE	15	112	45	0	YES	1400	0	600000	120	0	0	0	0	0	340	0	0	0	100	100	None	400	75	1	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>49550</>	0	0	0	50	0	0	0	50	0	25	0	50	0	262	0	99	0	Golem	1	0	0	11	YES	0	0	125	1.5	MonAndPC	1	Summon_Steamgeister	100	YES	S	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTROBOT	280	FALSE	YES	262	55	BTYPE
0	0	0	0	3700	0	0	0	30	2	0	0	0	0	Splash	0	8	None	ArmorCrasher	none	0	0	5	200	400	400	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50142	Summon_Steamgeistermk2	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	250	18	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	50	NEUTRAL	Steamer Mk.2	None	0	1	0	0	0	0	250	None	0	200	YES	YES	18	0	FALSE	FALSE	15	112	45	0	YES	1400	0	600000	120	0	0	0	0	0	340	0	0	0	100	100	monster_steamgeister	400	75	1	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>81080</>	0	0	0	50	0	0	0	50	0	25	0	50	0	262	0	99	0	Golem	1	0	0	11	YES	0	0	125	1.5	MonAndPC	1	Summon_Steamgeistermk2	100	YES	S	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0.5	3	200	Circle	0	0	MON_EXPERTROBOT	280	FALSE	YES	262	55	BTYPE
0	0	0	0	2333	0	0	0	35	2	0	0	0	0	Single	0	0	None	Rollsofthunder	none	0	0	5	600	900	1000	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50143	Summon_Silverararat	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	720	20	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	13.753	NEUTRAL	IronArarat	None	0	1	0	0	0	0	250	None	0	600	YES	YES	20	0	FALSE	FALSE	25	100	45	0	YES	5000	0	600000	120	0	0	0	0	0	237	0	0	0	100	100	None	500	100	0	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>81081</>	0	0	0	30	0	0	0	30	0	30	0	30	0	183	0	100	0	Golem	1	0	0	8	YES	0	0	125	0.5	MonAndPC	1	Summon_Silverararat	100	YES	L	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTROBOT	585	FALSE	YES	183	50	CTYPE
0	0	0	0	2333	0	0	0	35	2	0	0	0	0	Single	0	0	None	Rollsofthunder	none	0	0	5	350	650	1400	SCR_Get_MON_ALv	SCR_Get_MON_SAR	SCR_Get_MON_ASPD	SCR_Get_MON_AtkLayer	SCR_Get_MON_BLK	SCR_Get_MON_CRT	SCR_Get_MON_DAM	SCR_Get_MON_DEF	SCR_Get_MON_DLv	SCR_Get_MON_SDR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_DefLayer	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_HR	SCR_Get_EXTURRET_IMP	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_KDRank	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_MHP	SCR_Get_MON_MKP	SCR_Get_MON_MSPD	SCR_Get_MON_PR	SCR_Get_EXTURRET_DefIP	SCR_Get_MON_RFIRE	SCR_Get_MON_RICE	SCR_Get_MON_RLGHT	SCR_Get_MON_RPSY	SCR_Get_MON_RSTAT	SCR_Get_MON_Reflection	SCR_Get_MON_MonDam	SCR_Get_MON_PCDam	0	0	0	50144	Summon_Ararateer	MELEE	0	100	0	0	0	0	0	0	0	0	0	None	470	25	1	0	HARD	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	None	0	0	0	0	0	0	0	0	0	0	0	13.753	NEUTRAL	Ararateer	None	0	1	0	0	0	0	250	None	0	350	YES	YES	25	0	FALSE	FALSE	25	100	45	0	YES	5000	0	600000	120	0	0	0	0	0	237	0	0	0	100	100	summon_ironararatsecond	500	100	0	None	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	<$>81082</>	0	0	0	30	0	0	0	30	0	30	0	30	0	183	0	100	0	Golem	1	0	0	8	YES	0	0	125	0.5	MonAndPC	1	Summon_Ararateer	100	YES	L	MEDIUM	0	0	0	0	None	None	None	None	0	0	0	0	0	0	0	0	0	0	0	None	0	0	MON_EXPERTROBOT	785	FALSE	YES	183	50	CTYPE
