Bone	CamDist	CamOffset	ClassID	ClassName	Click	Detect	Eff1Emitter	Eff2Emitter	Eff3Emitter	Eff4Emitter	Eff5Emitter	Eff6Emitter	EffNode1	EffNode1Part	EffNode2	EffNode2Part	EffNode3	EffNode3Part	EffNode4	EffNode4Part	EffNode5	EffNode5Part	EffNode6	EffNode6Part	EffNode7	EffNode7Part	EffNode8	EffNode8Part	EngName	Enter	FileName	HP	Hidden	HitOffset	IDL	JobName	LODDist	Leave	Lock	Lv	MHP	Mass	MaterialSet	NPCSign	NPCType	Name	Nation	NpcValue01	NpcValue02	NpcValue03	NpcValue04	NumSet	Occupation	Picking	Pose	QuestLimit	RSPD	RUN	Range	Reset	RootNode	SET	SET1	SET2	SET3	STD	Scale	Size	UseTypeName	WLK	WSPD
npc_mifuyu_set	150	120	100027	npc_mifuyu	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mifuyu	FALSE	npc_mifuyu	146	FALSE	120	None	<$>47065</>	1000	FALSE	FALSE	1	146	1	None	NPCSIGN_NORMAL	Normal	<$>47065</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_mifuyu_set	npc_mifuyu_set1	npc_mifuyu_set2	None	npc_mifuyu_std	0.9	S	TRUE	None	146
npc_ruosiba_set	150	120	100028	npc_ruosiba	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	npc_ruosiba	FALSE	npc_ruosiba	146	FALSE	120	npc_ruosiba_std	<$>76987</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76987</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	None	npc_ruosiba_set	npc_ruosiba_set1	npc_ruosiba_set1	None	npc_ruosiba_std	1	S	TRUE	None	146
monster_glacialvalkyrie_eice_set	150	120	100029	npc_Glacialvalkyrie	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	npc_Glacialvalkyrie	FALSE	monster_glacialvalkyrie_eice_set	146	FALSE	120	monster_glacialvalkyrie_astd	<$>76988</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76988</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	None	monster_glacialvalkyrie_eice_set	monster_glacialvalkyrie_eice_set1	monster_glacialvalkyrie_eice_set1	None	monster_glacialvalkyrie_astd	1	S	TRUE	None	146
monster_treasuregirl_set	150	120	100030	TREASUREGIRL	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	monster_treasuregirl	FALSE	monster_treasuregirl_set	146	FALSE	120	None	<$>50266</>	1000	FALSE	FALSE	1	146	1	None	NPCSIGN_NORMAL	Normal	<$>50266</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	300	FALSE	Bip01	monster_treasuregirl_set	monster_treasuregirl_set1	monster_treasuregirl_set2	None	monster_treasuregirl_std	1	S	TRUE	None	146
NPC_TreasureChest03_SET	150	120	100031	EVENT_Box_JPN	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Sanio's Treasure Chest	FALSE	TreasureChest03	146	FALSE	120	NPC_treasureChest01_IDL	None	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>1044</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	NPC_TreasureChest03_SET	NPC_TreasureChest03_SET1	None	None	NPC_TreasureChest03_STD	1	S	TRUE	None	146
npc_clair_set	150	120	100032	npc_clair_m2	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Clair	FALSE	npc_clair_set	146	FALSE	120	None	<$>11140</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>11140</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	500	FALSE	Bip01	npc_clair_set	npc_clair_set1	npc_clair_set2	None	npc_clair_std	0.955	S	FALSE	None	146
NPC_REB_WEP_SET	150	120	100033	REB_WEP_EVENT	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Claude_Baudez_The_Armoror	FALSE	REB_WEP	146	FALSE	120	NPC_REB_WEP_IDL	<$>76989</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76989</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_RUN_MALE1	0	FALSE	Bip01	NPC_REB_WEP_SET	NPC_REB_WEP_SET1	NPC_REB_WEP_SET2	None	NPC_REB_WEP_STD	1	S	TRUE	NPC_WLK_MALE1	146
NPC_REB_GUNS_SET	150	120	100034	REB_GUNS_EVENT	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Grace_Bernelli_The_Gunsmith	FALSE	REB_GUNS	146	FALSE	120	NPC_REB_GUNS_IDL	<$>76990</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76990</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_RUN_FEMALE4	0	FALSE	Bip01	NPC_REB_GUNS_SET	NPC_REB_GUNS_SET1	NPC_REB_GUNS_SET2	None	NPC_REB_GUNS_STD	0.939	S	TRUE	NPC_WLK_FEMALE4	146
npc_glacialvalkyrie_set	150	120	100035	npc_glacialvalkyrie	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	GlacialValkyrie	FALSE	npc_glacialvalkyrie	146	FALSE	120	npc_glacialvalkyrie_idl	<$>76991</>	1000	FALSE	FALSE	1	146	1	None	NPCSIGN_NORMAL	Normal	<$>76991</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_glacialvalkyrie_set	npc_glacialvalkyrie_set1	npc_glacialvalkyrie_set2	None	npc_glacialvalkyrie_std	0.939	S	TRUE	None	146
npc_asuka_jpn_set	150	120	100036	npc_asoka_jpn	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Asoka	FALSE	npc_asuka_jpn	146	FALSE	120	npc_asuka_jpn_idl	<$>76986</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76986</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_asuka_jpn_set	npc_asuka_jpn_set1	npc_asuka_jpn_set2	None	npc_asuka_jpn_std	1	S	TRUE	None	146
NPC_REB_SOLM_SET	150	120	100037	EVENT_MENENDEZ	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Menendez the traniner	FALSE	REB_SOLM	146	FALSE	120	NPC_REB_SOLM_IDL	<$>76992</>	1000	FALSE	FALSE	1	146	1	None	NPCSIGN_NORMAL	Normal	<$>76992</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_REB_SOLM_SET	NPC_REB_SOLM_SET1	None	None	NPC_REB_SOLM_STD	1	S	TRUE	NPC_WLK_MALE4	146
None	150	120	100038	Event_HiddenTrigger	FALSE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Event HiddenTrigger	FALSE	TUTO_WHITE	146	TRUE	120	None	None	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76993</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	200	FALSE	ROOT_Dummy01	NPC_TUTO_WHITE_SET	NPC_TUTO_WHITE_SET1	None	None	NPC_TUTO_WHITE_STD	1	S	TRUE	None	146
NPC_TreasureChest03_SET	150	120	100039	NPC_E1011BOX	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Treasure chest Blue	FALSE	TreasureChest03	146	FALSE	120	NPC_treasureChest01_IDL	None	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76994</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	NPC_TreasureChest03_SET	NPC_TreasureChest03_SET1	None	None	NPC_TreasureChest03_STD	1	S	TRUE	None	146
npc_rabb_andre_set	150	120	100040	npc_rabb_andre	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	confused andre	FALSE	npc_rabb_andre	146	FALSE	120	None	<$>76995</>	1000	FALSE	FALSE	1	146	1	None	NPCSIGN_NORMAL	Normal	<$>76995</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_rabb_andre_set	npc_rabb_andre_set1	npc_rabb_andre_set2	None	npc_rabb_andre_std	1	S	TRUE	None	146
npc_valkyrie_queen_set	150	120	100041	npc_valkyrie_queen	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Colonel Half 	FALSE	npc_valkyrie_queen	146	FALSE	120	None	<$>76988</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76988</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_valkyrie_queen_set	npc_valkyrie_queen_set1	None	None	npc_valkyrie_queen_std	1	S	TRUE	None	146
NPC_COM_JACK_SET	150	120	100042	npc_event_jack_jpn	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Jack	FALSE	COM_JACK	146	FALSE	120	NPC_COM_JACK_IDL	<$>56769</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>85</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	NPC_RUN_MALE4	0	FALSE	Bip01	NPC_COM_JACK_SET	NPC_COM_JACK_SET1	NPC_COM_JACK_SET2	None	NPC_COM_JACK_STD	1	S	TRUE	NPC_WLK_MALE4	146
npc_angie_set	150	120	100043	npc_event_angie_jpn	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	REB_ANGIE	FALSE	REB_ANGIE	146	FALSE	120	None	<$>3865</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>3865</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_angie_set	npc_angie_set1	npc_angie_set2	None	npc_angie_std	0.9	S	TRUE	None	146
NPC_AUCH_ITEM_SET	150	120	100044	npc_event_kaja_jpn	TRUE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Mi Karjalainen	FALSE	AUCH_ITEM	146	FALSE	120	NPC_AUCH_ITEM_IDL	<$>10799</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>88</>	1	0	0	0	0	2	None	FALSE	FALSE	0	369	NPC_AUCH_ITEM_RUN	0	FALSE	Bip01	NPC_AUCH_ITEM_SET	NPC_AUCH_ITEM_SET1	None	None	NPC_AUCH_ITEM_STD	0.917	S	TRUE	NPC_AUCH_ITEM_WLK	146
npc_5th_flag_set	150	120	100045	npc_5th_flag	FALSE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	5TH Anniversary Flag	FALSE	npc_5th_flag	146	FALSE	120	None	5TH Anniversary Flag	1000	FALSE	FALSE	1	146	1	None	None	Normal	5TH Anniversary Flag	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	npc_5th_flag_set	npc_5th_flag_set1	None	None	npc_5thflag_std	0.857	S	TRUE	None	146
npc_store_01_set	150	120	100046	npc_store_01	FALSE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Store	FALSE	npc_store_01	146	FALSE	120	None	Store	1000	FALSE	FALSE	1	146	1	None	None	Normal	Store	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	npc_store_01_set	npc_store_01_set1	None	None	npc_store_01_std	0.857	S	TRUE	None	146
npc_store_02_set	150	120	100047	npc_store_02	FALSE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Store	FALSE	npc_store_02	146	FALSE	120	None	Store	1000	FALSE	FALSE	1	146	1	None	None	Normal	Store	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	npc_store_02_set	npc_store_02_set1	None	None	npc_store_02_std	0.857	S	TRUE	None	146
npc_store_03_set	150	120	100048	npc_store_03	FALSE	FALSE	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	Store	FALSE	npc_store_03	146	FALSE	120	None	Store	1000	FALSE	FALSE	1	146	1	None	None	Normal	Store	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	ROOT_Dummy01	npc_store_03_set	npc_store_03_set1	None	None	npc_store_03_std	0.857	S	TRUE	None	146
npc_etc_treasureshop_set	150	120	100049	npc_treasuremer_event	TRUE	FALSE	None	None	None	None	None	None	Dummy_effect	npc_Treasure_head_y	None	None	None	None	None	None	None	None	None	None	None	None	None	None	npc_etc_treasureshop	FALSE	npc_etc_treasureshop	146	FALSE	120	npc_etc_treasureshop_std	<$>682</>	1000	FALSE	FALSE	1	146	1	None	None	Normal	<$>76996</>	1	0	0	0	0	1	None	FALSE	FALSE	0	369	None	0	FALSE	Bip01	npc_etc_treasureshop_set	npc_etc_treasureshop_set1	None	None	npc_etc_treasureshop_std	1	S	TRUE	None	146
