ATK1	ATK10	ATK2	ATK3	ATK4	ATK5	ATK6	ATK7	ATK8	ATK9	ClassID	ClassName	Lv100Price	Lv110Price	Lv120Price	Lv12Price	Lv130Price	Lv140Price	Lv150Price	Lv16Price	Lv1Price	Lv20Price	Lv24Price	Lv28Price	Lv32Price	Lv36Price	Lv40Price	Lv44Price	Lv48Price	Lv52Price	Lv56Price	Lv60Price	Lv64Price	Lv68Price	Lv72Price	Lv76Price	Lv80Price	Lv84Price	Lv88Price	Lv8Price	Lv92Price	Lv96Price
3	10	3	3	3	4	5	6	7	8	1	Sword	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
3	8	3	3	3	4	4	5	6	7	2	Rapier	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
4	13	4	4	4	5	6	7	9	11	3	Sabre	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	16	5	5	5	6	8	10	12	14	4	THSword	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	11	5	5	5	6	6	6	7	9	5	Blunt	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	10	5	5	5	6	6	7	8	9	6	Javelin	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
5	14	5	5	5	6	8	9	10	12	7	Polearm	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	8	Dagger	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	9	MainG	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
2	7	2	2	2	3	3	4	5	6	10	Knuckle	1340	1880	2640	78	3600	5000	7000	110	40	154	216	300	420	580	820	1140	1600	2240	3200	4400	6200	8600	12000	16800	23600	34000	48000	56	68000	96000
