ApplyList	ClassID	ClassName	Grade	ItemID
6 8	14	<$>210459</>	10	46045
6 8	15	<$>117053</>	7	46026
6 8	29	<$>179355</>	8	46027
6 8	40	<$>202801</>	10	46044
17 18 19 20 21 22	41	<$>213272</>	100	46046
38 18 31 33	42	<$>233372</>	101	45053
17 18 31 32	43	<$>233601</>	102	15355
34 35 37	44	<$>233595</>	103	19167
33 34 36	45	<$>233375</>	104	19559
3 10	118	<$>116941</>	17	45018
3 10	127	<$>179258</>	18	45019
3 10	138	<$>202619</>	20	45048
3 10	139	<$>210418</>	20	45049
3 8	209	<$>125124</>	27	15308
3 8	215	<$>179460</>	28	15309
3 8	226	<$>203002</>	30	15349
3 8	227	<$>210482</>	30	15350
16 10	306	<$>117146</>	35	19126
16 10	312	<$>179456</>	36	19127
16 10	325	<$>203000</>	38	19161
16 10	326	<$>210478</>	38	19164
13 9	401	<$>32406</>	41	19523
13 9	402	<$>32404</>	41	19522
13 9	403	<$>32402</>	41	19521
14 10	404	<$>104751</>	42	19537
14 10	405	<$>32408</>	42	19524
14 10	406	<$>116944</>	43	19525
14 10	420	<$>179260</>	44	19526
14 10	430	<$>202621</>	46	19553
14 10	431	<$>210420</>	46	19556
6 8	68	<$>233530</>	100	46050
6 8	69	<$>233532</>	100	46051
3 10	163	<$>234188</>	101	45055
3 10	164	<$>234189</>	101	45056
3 8	266	<$>234190</>	102	15357
3 8	267	<$>234191</>	102	15358
16 10	367	<$>234193</>	103	19169
16 10	368	<$>234194</>	103	19170
14 10	466	<$>234195</>	104	19561
14 10	467	<$>234196</>	104	19562
