ClassID	Down	Group	InputCount	Price	PriceItem	Reinforce	Remain	Reset
1	0	W_under	1	0	None	5	100	0
2	0	W_under	1	0	None	6	0	100
3	0	W_under	2	0	None	6	100	0
4	0	W_under	1	0	None	7	0	100
5	25	W_under	2	0	None	7	25	50
6	0	W_under	3	0	None	7	100	0
7	0	W_under	1	0	None	8	0	100
8	50	W_under	2	0	None	8	0	50
9	25	W_under	3	0	None	8	25	50
10	0	W_under	4	0	None	8	100	0
11	0	W_under	1	0	None	9	0	100
12	50	W_under	2	0	None	9	0	50
13	25	W_under	3	0	None	9	25	50
14	0	W_under	4	0	None	9	100	0
21	0	W_expert	1	0	None	5	100	0
22	0	W_expert	1	0	None	6	0	100
23	0	W_expert	2	0	None	6	100	0
24	0	W_expert	1	0	None	7	0	100
25	25	W_expert	2	0	None	7	25	50
26	0	W_expert	3	0	None	7	100	0
27	0	W_expert	1	0	None	8	0	100
28	50	W_expert	2	0	None	8	0	50
29	25	W_expert	3	0	None	8	25	50
30	0	W_expert	4	0	None	8	100	0
31	0	W_expert	1	0	None	9	0	100
32	50	W_expert	2	0	None	9	0	50
33	25	W_expert	3	0	None	9	25	50
34	0	W_expert	4	0	None	9	100	0
40	0	W_master	1	0	None	5	100	0
41	0	W_master	1	0	None	6	0	100
42	0	W_master	2	0	None	6	100	0
43	0	W_master	1	0	None	7	0	100
44	25	W_master	2	0	None	7	25	50
45	0	W_master	3	0	None	7	100	0
46	0	W_master	1	0	None	8	0	100
47	50	W_master	2	0	None	8	0	50
48	25	W_master	3	0	None	8	25	50
49	0	W_master	4	0	None	8	100	0
50	0	W_master	1	0	None	9	0	100
51	50	W_master	2	0	None	9	0	50
52	25	W_master	3	0	None	9	25	50
53	0	W_master	4	0	None	9	100	0
60	0	W_high_master	1	0	None	5	100	0
61	0	W_high_master	1	0	None	6	0	100
62	0	W_high_master	2	0	None	6	100	0
63	0	W_high_master	1	0	None	7	0	100
64	25	W_high_master	2	0	None	7	25	50
65	0	W_high_master	3	0	None	7	100	0
66	0	W_high_master	1	0	None	8	0	100
67	50	W_high_master	2	0	None	8	0	50
68	25	W_high_master	3	0	None	8	25	50
69	0	W_high_master	4	0	None	8	100	0
70	0	W_high_master	1	0	None	9	0	100
71	50	W_high_master	2	0	None	9	0	50
72	25	W_high_master	3	0	None	9	25	50
73	0	W_high_master	4	0	None	9	100	0
80	0	W_20_weapon	1	0	None	5	100	0
81	0	W_20_weapon	1	0	None	6	0	100
82	0	W_20_weapon	2	0	None	6	100	0
83	0	W_20_weapon	1	0	None	7	0	100
84	25	W_20_weapon	2	0	None	7	25	50
85	0	W_20_weapon	3	0	None	7	100	0
86	0	W_20_weapon	1	0	None	8	0	100
87	50	W_20_weapon	2	0	None	8	0	50
88	25	W_20_weapon	3	0	None	8	25	50
89	0	W_20_weapon	4	0	None	8	100	0
90	0	W_20_weapon	1	0	None	9	0	100
91	50	W_20_weapon	2	0	None	9	0	50
92	25	W_20_weapon	3	0	None	9	25	50
93	0	W_20_weapon	4	0	None	9	100	0
900	0	W_45_weapon	1	0	None	5	100	0
901	0	W_45_weapon	1	0	None	6	0	100
902	0	W_45_weapon	2	0	None	6	100	0
903	0	W_45_weapon	1	0	None	7	0	100
904	25	W_45_weapon	2	0	None	7	25	50
905	0	W_45_weapon	3	0	None	7	100	0
906	0	W_45_weapon	1	0	None	8	0	100
907	50	W_45_weapon	2	0	None	8	0	50
908	25	W_45_weapon	3	0	None	8	25	50
909	0	W_45_weapon	4	0	None	8	100	0
910	0	W_45_weapon	1	0	None	9	0	100
911	50	W_45_weapon	2	0	None	9	0	50
912	25	W_45_weapon	3	0	None	9	25	50
913	0	W_45_weapon	4	0	None	9	100	0
914	0	W_46_weapon	1	0	None	5	100	0
915	0	W_46_weapon	1	0	None	6	0	100
916	0	W_46_weapon	2	0	None	6	100	0
917	0	W_46_weapon	1	0	None	7	0	100
918	25	W_46_weapon	2	0	None	7	25	50
919	0	W_46_weapon	3	0	None	7	100	0
920	0	W_46_weapon	1	0	None	8	0	100
921	50	W_46_weapon	2	0	None	8	0	50
922	25	W_46_weapon	3	0	None	8	25	50
923	0	W_46_weapon	4	0	None	8	100	0
924	0	W_46_weapon	1	0	None	9	0	100
925	50	W_46_weapon	2	0	None	9	0	50
926	25	W_46_weapon	3	0	None	9	25	50
927	0	W_46_weapon	4	0	None	9	100	0
928	0	W_50_weapon	1	0	None	5	100	0
929	0	W_50_weapon	1	0	None	6	0	100
930	0	W_50_weapon	2	0	None	6	100	0
931	0	W_50_weapon	1	0	None	7	0	100
932	25	W_50_weapon	2	0	None	7	25	50
933	0	W_50_weapon	3	0	None	7	100	0
934	0	W_50_weapon	1	0	None	8	0	100
935	50	W_50_weapon	2	0	None	8	0	50
936	25	W_50_weapon	3	0	None	8	25	50
937	0	W_50_weapon	4	0	None	8	100	0
938	0	W_50_weapon	1	0	None	9	0	100
939	50	W_50_weapon	2	0	None	9	0	50
940	25	W_50_weapon	3	0	None	9	25	50
941	0	W_50_weapon	4	0	None	9	100	0
942	0	W_50_weapon	1	0	None	5	100	0
943	0	W_50_weapon	1	0	None	6	0	100
944	0	W_50_weapon	2	0	None	6	100	0
945	0	W_50_weapon	1	0	None	7	0	100
946	25	W_50_weapon	2	0	None	7	25	50
947	0	W_50_weapon	3	0	None	7	100	0
948	0	W_50_weapon	1	0	None	8	0	100
949	50	W_50_weapon	2	0	None	8	0	50
950	25	W_50_weapon	3	0	None	8	25	50
951	0	W_50_weapon	4	0	None	8	100	0
952	0	W_50_weapon	1	0	None	9	0	100
953	50	W_50_weapon	2	0	None	9	0	50
954	25	W_50_weapon	3	0	None	9	25	50
955	0	W_50_weapon	4	0	None	9	100	0
101	0	A_under	1	0	None	5	100	0
102	0	A_under	1	0	None	6	0	100
103	0	A_under	2	0	None	6	100	0
104	0	A_under	1	0	None	7	0	100
105	25	A_under	2	0	None	7	25	50
106	0	A_under	3	0	None	7	100	0
107	0	A_under	1	0	None	8	0	100
108	50	A_under	2	0	None	8	0	50
109	25	A_under	3	0	None	8	25	50
110	0	A_under	4	0	None	8	100	0
111	0	A_under	1	0	None	9	0	100
112	50	A_under	2	0	None	9	0	50
113	25	A_under	3	0	None	9	25	50
114	0	A_under	4	0	None	9	100	0
200	50	A_veteran	3	0	None	7	50	0
201	0	A_veteran	1	0	None	5	100	0
202	0	A_veteran	1	0	None	6	0	100
203	0	A_veteran	2	0	None	6	100	0
204	0	A_veteran	1	0	None	7	0	100
205	25	A_veteran	2	0	None	7	25	50
206	0	A_veteran	3	0	None	7	100	0
207	0	A_veteran	1	0	None	8	0	100
208	25	A_veteran	2	0	None	8	25	50
209	50	A_veteran	3	0	None	8	50	0
210	0	A_veteran	4	0	None	8	100	0
211	0	A_veteran	1	0	None	9	0	100
