ClassID	Division	PosX	PosY	PosZ
1	0	11685	-14469	-626
2	0	8077	-12321	-600
3	0	10288	-7354	-705
4	0	10682	-6264	-705
5	0	2815	-3024	-705
6	0	1397	-3130	-508
7	0	1573	-1083	-445
8	0	2308	6924	-527
9	0	5671	16301	-705
10	0	3973	15630	-705
11	0	13887	9936	-705
12	0	14502	9701	-705
13	0	13512	7129	-528
14	0	13512	8318	-620
15	0	13244	9662	-603
16	0	13503	10866	-705
17	0	11649	9545	-584
18	0	10443	8483	-705
19	0	9027	8287	-705
20	0	7970	9468	-605
21	0	6934	10530	-595
22	0	6610	11573	-586
23	0	9440	13201	-705
24	0	8922	11283	-592
25	0	8209	12676	-589
26	0	5411	15097	-570
27	0	7184	13949	-705
28	0	4931	13343	-705
29	0	3183	12078	-406
30	0	4178	11611	-446
31	0	4651	10659	-458
32	0	815	6383	-508
33	0	1212	7949	-504
34	0	736	7631	-505
35	0	1540	7109	-510
36	0	1935	6025	-480
37	0	1824	4939	-467
38	0	3269	4290	-456
39	0	4575	6144	-565
40	0	3496	5682	-719
41	0	3308	6803	-721
42	0	4512	7164	-568
43	0	4514	8536	-560
44	0	5184	9634	-598
45	0	5808	8390	-591
46	0	6503	7084	-582
47	0	6900	8286	-605
48	0	7679	7465	-606
49	0	7694	6303	-601
50	0	10281	7138	-546
51	0	11214	6371	-581
52	0	10261	5986	-578
53	0	11038	5101	-601
54	0	11995	5728	-617
55	0	13289	5234	-537
56	0	13353	4015	-419
57	0	12383	4230	-581
58	0	11161	3854	-667
59	0	12233	2932	-608
60	0	10583	2616	-606
61	0	9191	2839	-705
62	0	7681	2796	-705
63	0	7446	1318	-705
64	0	8746	1427	-705
65	0	10327	1152	-593
66	0	11393	1626	-705
67	0	11557	294	-705
68	0	11684	-958	-705
69	0	11079	-2087	-705
70	0	10220	-767	-705
71	0	9696	-2120	-705
72	0	5748	2641	-551
73	0	5432	1723	-566
74	0	4511	3465	-531
75	0	3368	2303	-527
76	0	2564	3185	-527
77	0	1480	3400	-513
78	0	397	2775	-529
79	0	582	1539	-666
80	0	1008	377	-558
81	0	1761	-325	-418
82	0	3000	-335	-526
83	0	2245	-1354	-522
84	0	4064	-5520	-579
85	0	3322	-4774	-589
86	0	1818	-4599	-604
87	0	1135	-1356	-402
88	0	860	-2491	-418
89	0	636	-3532	-425
90	0	552	-4518	-449
91	0	968	-5497	-513
92	0	6209	-435	-570
93	0	7388	-582	-595
94	0	8679	-1146	-606
95	0	7718	-2285	-600
96	0	8963	-3233	-578
97	0	7070	-3744	-574
98	0	8041	-4331	-600
99	0	9227	-4271	-705
100	0	9444	-5656	-705
101	0	7326	-8330	-605
102	0	9020	-8315	-585
103	0	9858	-9202	-583
104	0	8026	-9853	-601
105	0	8495	-11064	-603
106	0	8699	-12342	-594
107	0	12716	-13840	-307
108	0	12977	-14923	-387
109	0	13429	-16391	-489
110	0	13419	-18172	-610
111	0	14526	-16956	-492
112	0	15387	-17680	-542
113	0	14723	-24274	-531
114	0	15589	-20008	-595
115	0	14030	-19622	-600
116	0	13938	-22009	-589
117	0	15843	-24018	-459
118	0	14658	-24510	-538
119	100	-12456	22927	-639
