ClassID	Division	PosX	PosY	PosZ
1	0	-12077	-1492	-1016
2	0	-13196	-2108	-1016
3	0	-14283	-1512	-1016
4	0	-14744	-179	-1009
5	0	-14542	1056	-1026
6	0	-13236	1443	-1009
7	0	-13667	109	-1009
8	0	-13282	-942	-1009
9	0	-12653	-27	-1009
10	0	-13309	-1823	-1005
11	0	-13252	-1	-1005
12	0	-13304	1834	-1005
13	0	-14840	1244	-1056
14	0	-14832	-1165	-1056
15	1	-9830	654	36
16	1	-9677	-502	36
17	1	-5594	663	-9
18	1	-5551	-523	-9
19	1	-4544	9	0
20	1	-3456	10	-9
21	1	-2511	692	-9
22	1	-2434	-599	-9
23	1	-1355	44	-9
24	1	-70	751	0
25	1	-170	-500	-9
26	1	1054	69	-9
27	1	2266	614	-9
28	1	2316	-573	-9
29	1	3554	-3	-9
30	1	4589	598	-9
31	1	4581	-477	-9
32	1	5655	648	-9
33	1	5708	-532	-9
34	1	-9295	16	40
35	2	10721	-4367	1438
36	2	11453	-5502	1428
37	2	10217	-5568	1428
38	2	10731	-6697	1428
39	2	10776	-7815	1438
40	2	10782	-8896	1438
41	2	11495	-10449	1438
42	2	10344	-10490	1438
43	2	10771	-11349	1438
44	2	10741	-12324	1438
45	2	11370	-13195	1428
46	2	10273	-13286	1438
47	2	10740	-14305	1428
48	2	11445	-15335	1428
49	2	10234	-15311	1428
50	2	11453	-16456	1428
51	2	10212	-16468	1428
52	2	10694	-16621	1438
53	2	10699	-14309	1428
54	2	10710	-11850	1428
55	2	10731	-9361	1428
56	2	10721	-6973	1428
57	2	10709	-4314	1438
58	2	10700	-1276	1478
59	2	10702	-2067	1479
60	2	10739	-3740	1485
61	2	10047	-10562	1442
62	2	11357	-10656	1442
63	2	11322	-13109	1442
64	2	10071	-13094	1442
65	2	10653	-17120	1442
66	1	9295	36	37
67	1	6362	0	3
68	1	3656	-8	3
69	1	1254	3	3
70	1	-1171	-3	3
71	1	-3634	-14	3
72	1	-6365	-18	3
73	3	12576	-20137	1378
74	3	12449	-21381	1378
75	3	12043	-22540	1387
76	3	12570	-24047	1378
77	3	11450	-23798	1387
78	3	10303	-23994	1378
79	3	9323	-24715	1387
80	3	10996	-22648	1387
81	3	11359	-21564	1387
82	3	10996	-20546	1378
83	3	10143	-21485	1387
84	3	9223	-22145	1387
85	3	12213	-22398	1387
86	3	8891	-21063	1378
87	3	11561	-20902	1387
88	3	9935	-20999	1387
89	3	9989	-20384	1387
90	3	11875	-24837	1387
91	3	10574	-22279	1387
