ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	119	30	30	16200	Monster_bristia_thief1	500	3000	MON_BSTNIGHT
2	TRUE	0	119	30	30	16201	Monster_bristia_thief2	500	3000	MON_BSTNIGHT
3	TRUE	0	119	30	30	16202	Monster_bristia_thief3	500	3000	MON_BSTNIGHT
4	TRUE	0	119	30	30	16203	Monster_bristia_thief4	500	3000	MON_BSTNIGHT
5	TRUE	0	119	30	30	16204	Monster_bristia_thief5	500	3000	MON_BSTNIGHT
6	TRUE	0	119	30	30	16205	Monster_bristia_thief6	500	3000	MON_BSTNIGHT
7	TRUE	1	120	30	30	16200	Monster_bristia_thief1	500	3000	MON_BSTNIGHT
8	TRUE	1	120	30	30	16201	Monster_bristia_thief2	500	3000	MON_BSTNIGHT
9	TRUE	1	120	30	30	16202	Monster_bristia_thief3	500	3000	MON_BSTNIGHT
10	TRUE	1	120	30	30	16203	Monster_bristia_thief4	500	3000	MON_BSTNIGHT
11	TRUE	1	120	30	30	16204	Monster_bristia_thief5	500	3000	MON_BSTNIGHT
12	TRUE	1	120	30	30	16205	Monster_bristia_thief6	500	3000	MON_BSTNIGHT
13	TRUE	2	121	30	30	16200	Monster_bristia_thief1	500	3000	MON_BSTNIGHT
14	TRUE	2	121	30	30	16201	Monster_bristia_thief2	500	3000	MON_BSTNIGHT
15	TRUE	2	121	30	30	16202	Monster_bristia_thief3	500	3000	MON_BSTNIGHT
16	TRUE	2	121	30	30	16203	Monster_bristia_thief4	500	3000	MON_BSTNIGHT
17	TRUE	2	121	30	30	16204	Monster_bristia_thief5	500	3000	MON_BSTNIGHT
18	TRUE	2	121	30	30	16205	Monster_bristia_thief6	500	3000	MON_BSTNIGHT
19	TRUE	3	122	30	30	16200	Monster_bristia_thief1	500	3000	MON_BSTNIGHT
20	TRUE	3	122	30	30	16201	Monster_bristia_thief2	500	3000	MON_BSTNIGHT
21	TRUE	3	122	30	30	16202	Monster_bristia_thief3	500	3000	MON_BSTNIGHT
22	TRUE	3	122	30	30	16203	Monster_bristia_thief4	500	3000	MON_BSTNIGHT
23	TRUE	3	122	30	30	16204	Monster_bristia_thief5	500	3000	MON_BSTNIGHT
24	TRUE	3	122	30	30	16205	Monster_bristia_thief6	500	3000	MON_BSTNIGHT
25	FALSE	4	1000	1	1	70190	Mission_CatherineEvent2	500	5000	MON_BSTNIGHT1
