ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	130	23	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
2	TRUE	0	130	23	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
3	TRUE	1	130	23	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
4	TRUE	1	130	23	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
5	TRUE	2	130	15	5	10053	Monster_Raid_Mandradora	500	60000	MON_AGGRESSIVE
6	TRUE	3	130	20	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
7	TRUE	3	130	20	5	11056	Monster_Raid_Gehcos	500	60000	MON_AGGRESSIVE
8	TRUE	200	135	0	0	14791	Monster_Arbremon	1	518400000	MON_RAID_ARBREMON2
9	TRUE	201	135	0	0	14803	Monster_Arbremon2	1	518400000	MON_RAID_ARBREMON1
10	TRUE	202	137	0	0	14801	Monster_sauterelle	1	518400000	MON_RAID_SAUTERELLE
11	FALSE	203	130	0	0	70197	Mission_FLD_BOSS2	1	1	MON_RECALL_GREAT_MONKEY
12	FALSE	204	130	0	0	70196	Mission_FLD_BOSS	1	1	MON_RECALL_BEAR
100	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
