ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
2	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
3	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
4	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
5	TRUE	1	140	10	5	19817	Monster_illierCerberus_Hard	500	14000	MON_ILE_DUNCAS02_HARD
6	TRUE	1	140	10	5	19817	Monster_illierCerberus_Hard	500	14000	MON_ILE_DUNCAS02_HARD
7	TRUE	1	140	10	5	19817	Monster_illierCerberus_Hard	500	14000	MON_ILE_DUNCAS02_HARD
8	TRUE	1	140	10	5	19817	Monster_illierCerberus_Hard	500	14000	MON_ILE_DUNCAS02_HARD
9	TRUE	2	140	10	5	19820	Monster_illierSoldierb1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
10	TRUE	2	140	10	5	19821	Monster_illierSoldierb2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
11	TRUE	2	140	10	5	19822	Monster_illierSoldierb3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
12	TRUE	2	140	10	5	19823	Monster_illierSoldierw1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
13	TRUE	2	140	10	5	19824	Monster_illierSoldierw2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
14	TRUE	2	140	10	5	19825	Monster_illierSoldierw3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
15	TRUE	2	140	10	5	19820	Monster_illierSoldierb1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
16	TRUE	2	140	10	5	19821	Monster_illierSoldierb2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
17	TRUE	2	140	10	5	19822	Monster_illierSoldierb3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
18	TRUE	2	140	10	5	19823	Monster_illierSoldierw1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
19	TRUE	2	140	10	5	19824	Monster_illierSoldierw2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
20	TRUE	2	140	10	5	19825	Monster_illierSoldierw3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
21	TRUE	2	140	10	5	19820	Monster_illierSoldierb1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
22	TRUE	2	140	10	5	19821	Monster_illierSoldierb2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
23	TRUE	2	140	10	5	19822	Monster_illierSoldierb3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
24	TRUE	2	140	10	5	19823	Monster_illierSoldierw1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
25	TRUE	2	140	10	5	19824	Monster_illierSoldierw2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
26	TRUE	2	140	10	5	19825	Monster_illierSoldierw3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
27	TRUE	2	140	10	5	19820	Monster_illierSoldierb1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
28	TRUE	2	140	10	5	19821	Monster_illierSoldierb2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
29	TRUE	2	140	10	5	19822	Monster_illierSoldierb3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
30	TRUE	2	140	10	5	19823	Monster_illierSoldierw1_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
31	TRUE	2	140	10	5	19824	Monster_illierSoldierw2_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
32	TRUE	2	140	10	5	19825	Monster_illierSoldierw3_Casile02_Hard	500	14000	MON_ILE_DUNCAS02_HARD
33	TRUE	4	140	10	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
34	TRUE	4	140	10	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
35	TRUE	4	140	10	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
36	TRUE	4	140	10	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
37	TRUE	4	140	10	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
38	TRUE	4	140	10	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
39	TRUE	4	140	10	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
40	TRUE	4	140	10	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
41	TRUE	4	140	10	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
42	TRUE	4	140	10	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
43	TRUE	4	140	10	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
44	TRUE	4	140	10	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
45	TRUE	4	140	10	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
46	TRUE	4	140	10	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
47	TRUE	4	140	10	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
48	TRUE	4	140	10	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
49	TRUE	4	140	10	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
50	TRUE	4	140	10	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
51	TRUE	4	140	10	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
52	TRUE	4	140	10	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
53	TRUE	5	140	10	5	19829	Monster_illier_Redelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
54	TRUE	5	140	10	5	19830	Monster_illier_Blueelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
55	TRUE	5	140	10	5	19829	Monster_illier_Redelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
56	TRUE	5	140	10	5	19830	Monster_illier_Blueelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
57	TRUE	5	140	10	5	19829	Monster_illier_Redelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
58	TRUE	5	140	10	5	19830	Monster_illier_Blueelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
59	TRUE	5	140	10	5	19829	Monster_illier_Redelemental_Hard	500	14000	MON_ILE_DUNCAS02_NOMAL
60	TRUE	5	140	10	5	19830	Monster_illier_Blueelemental_Hard	500	14000	MON_ILE_DUNCAS02_HARD
61	TRUE	6	140	15	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
62	TRUE	6	140	15	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
63	TRUE	6	140	15	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
64	TRUE	6	140	15	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
65	TRUE	6	140	15	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
66	TRUE	6	140	15	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
67	TRUE	6	140	15	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
68	TRUE	6	140	15	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
69	TRUE	6	140	15	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
70	TRUE	6	140	15	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
71	TRUE	6	140	15	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
72	TRUE	6	140	15	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
73	TRUE	6	140	15	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
74	TRUE	6	140	15	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
75	TRUE	6	140	15	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
76	TRUE	6	140	15	5	19330	Monster_Ile_DevilFordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
77	TRUE	6	140	15	5	19331	Monster_Ile_Vordoi_Hard	500	14000	MON_ILE_DUNCAS02_HARD
78	TRUE	6	140	15	5	19332	Monster_Ile_DevilGluttony_Hard	500	14000	MON_ILE_DUNCAS02_HARD
79	TRUE	6	140	15	5	19818	Monster_illierBacchanalia_Hard	500	14000	MON_ILE_DUNCAS02_HARD
80	TRUE	6	140	15	5	19819	Monster_illierBribantra_Hard	500	14000	MON_ILE_DUNCAS02_HARD
81	TRUE	10	140	1	0	19837	Monster_illierSoldier_Keeper1_Hard	0	360000	MON_ILE_DUNCAS02_KEEPER_1
