ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
2	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
3	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
4	TRUE	0	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
5	TRUE	1	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
6	TRUE	1	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
7	TRUE	1	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
8	TRUE	1	132	10	5	19808	Monster_illierCerberus	500	14000	MON_ILE_DUNCAS02_NOMAL
9	TRUE	2	132	10	5	19811	Monster_illierSoldierb1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
10	TRUE	2	132	10	5	19812	Monster_illierSoldierb2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
11	TRUE	2	132	10	5	19813	Monster_illierSoldierb3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
12	TRUE	2	132	10	5	19814	Monster_illierSoldierw1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
13	TRUE	2	132	10	5	19815	Monster_illierSoldierw2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
14	TRUE	2	132	10	5	19816	Monster_illierSoldierw3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
15	TRUE	2	132	10	5	19811	Monster_illierSoldierb1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
16	TRUE	2	132	10	5	19812	Monster_illierSoldierb2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
17	TRUE	2	132	10	5	19813	Monster_illierSoldierb3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
18	TRUE	2	132	10	5	19814	Monster_illierSoldierw1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
19	TRUE	2	132	10	5	19815	Monster_illierSoldierw2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
20	TRUE	2	132	10	5	19816	Monster_illierSoldierw3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
21	TRUE	2	132	10	5	19811	Monster_illierSoldierb1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
22	TRUE	2	132	10	5	19812	Monster_illierSoldierb2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
23	TRUE	2	132	10	5	19813	Monster_illierSoldierb3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
24	TRUE	2	132	10	5	19814	Monster_illierSoldierw1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
25	TRUE	2	132	10	5	19815	Monster_illierSoldierw2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
26	TRUE	2	132	10	5	19816	Monster_illierSoldierw3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
27	TRUE	2	132	10	5	19811	Monster_illierSoldierb1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
28	TRUE	2	132	10	5	19812	Monster_illierSoldierb2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
29	TRUE	2	132	10	5	19813	Monster_illierSoldierb3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
30	TRUE	2	132	10	5	19814	Monster_illierSoldierw1_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
31	TRUE	2	132	10	5	19815	Monster_illierSoldierw2_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
32	TRUE	2	132	10	5	19816	Monster_illierSoldierw3_Casile02	500	14000	MON_ILE_DUNCAS02_NOMAL
33	TRUE	4	133	10	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
34	TRUE	4	133	10	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
35	TRUE	4	133	10	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
36	TRUE	4	132	10	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
37	TRUE	4	132	10	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
38	TRUE	4	133	10	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
39	TRUE	4	133	10	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
40	TRUE	4	133	10	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
41	TRUE	4	132	10	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
42	TRUE	4	132	10	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
43	TRUE	4	133	10	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
44	TRUE	4	133	10	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
45	TRUE	4	133	10	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
46	TRUE	4	132	10	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
47	TRUE	4	132	10	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
48	TRUE	4	132	10	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
49	TRUE	4	132	10	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
50	TRUE	4	132	10	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
51	TRUE	4	132	10	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
52	TRUE	4	132	10	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
53	TRUE	5	132	10	5	19826	Monster_illier_Redelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
54	TRUE	5	132	10	5	19828	Monster_illier_Blueelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
55	TRUE	5	132	10	5	19826	Monster_illier_Redelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
56	TRUE	5	132	10	5	19828	Monster_illier_Blueelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
57	TRUE	5	132	10	5	19826	Monster_illier_Redelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
58	TRUE	5	132	10	5	19828	Monster_illier_Blueelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
59	TRUE	5	132	10	5	19826	Monster_illier_Redelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
60	TRUE	5	132	10	5	19828	Monster_illier_Blueelemental	500	14000	MON_ILE_DUNCAS02_NOMAL
61	TRUE	6	133	15	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
62	TRUE	6	133	15	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
63	TRUE	6	133	15	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
64	TRUE	6	132	15	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
65	TRUE	6	132	15	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
66	TRUE	6	133	15	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
67	TRUE	6	133	15	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
68	TRUE	6	133	15	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
69	TRUE	6	132	15	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
70	TRUE	6	132	15	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
71	TRUE	6	133	15	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
72	TRUE	6	133	15	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
73	TRUE	6	133	15	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
74	TRUE	6	132	15	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
75	TRUE	6	132	15	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
76	TRUE	6	132	15	5	19302	Monster_Ile_DevilFordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
77	TRUE	6	132	15	5	19303	Monster_Ile_Vordoi	500	14000	MON_ILE_DUNCAS02_NOMAL
78	TRUE	6	132	15	5	19304	Monster_Ile_DevilGluttony	500	14000	MON_ILE_DUNCAS02_NOMAL
79	TRUE	6	132	15	5	19809	Monster_illierBacchanalia	500	14000	MON_ILE_DUNCAS02_NOMAL
80	TRUE	6	132	15	5	19810	Monster_illierBribantra	500	14000	MON_ILE_DUNCAS02_NOMAL
81	TRUE	10	132	1	0	19835	Monster_illierSoldier_Keeper1	0	360000	MON_ILE_DUNCAS02_KEEPER_1
82	TRUE	11	132	1	0	19836	Monster_illierSoldier_Keeper2	0	360000	MON_ILE_DUNCAS02_KEEPER_2
83	TRUE	12	132	1	0	19836	Monster_illierSoldier_Keeper2	0	360000	MON_ILE_DUNCAS02_KEEPER_3
84	TRUE	13	132	1	0	19835	Monster_illierSoldier_Keeper1	0	360000	MON_ILE_DUNCAS02_KEEPER_4
