ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	135	0	0	30383	Monster_ElminorLusifer01	1	86400000	MON_ELMINOR3
2	TRUE	1	150	0	0	14950	Monster_Rhinoceru	1	604800000	MON_RHINOCERU
3	TRUE	2	150	0	0	14930	Monster_Moonknight	1	604800000	MON_MOONKNIGHT
4	TRUE	3	145	1	0	65501	Lucifer_Wep	500	86400000	MON_VIRON_HARDMELEE
5	TRUE	3	145	1	0	65502	Lucifer_Grace	500	86400000	MON_VIRON_SHOOT
6	TRUE	3	145	1	0	65503	Lucifer_MBoma	500	86400000	MON_VIRON_MAGIC
7	TRUE	3	145	1	0	65504	Lucifer_Gracielo	500	86400000	MON_VIRON_MARTIAL
8	TRUE	3	145	1	0	65505	Lucifer_rio	500	86400000	MON_VIRON_MAGIC
9	TRUE	3	145	1	0	65506	Lucifer_Lisa	500	86400000	MON_VIRON_ASSASSIN
10	TRUE	3	145	1	0	65507	Lucifer_Brunie	500	86400000	MON_VIRON_SHOOT
11	TRUE	3	145	1	0	65508	Lucifer_Backho	500	86400000	MON_VIRON_MARTIAL
12	TRUE	3	145	1	0	65509	Lucifer_Irawan	500	86400000	MON_VIRON_MARTIAL
13	TRUE	3	145	1	0	65512	Lucifer_Andre	500	86400000	MON_VIRON_RAPIRE
14	TRUE	3	145	1	0	65513	Lucifer_Grutrude	500	86400000	MON_VIRON_MARTIAL
15	TRUE	3	145	1	0	65514	Lucifer_Lorch	500	86400000	MON_VIRON_SHOOT
16	TRUE	3	145	1	0	65515	Lucifer_Grandma	500	86400000	MON_VIRON_HARDMELEE
17	TRUE	3	145	1	0	65516	Lucifer_Rescueofficer	500	86400000	MON_VIRON_HARDMELEE
18	TRUE	3	145	1	0	65517	Lucifer_Tiburon	500	86400000	MON_VIRON_MEDIUMMELEE
19	TRUE	3	145	1	0	65518	Lucifer_RamiroA	500	86400000	MON_VIRON_MEDIUMMELEE
20	TRUE	3	145	1	0	65519	Lucifer_Yega	500	86400000	MON_VIRON_ASSASSIN
21	TRUE	3	145	1	0	65520	Lucifer_Jack	500	86400000	MON_VIRON_ASSASSIN
22	TRUE	3	145	1	0	65521	Lucifer_Nar	500	86400000	MON_VIRON_HARDMELEE
23	TRUE	3	145	1	0	65522	Lucifer_Ania	500	86400000	MON_VIRON_HARDMELEE
24	TRUE	3	145	1	0	65523	Lucifer_Mi	500	86400000	MON_VIRON_RAPIRE
25	TRUE	3	145	1	0	65524	Lucifer_selva	500	86400000	MON_VIRON_RAPIRE
26	TRUE	3	145	1	0	65525	Lucifer_Eduardo	500	86400000	MON_VIRON_RAPIRE
27	TRUE	3	145	1	0	65526	Lucifer_Kurt	500	86400000	MON_VIRON_RAPIRE
28	TRUE	3	145	1	0	65527	Lucifer_Hellena	500	86400000	MON_VIRON_MAGIC
29	TRUE	3	145	1	0	65528	Lucifer_Calyce	500	86400000	MON_VIRON_EXSHOOT
30	TRUE	3	145	1	0	65529	Lucifer_SoSo	500	86400000	MON_VIRON_MARTIAL
31	TRUE	3	145	1	0	65530	Lucifer_Garcia	500	86400000	MON_VIRON_SHOOT
32	TRUE	3	145	1	0	65531	Lucifer_Alejandro	500	86400000	MON_VIRON_MEDIUMMELEE
33	TRUE	3	145	1	0	65533	Lucifer_Raven	500	86400000	MON_VIRON_SHOOT
34	TRUE	4	140	1	0	15031	Monster_Keyholder	500	30000	MON_KEYHOLDER
