ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	130	100	100	19760	Mon_Triglohound1	500	2000	MON_ALT_NORMAL01
2	TRUE	0	130	10	10	19760	Mon_Triglohound1	500	2000	MON_ALT_NORMAL01
3	TRUE	1	135	198	198	19761	Mon_Triglohound2	500	2000	MON_ALT_NORMAL01
4	TRUE	1	135	10	10	19761	Mon_Triglohound2	500	2000	MON_ALT_NORMAL01
5	TRUE	2	140	215	215	19757	Monster_Hellswine1	500	2000	MON_ALT_NORMAL01
6	TRUE	2	140	10	10	19757	Monster_Hellswine1	500	2000	MON_ALT_NORMAL01
7	TRUE	3	145	224	224	19758	Monster_Hellswine2	500	2000	MON_ALT_NORMAL01
8	TRUE	3	145	10	10	19758	Monster_Hellswine2	500	2000	MON_ALT_NORMAL01
9	TRUE	0	125	100	100	19773	Monster_AltSnowfieldBear	500	2000	MON_ALT_NORMAL01
10	TRUE	1	125	10	10	19773	Monster_AltSnowfieldBear	500	2000	MON_ALT_NORMAL01
11	TRUE	2	143	100	100	19774	Monster_AltZebraEaterElder	500	2000	MON_ALT_NORMAL01
12	TRUE	3	143	10	10	19774	Monster_AltZebraEaterElder	500	2000	MON_ALT_NORMAL01
100	FALSE	3	150	0	0	19759	mon_juggernaut	1	1	MON_ALT01_BOSS
