ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	MELISSA_YURUEGEN	TutorialTrigger_Black_6m	123	FALSE	None	<$>190756</>	None	<$>190756</>	-59268	9481	-726	TOUMEINPC	None
3	TR_YURUEGEN_CREATE	structure_potaeffect	78	FALSE	None	None	None	None	-21388	-3341	-2812	TR_YURUEGEN_CREATE	None
100	TR_MASUBOSS1	Trigger_Effect_None	0	FALSE	None	None	None	None	14850	12532	5379	TR_MASUBOSS1	None
101	TR_MASUBOSS2	Trigger_Effect_None	0	FALSE	None	None	None	None	4423	-6244	-388	TR_MASUBOSS2	None
102	TR_MASUBOSS3	Trigger_Effect_None	0	FALSE	None	None	None	None	2304	-20584	-1607	TR_MASUBOSS3	None
103	TR_MASUBOSS4	Trigger_Effect_None	0	FALSE	None	None	None	None	-8037	-23146	-3069	TR_MASUBOSS4	None
104	TR_MASUBOSS5	Trigger_Effect_None	0	FALSE	None	None	None	None	-4021	16535	-1789	TR_MASUBOSS5	None
105	TR_MASUBOSS6	Trigger_Effect_None	0	FALSE	None	None	None	None	-11597	13718	-1771	TR_MASUBOSS6	None
106	TR_MASUBOSS7	Trigger_Effect_None	0	FALSE	None	None	None	None	-17216	21518	-1736	TR_MASUBOSS7	None
107	TR_MASUBOSS8	Trigger_Effect_None	0	FALSE	None	None	None	None	-26322	25633	-1787	TR_MASUBOSS8	None
108	TR_MASUBOSS9	Trigger_Effect_None	0	FALSE	None	None	None	None	-27268	18024	-624	TR_MASUBOSS9	None
109	TR_MASUBOSS10	Trigger_Effect_None	0	FALSE	None	None	None	None	-21778	7150	-2325	TR_MASUBOSS10	None
110	TR_MASUBOSS11	Trigger_Effect_None	0	FALSE	None	None	None	None	-21619	557	-2250	TR_MASUBOSS11	None
111	TR_MASUBOSS12	Trigger_Effect_None	0	FALSE	None	None	None	None	-5867	-5290	-49	TR_MASUBOSS12	None
112	TR_MASUBOSS13	Trigger_Effect_None	0	FALSE	None	None	None	None	-13227	1974	-1309	TR_MASUBOSS13	None
113	TR_MASUBOSS14	Trigger_Effect_None	0	FALSE	None	None	None	None	1331	-27261	-1291	TR_MASUBOSS14	None
114	TR_MASUBOSS15	Trigger_Effect_None	0	FALSE	None	None	None	None	16196	-12844	-807	TR_MASUBOSS15	None
115	TR_MASUBOSS16	Trigger_Effect_None	0	FALSE	None	None	None	None	27359	20017	9453	TR_MASUBOSS16	None
200	TR_MASUMON	Trigger_Effect_None	0	FALSE	None	None	None	None	-11543	1763	-1305	TR_MASUMON	None
