ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	MapWarp	Name	PosX	PosY	PosZ	Script	ShopName
1	tr_armmain113	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140291</>	-61	11264	0	TR_MAINQUEST_ARM113	None
2	tr_armmain114	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140292</>	832	11939	0	TR_MAINQUEST_ARM114	None
3	tr_armmain115	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140293</>	-829	12060	0	TR_MAINQUEST_ARM115	None
4	tr_armmain116	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140294</>	5	-3908	8	TR_MAINQUEST_ARM116	None
5	tr_armmain117	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>140295</>	1986	2926	0	TR_MAINQUEST_ARM117	None
6	tr_vanscout01	TutorialTrigger_Black_3m	0	FALSE	None	None	None	<$>142108</>	3	7576	0	TR_ARM_VAN01	None
100	MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>111085</>	0	0	0	DUN_ARM05_BLUE_MANAGER	None
101	arm_sarabless10	arm_Sarabless	0	FALSE	None	None	None	<$>144177</>	3148	45	0	NPC_SARABLESS01	None
102	arm_moribless10	arm_Sarabless	0	FALSE	None	None	None	<$>144178</>	-3112	28	0	NPC_MORIBLESS01	None
200	NPC_DUN_ARM05_BLUE_VAN	Trigger_Black_None	0	FALSE	None	None	None	<$>142107</>	-3109	50	0	NPC_RANDOM_ARM_VAN	None
400	ABYSS_BUFF	Trigger_Black_None	0	FALSE	None	None	None	<$>117879</>	1003	12005	0	NPC_ABYSS_BUFF_MANAGER	None
402	NPC_DUNARM_HOLE_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	<$>129306</>	1027	11255	0	NPC_DUNARM_HOLE_MANAGER	None
403	DUN_ARM_BOSSRUSH_NPC	Trigger_Black_None	0	FALSE	None	None	None	<$>172147</>	0	0	0	NPC_DUN_ARM_BOSSRUSH_MONGEN	None
