ClassID	ClassName	ClassType	Direction	Hide	IconType	MapName	Name	PosX	PosY	PosZ	Script	ShopName
1	FLD_BST01_MANAGER	Trigger_Black_None	0	FALSE	None	None	None	1295	-25187	-346	FLD_BST02_MANAGER	None
2	NPC_BST_INF_TRANING1	npc_bristiainfanty_block	90	FALSE	None	None	None	-917	-16641	-321	NPC_BST_INF_TRANING	None
3	NPC_BST_INF_TRANING2	npc_bristiainfanty_block	90	FALSE	None	None	None	-919	-17203	-321	NPC_BST_INF_TRANING	None
4	NPC_BST_INF_TRANING3	npc_bristiainfanty_block	90	FALSE	None	None	None	-924	-17764	-321	NPC_BST_INF_TRANING	None
5	NPC_BST_INF_TRANING4	npc_bristiainfanty_block	0	FALSE	None	None	None	883	-16626	-321	NPC_BST_INF_TRANING	None
6	NPC_BST_INF_TRANING5	npc_bristiainfanty_block	0	FALSE	None	None	None	887	-17767	-321	NPC_BST_INF_TRANING	None
7	NPC_BST_INF_TRANING6	npc_bristiainfanty_block	0	FALSE	None	None	None	886	-17190	-321	NPC_BST_INF_TRANING	None
8	NPC_BST_INF_TRANING7	npc_bristiainfanty_block	180	FALSE	None	None	None	-1325	-19472	-321	NPC_BST_INF_TRANING	None
9	NPC_BST_INF_TRANING8	npc_bristiainfanty_block	180	FALSE	None	None	None	-922	-19478	-321	NPC_BST_INF_TRANING	None
10	NPC_BST_INF_TRANING9	npc_bristiainfanty_block	180	FALSE	None	None	None	-520	-19477	-321	NPC_BST_INF_TRANING	None
11	NPC_BST_INF_TRANING10	npc_bristiainfanty_block	0	FALSE	None	None	None	879	-19474	-321	NPC_BST_INF_TRANING	None
12	NPC_BST_INF_GUARD1	npc_bristiainfanty2	270	FALSE	None	None	None	-211	-14077	-112	NPC_BST_INF_GUARD	None
13	NPC_BST_INF_GUARD2	npc_bristiainfanty1	180	FALSE	None	None	None	6218	-18842	-232	NPC_BST_INF_GUARD	None
14	NPC_BST_INF_GUARD3	npc_bristiainfanty2	180	FALSE	None	None	None	6308	-19971	-225	NPC_BST_INF_GUARD	None
15	NPC_BST_INF_GUARD4	npc_bristiainfanty3	180	FALSE	None	None	None	6280	-20999	-225	NPC_BST_INF_GUARD	None
16	NPC_BST_INF_GUARD5	npc_bristiainfanty4	0	FALSE	None	None	None	-7705	-13734	-232	NPC_BST_INF_GUARD	None
17	NPC_BST_INF_GUARD6	npc_bristiainfanty5	0	FALSE	None	None	None	-7718	-14478	-228	NPC_BST_INF_GUARD	None
18	NPC_BST_INF_GUARD7	npc_bristiainfanty1	180	FALSE	None	None	None	4785	-14764	-232	NPC_BST_INF_GUARD	None
19	NPC_BST_INF_GUARD8	npc_bristiainfanty2	180	FALSE	None	None	None	4353	-14211	-232	NPC_BST_INF_GUARD	None
20	NPC_BST_INF_GUARD9	npc_bristiainfanty3	270	FALSE	None	None	None	-2437	-14034	-224	NPC_BST_INF_GUARD	None
21	NPC_BST_INF_GUARD10	npc_bristiainfanty4	270	FALSE	None	None	None	-2915	-14069	-224	NPC_BST_INF_GUARD	None
22	NPC_BST_INF_GUARD11	npc_bristiainfanty5	0	FALSE	None	None	None	-5437	-18679	-279	NPC_BST_INF_GUARD	None
23	NPC_BST_INF_GUARD12	npc_bristiainfanty1	0	FALSE	None	None	None	-5379	-17380	-281	NPC_BST_INF_GUARD	None
24	NPC_BST_INF_GUARD13	npc_bristiainfanty2	0	FALSE	None	None	None	-4265	-18209	-279	NPC_BST_INF_GUARD	None
25	NPC_BST_INF_GUARD14	npc_bristiainfanty3	0	FALSE	None	None	None	-4002	-17621	-283	NPC_BST_INF_GUARD	None
26	NPC_BST_INF_GUARD15	npc_bristiainfanty4	270	FALSE	None	None	None	255	-23472	-339	NPC_BST_INF_GUARD	None
27	NPC_BST_INF_GUARD16	npc_bristiainfanty5	270	FALSE	None	None	None	-296	-23488	-339	NPC_BST_INF_GUARD	None
28	NPC_BST_INF_GUARD17	npc_bristiainfanty1	0	FALSE	None	None	None	-1513	-23721	-344	NPC_BST_INF_GUARD	None
29	NPC_BST_INF_GUARD18	npc_bristiainfanty2	180	FALSE	None	None	None	2618	-21326	-338	NPC_BST_INF_GUARD	None
30	NPC_BST_INF_GUARD19	npc_bristiainfanty3	180	FALSE	None	None	None	2562	-19176	-338	NPC_BST_INF_GUARD	None
31	NPC_BST_INF_GUARD20	npc_bristiainfanty1	180	FALSE	None	None	None	2539	-18548	-338	NPC_BST_INF_GUARD	None
32	NPC_BST_RAID_START	npc_bristiainfanty1	270	FALSE	None	<$>93433</>	<$>93433</>	-2668	-14201	-228	BRISTIA_RAID_JPN_OPEN	None
