ClassID	ClassName	font	img	imgrect
24001	CastillaMineExplorer	achieve15_ol	icon\\badgeicon.bmp	R 288 0 24 24
24002	CastillaRuinExplorer	achieve15_ol	icon\\badgeicon.bmp	R 288 0 24 24
24003	CastillaRelicExplorer	achieve15_ol	icon\\badgeicon.bmp	R 288 0 24 24
24004	CastillaTempleExplorer	achieve15_ol	icon\\badgeicon.bmp	R 288 0 24 24
24005	TowerofChaosExplorer	achieve15_ol	icon\\badgeicon.bmp	R 288 0 24 24
24501	IronararatofChaosofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24502	PhobitanChieftainofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24503	BasiliskofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24504	ChrysalisofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24505	ChimeraofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24506	ArgusofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24507	SkeletonofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 384 0 24 24
24508	DecarabiaofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 0 24 24
24509	DiabloofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 336 0 24 24
24510	LavaleafofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 336 0 24 24
24511	AritoofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 336 0 24 24
24512	WetisofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 336 0 24 24
24513	HadeonofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 336 0 24 24
24514	TempestSlayer	achieve15_ol	icon\\badgeicon.bmp	R 312 0 24 24
24515	KingHenrySlayer	achieve15_ol	icon\\badgeicon.bmp	R 192 0 24 24
24516	MedusaSlayer	achieve15_ol	icon\\badgeicon.bmp	R 192 0 24 24
24517	ElbleedofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24518	ElnoogardofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24519	GriefSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24520	EinschwerofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24521	DominaterofChaosSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24522	TetrapodSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24523	TeslacoilSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24524	BeholderSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24525	JellyfishSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24526	HydrobomberSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24527	LightgeminiSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24528	DarkgeminiSlayer	achieve15_ol	icon\\badgeicon.bmp	R 408 25 24 24
24529	QueenofValkyrieSlayer	achieve15_ol	icon\\badgeicon.bmp	R 432 25 24 24
26001	CastillaMineConqueror	achieve15_ol	icon\\badgeicon.bmp	R 456 0 24 24
26002	CastillaRuinConqueror	achieve15_ol	icon\\badgeicon.bmp	R 240 0 24 24
26003	CastillaRelicConqueror	achieve15_ol	icon\\badgeicon.bmp	R 432 0 24 24
26004	CastillaTempleConqueror	achieve15_ol	icon\\badgeicon.bmp	R 360 0 24 24
26005	TowerofChaosConqueror	achieve15_ol	icon\\badgeicon.bmp	R 192 25 48 24
26006	WhiteDay	achieve15_ol	icon\\badgeicon.bmp	R 48 25 24 24
26007	NewUser	achieve15_ol	icon\\badgeicon.bmp	R 72 25 24 24
26008	GoodReply	achieve15_ol	icon\\badgeicon.bmp	R 384 25 24 24
26009	DonationAngel	achieve15_ol	icon\\badgeicon.bmp	R 456 25 35 24
26010	HopefulRenaissance	achieve15_ol	icon\\badgeicon.bmp	R 193 50 24 24
26011	RadioStory	achieve15_ol	icon\\badgeicon.bmp	R 312 50 24 24
26012	Herdsman	achieve15_ol	icon\\badgeicon.bmp	R 336 50 24 24
26013	Weaver	achieve15_ol	icon\\badgeicon.bmp	R 336 50 24 24
26014	LealtadSoldier	achieve15_ol	icon\\badgeicon.bmp	R 0 75 48 24
26015	GleichstellungSoldier	achieve15_ol	icon\\badgeicon.bmp	R 48 75 48 24
26016	Lovelyangel	achieve15_ol	icon\\badgeicon.bmp	R 240 75 24 24
26017	SpritOfArtist	achieve15_ol	icon\\badgeicon.bmp	R 264 75 24 24
26018	HeatMan	achieve15_ol	icon\\badgeicon.bmp	R 288 75 48 24
26019	WakeMan	achieve15_ol	icon\\badgeicon.bmp	R 336 75 48 24
26020	BristiaSettler	achieve15_ol	icon\\badgeicon.bmp	R 360 50 24 24
26021	MedalofBeginner	achieve15_ol	icon\\badgeicon.bmp	R 72 25 24 24
26022	MiniGame_Winner	achieve15_ol	icon\\badgeicon.bmp	R 360 50 24 24
26023	Threedays_2013	achieve15_ol	icon\\badgeicon.bmp	R 96 100 24 24
26024	Lieday	achieve15_ol	icon\\badgeicon.bmp	R 120 100 24 24
26025	Tigres1Easy	achieve15_ol	icon\\badgeicon.bmp	R 336 100 48 24
26026	Tigres2Easy	achieve15_ol	icon\\badgeicon.bmp	R 144 125 48 24
26027	Tigres3Easy	achieve15_ol	icon\\badgeicon.bmp	R 288 100 48 24
26028	Tigres4Easy	achieve15_ol	icon\\badgeicon.bmp	R 432 100 48 24
26029	Tigres5Easy	achieve15_ol	icon\\badgeicon.bmp	R 240 125 48 24
26030	Tigres6Easy	achieve15_ol	icon\\badgeicon.bmp	R 48 125 48 24
26031	Tigres7Easy	achieve15_ol	icon\\badgeicon.bmp	R 384 125 48 24
