ClassID	Desc	Fraction	GetItemID	NeedCount1	NeedCount2	NeedCount3	NeedCount4	NeedCount5	NeedItem1	NeedItem2	NeedItem3	NeedItem4	NeedItem5
1	None	Test	0	0	0	0	0	0	0	0	0	0	0
2	<$>27458</>	None	26001	1	1	1	1	1	24504	24505	24506	24507	24508
3	<$>27459</>	None	26002	1	1	0	0	0	24002	24515	0	0	0
4	<$>27460</>	None	26003	1	1	1	1	1	24510	24511	24512	24513	24514
5	<$>27461</>	None	26004	1	1	0	0	0	24004	24516	0	0	0
6	<$>27462</>	None	26005	1	1	1	1	1	24520	24521	24523	24525	24529
7	<$>27463</>	None	26501	1	1	1	0	0	24001	24508	26001	0	0
8	<$>27464</>	None	26502	1	1	1	0	0	24002	24515	26002	0	0
9	<$>27465</>	None	26503	1	1	1	0	0	24003	24514	26003	0	0
10	<$>27466</>	None	26504	1	1	1	0	0	24004	24516	26004	0	0
11	<$>27467</>	None	26505	1	1	1	0	0	24005	24529	26005	0	0
12	<$>27468</>	None	27001	1	1	1	1	1	26001	26002	26003	26004	26005
