ClassID	ClassName	Clique	MaxPop	Name	RespectGrade	RespectPoint
1	clique_uppercommander	Pega	1	<$>28751</>	14	10000000
2	clique_operator	Pega	5	<$>28754</>	13	5000000
3	clique_fieldoperator	Pega	7	<$>28755</>	12	4000000
4	clique_logistics	Pega	10	<$>106808</>	11	3000000
5	clique_advisor	Pega	15	<$>28757</>	10	2000000
6	clique_preadvisor	Pega	30	<$>28758</>	9	1000000
7	clique_logiadvisor	Pega	45	<$>106809</>	8	500000
8	clique_commandergeneral	Pega	60	<$>28766</>	7	400000
9	clique_general	Pega	127	<$>28761</>	6	300000
10	clique_chiliarch	Pega	0	<$>106810</>	5	200000
11	clique_centurion	Pega	0	<$>106811</>	4	100000
12	clique_pregeneral	Pega	0	<$>106812</>	3	50000
13	clique_vicegeneral	Pega	0	<$>28763</>	2	30000
14	clique_regulararmy	Pega	0	<$>106813</>	1	10000
