ClassID	ClassName	Gender	InitScp	Item00	Item01	Item02	Item03	Item04	Item05	Item06	Item07	Item08	Item09	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	JobName	Lv	Name
1	Amuse_Set_1	Male	INIT_CUSTOMPC_STANCE	None	None	None	None	None	Amuse_Weapon_1	None	None	None	None	None	Amuse_Costume_1	None	None	None	None	None	None	None	FighterGame	100	<$>9971</>
2	Amuse_Set_2	Female	INIT_CUSTOMPC_STANCE	Amuse_Hair_2	None	None	None	None	Amuse_Weapon_2	None	None	None	None	None	Amuse_Costume_2	None	None	None	None	None	None	None	MusketeerGame	100	<$>9974</>
3	Amuse_Set_3	Female	INIT_CUSTOMPC_STANCE	Amuse_Hair_3	None	None	None	None	Amuse_Weapon_3	None	None	None	None	None	Amuse_Costume_3	None	None	None	None	None	None	None	CatherineSTRGame	100	<$>47030</>
4	Amuse_Set_4	Male	INIT_CUSTOMPC_STANCE	None	None	None	None	None	Amuse_Weapon_4	None	None	None	None	None	None	None	None	None	None	None	None	None	RavenGame	100	<$>5353</>
5	Amuse_Set_5	Female	INIT_CUSTOMPC_STANCE	Amuse_Hair_5	None	None	None	None	Amuse_Weapon_5	None	None	None	None	None	Amuse_Costume_5	None	None	None	None	None	None	None	WizardGame	100	<$>9972</>
6	Amuse_Set_6	Female	INIT_CUSTOMPC_STANCE	None	Olivia_Armor_6	None	None	Olivia_Weapon_6_1	Olivia_Weapon_6_2	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomSpyOlivia	100	<$>84326</>
7	Amuse_Set_7	Male	INIT_CUSTOMPC_STANCE	None	Kess_Armor_7	None	None	Kess_Weapon_7_1	Kess_Weapon_7_2	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomKess	100	<$>84325</>
8	Amuse_Set_8	Male	INIT_CUSTOMPC_STANCE	None	Neolith_Armor_13	None	Neolith_Neck	None	Neolith_Weapon_13	None	None	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomNeolith	100	<$>47096</>
9	Amuse_Set_9	Male	INIT_CUSTOMPC_STANCE	None	Veil_Armor_7	None	None	Veil_Weapon_7_1	Veil_Weapon_7_2	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomVeil	120	<$>101019</>
10	Amuse_Set_10	Male	INIT_CUSTOMPC_STANCE	None	Eduardo_Armor_7	None	None	Eduardo_Weapon_7_1	Eduardo_Weapon_7_1	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomEduardo	100	<$>11220</>
11	Amuse_Set_11	Male	INIT_CUSTOMPC_STANCE	None	Eduardo_Armor_7	None	None	None	Eduardo_Weapon_7_2	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomEduardo	100	<$>11220</>
12	Amuse_Set_12	Male	INIT_CUSTOMPC_STANCE	None	None	None	None	None	None	None	None	None	None	None	Amuse_Costume_1	None	None	None	None	None	None	None	CustomFighter	100	<$>9971</>
13	Amuse_Set_13	Female	INIT_CUSTOMPC_STANCE	None	CustomGrace_Armor_8	None	None	None	CustomGrace_Weapon_8	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomGrace	100	<$>11086</>
14	Amuse_Set_14	Female	INIT_CUSTOMPC_STANCE	None	Nena_Armor_7	None	None	None	Nena_Weapon_7	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomNena	100	<$>108656</>
15	Amuse_Set_15	Male	INIT_CUSTOMPC_STANCE	None	Serious_Armor_7	None	None	Serious_Weapon_7_2	Serious_Weapon_7_1	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomSerious	100	<$>116871</>
16	Amuse_Set_16	Female	INIT_CUSTOMPC_STANCE	None	Kess_Armor_7	None	None	None	Laura_Weapon	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomLaura	100	<$>120817</>
17	Amuse_Set_17	Male	INIT_CUSTOMPC_STANCE	None	Patrick_Armor	None	Neolith_Neck	None	Patrick_Weapon	None	None	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomPatrick	100	<$>126194</>
18	Amuse_Set_18	Male	INIT_CUSTOMPC_STANCE	None	Leonele_Armor	None	None	Leonele_Weapon_2	Leonele_Weapon_1	None	None	None	None	None	None	None	None	None	None	None	None	None	CustomCLeonele	10	<$>3474</>
19	Amuse_Set_19	Female	INIT_CUSTOMPC_STANCE	None	Roreta_Armor	None	Neolith_Neck	None	Roreta_Weapon	None	None	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomRoreta	150	<$>132961</>
20	Amuse_Set_20	Male	INIT_CUSTOMPC_STANCE	None	Roreta_Armor	None	Neolith_Neck	Gracielo_Weapon_7_2	Gracielo_Weapon_7_1	None	None	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomGracielo	150	<$>11213</>
21	Amuse_Set_21	Male	INIT_CUSTOMPC_STANCE	None	Van_Armor	None	None	None	Van_Weapon	Van_Ring	None	None	None	None	None	None	None	None	None	None	None	None	CustomVan	140	<$>99329</>
22	Amuse_Set_22	Male	INIT_CUSTOMPC_STANCE	None	ArmFgt_Armor	None	None	ArmFgt_Weapon_2	ArmFgt_Weapon_1	ArmFgt_Ring	None	None	None	None	None	None	None	None	None	None	None	None	CustomArmFgt	140	<$>9971</>
23	Amuse_Set_23	Female	INIT_CUSTOMPC_STANCE	None	Anies_Armor	None	None	None	Anies_Weapon	Anies_Ring	None	None	None	None	None	None	None	None	None	None	None	None	CustomAnies	140	<$>139630</>
24	Amuse_Set_24	Female	INIT_CUSTOMPC_STANCE	None	Leona_Armor	None	None	Leona_Weapon_2	Leona_Weapon_1	Leona_Ring_1	Leona_Ring_2	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomLeona	100	L
25	Amuse_Set_25	Female	INIT_CUSTOMPC_STANCE	None	Judith_Armor	None	None	None	Judith_Weapon_1	Judith_Ring_1	None	None	None	None	None	None	None	None	None	None	None	None	CustomJudith	140	<$>165166</>
26	Amuse_Set_26	Female	INIT_CUSTOMPC_STANCE	None	Judith_Armor	None	None	None	Lynn_Weapon_1	Lynn_Ring_1	None	None	None	None	None	None	None	None	None	None	None	None	CustomLynn	140	<$>148929</>
27	Amuse_Set_27	Female	INIT_CUSTOMPC_STANCE	None	Sherlin_Armor	None	None	None	Sherlin_Weapon_1	Sherlin_Ring_1	None	None	None	None	None	None	None	None	None	None	None	None	CustomSherlin	140	<$>49610</>
28	Amuse_Set_28	Female	INIT_CUSTOMPC_STANCE	None	Judith_Armor	None	None	None	Lynn_Weapon_2	Lynn_Ring_1	None	None	None	None	None	None	None	None	None	None	None	None	CustomLynn	140	<$>148929</>
29	Amuse_Set_29	Female	INIT_CUSTOMPC_STANCE	None	Judith_Armor	None	None	None	Diertrich_Weapon	Diertrich_Ring_1	None	None	None	None	None	None	None	None	None	None	None	None	CustomDiertrich	140	<$>173777</>
30	Amuse_Set_30	Female	INIT_CUSTOMPC_STANCE	None	Vendetta_Armor	None	Vendetta_Neck	None	Vendetta_Weapon	Vendetta_Ring_1	None	Vendetta_Glove	Vendetta_Boot	None	None	Vendetta_Ear	Vendetta_Belt	None	None	None	None	None	CustomVendetta	140	<$>96435</>
31	Amuse_Set_31	Male	INIT_CUSTOMPC_STANCE	None	Liung_Armor_13	None	Neolith_Neck	Liung_Weapon2	Liung_Weapon1	Liung_Ring_1	None	Neolith_Glove	Neolith_Boot	None	None	Neolith_Ear	Neolith_Belt	None	None	None	None	None	CustomLiung	100	<$>95436</>
32	Amuse_Set_32	Male	INIT_CUSTOMPC_STANCE	None	Freeday_Armor	None	Freeday_Neck	None	Freeday_Weapon1	Freeday_Ring_1	None	Freeday_Glove	Freeday_Boot	None	None	Freeday_Ear	Freeday_Belt	None	None	None	None	None	CustomFreeday	100	<$>83851</>
33	Amuse_Set_33	Female	INIT_CUSTOMPC_STANCE	None	Freeday_Armor	None	Freeday_Neck	Spirit_Weapon2	Spirit_Weapon1	Spirit_Ring_1	None	Freeday_Glove	Freeday_Boot	None	None	Freeday_Ear	Freeday_Belt	None	None	None	None	None	CustomSpirit	140	<$>51320</>
34	Amuse_Set_34	Male	INIT_CUSTOMPC_STANCE	None	CustomWizard_Armor	None	None	None	CustomWizard_Weapon1	None	None	None	None	None	CustomWizard_Costume_1	None	None	None	None	None	None	None	CustomWizard	100	<$>192817</>
35	Amuse_Set_35	Male	INIT_CUSTOMPC_STANCE	None	Kei_Armor	None	Kei_Neck	None	Kei_Weapon1	Kei_Ring_1	Kei_Ring_2	Kei_Glove	Kei_Boot	None	None	Kei_Ear	Kei_Belt	None	None	None	None	None	CustomKei	140	<$>193700</>
