ClassID	ClassName	Name
1	Tag1	<$>13438</>
2	Tag2	<$>27388</>
3	Tag3	<$>27387</>
4	Tag4	<$>27386</>
5	Tag5	<$>189612</>
6	Tag6	<$>189613</>
7	Tag7	<$>189614</>
8	Tag8	<$>66814</>
9	Tag9	<$>77520</>
10	Tag10	<$>222654</>
11	Tag11	<$>222655</>
12	Tag12	<$>222656</>
13	Tag13	<$>67223</>
14	Tag14	<$>67224</>
15	Tag15	<$>67225</>
16	Tag16	<$>67226</>
17	Tag17	<$>222657</>
18	Tag18	<$>81059</>
19	Tag19	<$>219212</>
20	Tag20	<$>171814</>
21	Tag21	<$>171330</>
22	Tag22	<$>222658</>
23	Tag23	<$>47784</>
24	Tag24	<$>51146</>
25	Tag25	<$>222659</>
26	Tag26	<$>3976</>
27	Tag27	<$>1293</>
28	Tag28	<$>3977</>
29	Tag29	<$>11880</>
30	Tag30	<$>8793</>
31	Tag31	<$>47516</>
32	Tag32	<$>47860</>
33	Tag33	<$>81060</>
34	Tag34	<$>106355</>
35	Tag35	<$>8794</>
36	Tag36	<$>56895</>
37	Tag37	<$>222660</>
38	Tag38	<$>222661</>
39	Tag39	<$>171710</>
40	Tag40	<$>203287</>
41	Tag41	<$>50378</>
42	Tag42	<$>222662</>
43	Tag43	<$>222663</>
44	Tag44	<$>222664</>
45	Tag45	<$>51763</>
46	Tag46	<$>222665</>
47	Tag47	<$>222666</>
48	Tag48	<$>222667</>
49	Tag49	<$>222668</>
50	Tag50	<$>222669</>
51	Tag51	<$>4306</>
52	Tag52	<$>222670</>
53	Tag53	<$>50442</>
54	Tag54	<$>52018</>
55	Tag55	<$>222671</>
56	Tag56	<$>222672</>
57	Tag57	<$>28815</>
58	Tag58	<$>222673</>
59	Tag59	<$>222674</>
60	Tag60	<$>27403</>
61	Tag61	<$>222675</>
62	Tag62	<$>222676</>
63	Tag63	<$>222677</>
64	Tag64	<$>222678</>
65	Tag65	<$>222679</>
66	Tag66	<$>222680</>
67	Tag67	<$>222681</>
68	Tag68	<$>222682</>
69	Tag69	<$>222683</>
70	Tag70	<$>222684</>
71	Tag71	<$>200352</>
72	Tag72	<$>222685</>
73	Tag73	<$>222686</>
74	Tag74	<$>222687</>
75	Tag75	<$>52032</>
76	Tag76	<$>222688</>
77	Tag77	<$>222689</>
78	Tag78	<$>222690</>
79	Tag79	<$>47099</>
80	Tag80	<$>222691</>
81	Tag81	<$>222692</>
82	Tag82	<$>222693</>
83	Tag83	<$>222694</>
84	Tag84	<$>222695</>
85	Tag85	<$>222696</>
86	Tag86	<$>222697</>
87	Tag87	<$>222698</>
88	Tag88	<$>222699</>
89	Tag89	<$>222700</>
90	Tag90	<$>142057</>
91	Tag91	<$>222701</>
92	Tag92	<$>213227</>
93	Tag93	<$>222702</>
94	Tag94	<$>222703</>
