Broadcast	CallClientScpHandler	ClassID	ClassName	IsLogging	IsPublic
None	None	1	Lock_Renolde_STR	YES	YES
None	None	2	Lock_Renolde_CON	YES	YES
None	None	3	Lock_Renolde_AGI	YES	YES
None	None	4	Lock_Renolde_INT	YES	YES
None	None	5	Lock_Renolde_DEX	YES	YES
None	None	6	Lock_Renolde_SEN	YES	YES
None	None	7	Lock_Elemental_STR	YES	YES
None	None	8	Lock_Elemental_AGI	YES	YES
None	None	9	Lock_Elemental_CON	YES	YES
None	None	10	Lock_Elemental_DEX	YES	YES
None	None	11	Lock_Elemental_INT	YES	YES
None	None	12	Lock_Elemental_SEN	YES	YES
None	None	13	Lock_MCCLv	NO	YES
None	None	14	Lock_WebColor	NO	YES
None	None	15	Lock_PoseLevel	NO	YES
None	None	16	Lock_InventoryCount	NO	YES
None	None	17	Lock_WareCount	NO	YES
None	None	18	Lock_Market	NO	YES
None	None	19	Lock_AutoPetRmv	NO	YES
None	None	20	Lock_CurMasteryPage	NO	YES
None	None	21	Lock_MasteryPageCnt	NO	YES
None	None	22	Lock_ItemDrop	NO	YES
None	None	23	Lock_AutoReportCnt	NO	YES
None	None	24	Lock_MiniGame	NO	YES
None	None	25	Lock_PremiumItem	NO	YES
None	None	26	Lock_TeamGroup	NO	YES
None	None	27	Lock_President	NO	YES
None	None	28	Lock_LindenBoxCnt	NO	YES
None	None	29	Lock_UserShopSlot	NO	YES
None	None	30	Lock_UserShop	NO	YES
None	None	31	Lock_Rank	NO	YES
None	None	32	Lock_TradeRight	NO	YES
None	None	33	Lock_CharSlot	NO	YES
None	None	34	Lock_FGTCrtRight	NO	YES
None	None	35	Lock_SCTCrtRight	NO	YES
None	None	36	Lock_WIZCrtRight	NO	YES
None	None	37	Lock_MUSCrtRight	NO	YES
None	None	38	Lock_WARCrtRight	NO	YES
None	None	39	Lock_PartyCrtRight	NO	YES
None	None	40	Lock_WeightLimit	NO	YES
None	None	41	Lock_Warp	NO	YES
None	None	42	Lock_PK	NO	YES
None	None	43	EQ_Leonele	NO	YES
None	None	44	Bst_Merchant	NO	YES
None	None	45	Bst_PortGuild	NO	YES
None	None	46	Bst_Slum	NO	YES
None	None	47	Bst_Labo	NO	YES
None	None	48	RTO_Event	NO	YES
None	None	49	Bst_Governor	NO	YES
None	None	50	ZQ_Heyran	NO	YES
None	None	51	XQ_Marchetti	NO	YES
None	None	52	XQ_Grandies	NO	YES
None	None	53	XQ_Jack	NO	YES
None	None	54	XQ_Raven	NO	YES
None	None	55	Emilia_Stance	NO	YES
None	None	56	XQ_Clair	NO	YES
None	None	57	Lock_KurtOrEdu	NO	YES
None	None	58	XQ_Hellena	NO	YES
None	None	59	XQ_Kano	NO	YES
None	None	60	XQ_Grace	NO	YES
None	None	61	XQ_Soso	NO	YES
None	None	62	XQ_Sherryn	NO	YES
None	None	63	XQ_Ramiro	NO	YES
None	None	64	Quest_51002	NO	YES
None	None	65	XQ_Ludin	NO	YES
None	None	66	XQ_Urlik	NO	YES
None	None	67	XQ_Andre	NO	YES
None	None	68	XQ_Mi	NO	YES
None	None	69	YQ_Berroniff	NO	YES
None	None	70	YQ_Adriana	NO	YES
None	None	71	ZQ_Olivia	NO	YES
None	None	72	XQ_Rio	NO	YES
None	None	73	YQ_Leonele	NO	YES
None	None	74	XQ_Lisa	NO	YES
None	None	75	XQ_Cruz	NO	YES
None	None	76	XQ_Mary	NO	YES
None	None	77	XQ_Idge	NO	YES
None	None	78	XQ_Claude	NO	YES
None	None	79	XQ_Brunie	NO	YES
None	None	80	XQ_Lorch	NO	YES
None	None	81	YQ_AuchAide	NO	YES
None	None	82	XQ_Calyce	NO	YES
None	None	83	XQ_Nar	NO	YES
None	None	84	YQ_Ania	NO	YES
None	None	85	XQ_Natalie	NO	YES
None	None	86	XQ_Daria	NO	YES
None	None	87	XQ_Yeganeh	NO	YES
None	None	88	XQ_Cortazar	NO	YES
None	None	89	XQ_Adelina	NO	YES
None	None	90	XQ_Gracielo	NO	YES
None	None	91	XQ_Romina	NO	YES
None	None	92	XQ_Gurtrude	NO	YES
None	None	93	YQ_Romina	NO	YES
None	None	94	XQ_AuchSol	NO	YES
None	None	95	XQ_Angie	NO	YES
None	None	96	XQ_Vincent	NO	YES
None	None	97	XQ_Irawan	NO	YES
None	None	98	XQ_Ho	NO	YES
None	None	99	XQ_Torsche	NO	YES
None	None	100	YQ_Nena	NO	YES
None	None	101	XQ_Alejandro	NO	YES
None	None	102	XQ_Mmboma	NO	YES
None	None	103	Quest_150036	NO	YES
None	None	104	Quest_170020	NO	YES
None	None	105	Quest_170030	NO	YES
None	None	106	YQ_Laura	NO	YES
None	None	107	YQ_Rigel	NO	YES
None	None	108	Quest_171205	NO	YES
None	None	109	YQ_Berthe	NO	YES
None	None	110	Quest_171414	NO	YES
None	None	111	XQ_Van	NO	YES
